Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration
11,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour17,None,4A,"MO, Greene County",Non-CBSA West North Central,MO,CR08,West North Central,West North Central,Midwest,SPP,Mixed-Humid,"MO, 02603",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Crawl,Masonry,750-999,0-1499,2,16,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,27,None,R-13,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,R-19,"CMU, 6-in Hollow, R-15",2+ Pane,Yes,Electricity,Electric Premium,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,80F,70F,Yes,No,12F,0F,None,Night -4h,Standard Efficiency,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% Incandescent,86%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",20 ACH50
12,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour11,Hour19,None,3A,"TX, Denton County","CBSA Dallas-Fort Worth-Arlington, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 02001",10 to 19 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Crawl,Masonry,500-749,0-1499,3,15,None,None,1,Double-Loaded Interior,No,1,Occupied,F18 B18 L18 R18,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,R-19,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,70F,Yes,No,6F,0F,None,Day and Night +4h,Standard Efficiency,EF 10.5,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,104%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",30 ACH50
13,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour20,None,3A,"NC, Mecklenburg County",Non-CBSA South Atlantic,NC,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"NC, 03101",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,WoodStud,750-999,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-15",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,78F,68F,Yes,No,12F,0F,None,Day -2h,Standard Efficiency,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% CFL,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",20 ACH50
14,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour19,Hour13,None,2A,"FL, Palm Beach County","CBSA Miami-Fort Lauderdale-West Palm Beach, FL",FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 09903",20 to 49 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,20 to 49 Units low,Slab,Masonry,750-999,0-1499,3,24,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,7,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Premium,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,70F,No,Yes,0F,5F,Night Setback +3h,None,None,EF 17.6,"Propane, 120% Usage",None,None,None,None,100% CFL,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",50 ACH50
15,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour18,None,4A,"NY, Westchester County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03107",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Fuel Oil,50 or more Units high,Unheated Basement,Masonry,750-999,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,No,Fuel Oil,Fuel Oil Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Fuel Oil",Shared Heating,Fuel Oil Shared Heating,Shared Cooling,72F,70F,No,No,0F,0F,None,None,None,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage",None,100% CFL,89%,None,None,None,None,None,None,No,None,40 ACH50
16,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour11,Hour6,None,5A,"IL, Cook County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",IL,CR04,East North Central,East North Central,Midwest,PJM,Cold,"IL, 03501",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Crawl,WoodStud,0-499,0-1499,2,54,None,None,1,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,27,None,R-13,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,65F,75F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 120% Usage","318 Rated kWh, 120% Usage",None,None,None,100% Incandescent,89%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",30 ACH50
17,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,Gas Fireplace,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour12,None,3B,"CA, Riverside County","CBSA Riverside-San Bernardino-Ontario, CA",CA,CR11,Pacific,Pacific,West,CAISO,Hot-Dry,"CA, 06502",3 or 4 Unit,1980s,1980-99,Multi-Family with 2 - 4 Units,Natural Gas,<5,Slab,Masonry,750-999,0-1499,1,3,None,None,1,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,None,None,R-38,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"CMU, 6-in Hollow, R-19",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,65F,76F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 120% Usage",None,None,None,None,100% Incandescent,102%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",15 ACH50
18,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour17,None,4A,"NJ, Hudson County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NJ,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"NJ, 00601",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,Masonry,750-999,0-1499,1,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-30,None,None,"Asphalt Shingles, Medium",2ft R10 Exterior,None,None,None,None,R-19,"CMU, 6-in Hollow, R-19",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,75F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,89%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",10 ACH50
19,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour13,Hour18,None,2A,"FL, Lee County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 07102",2 Unit,1980s,1980-99,Multi-Family with 2 - 4 Units,Electricity,<5,Slab,Masonry,750-999,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,27,None,R-13,None,None,Composition Shingles,"2ft R5 Perimeter, R5 Gap",None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating Only,"Boiler Baseboards Heating Only, Electricity",Shared Heating,Electricity Shared Heating,"AC, SEER 13",70F,67F,Yes,Yes,12F,2F,Night Setback -4h,Night,Standard Efficiency,EF 15.9,"Electric, 100% Usage",None,None,None,None,100% Incandescent,82%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",25 ACH50
20,Medium,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour15,Hour20,None,4A,"PA, Montgomery County","CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"PA, 03106",50 or more Unit,1960s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units low,Slab,Masonry,1000-1499,0-1499,2,54,None,None,2,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,12,None,R-49,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Electricity,Electric Premium,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,72F,Yes,Yes,6F,5F,Day and Night Setup +1h,Day and Night +3h,None,EF 17.6,"Electric, 100% Usage",None,None,None,None,100% Incandescent,89%,None,None,None,None,None,None,No,None,30 ACH50
21,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour17,None,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03201",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Natural Gas,5 to 9 Units low,Unheated Basement,Masonry,1000-1499,0-1499,2,6,None,None,1,Double-Loaded Interior,No,1,Occupied,F9 B9 L9 R9,7,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,None,70F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,89%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",20 ACH50
22,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour11,Hour18,None,3B,"CA, San Bernardino County","CBSA Riverside-San Bernardino-Ontario, CA",CA,CR11,Pacific,Pacific,West,CAISO,Hot-Dry,"CA, 07111",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units low,Slab,Masonry,1000-1499,0-1499,3,54,None,None,4,Double-Loaded Interior,Yes,4,Occupied,F18 B18 L18 R18,27,None,R-19,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-19",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,75F,75F,No,Yes,0F,9F,Day Setup,None,Standard Efficiency,EF 15.9,"Electric, 100% Usage",None,None,None,None,100% CFL,93%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",7 ACH50
23,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour16,Hour18,None,4B,"AZ, Yavapai County",Non-CBSA Mountain,AZ,CR10,Mountain,Mountain South,West,None,Mixed-Dry,"AZ, 00500",3 or 4 Unit,1990s,1980-99,Multi-Family with 2 - 4 Units,Natural Gas,<5,Slab,Masonry,1500-1999,1500-2499,1,4,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,12,None,R-13,None,None,"Tile, Clay or Ceramic",Uninsulated,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,72F,Yes,Yes,6F,9F,Day Setup +1h,Night -4h,Standard Efficiency,EF 10.2,"Gas, 120% Usage",None,Yes,"Standard, 120% Usage","Electric, 120% Usage",100% CFL,78%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
24,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour13,None,4A,"KY, Fayette County",Non-CBSA East South Central,KY,CR08,East South Central,East South Central,South,PJM,Mixed-Humid,"KY, 01902",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Crawl,WoodStud,500-749,0-1499,3,9,None,None,1,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,27,None,Uninsulated,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-13,"Wood Stud, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,75F,Yes,No,6F,0F,None,Day and Night,Standard Efficiency,EF 15.9,"Electric, 120% Usage",None,None,None,None,100% Incandescent,123%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50
25,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour12,None,4A,"AR, Benton County",Non-CBSA West South Central,AR,CR09,West South Central,West South Central,South,SPP,Mixed-Humid,"AR, 00100",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Crawl,Masonry,500-749,0-1499,3,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F6 B6 L6 R6,27,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,R-19,"CMU, 6-in Hollow, R-15",2+ Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,70F,Yes,Yes,3F,5F,Day and Night Setup -4h,Day and Night -4h,Standard Efficiency,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,104%,None,None,Gas,None,None,None,Yes,"30% Leakage, Uninsulated",10 ACH50
26,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour17,None,4C,"WA, King County","CBSA Seattle-Tacoma-Bellevue, WA",WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11608",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units high,Crawl,WoodStud,500-749,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-30,"Wood Stud, R-19",1 Pane,Yes,Electricity,Electric Premium,"Uninsulated, HomeRun, PEX",Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,Yes,"Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,93%,None,None,None,None,None,None,Yes,"20% Leakage, R-6",15 ACH50
27,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour17,None,2A,"FL, Hillsborough County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 05708",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,WoodStud,750-999,0-1499,2,6,None,None,2,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,12,None,R-7,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,70F,Yes,Yes,12F,2F,Day Setup -1h,Night +3h,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage",Yes,"Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",20 ACH50
28,Low,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour6,Hour5,None,5A,"PA, Dauphin County",Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 02401",5 to 9 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Crawl,Masonry,750-999,0-1499,2,6,None,None,2,Double-Loaded Interior,No,1,Occupied,F15 B15 L15 R15,27,None,R-7,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-19,"CMU, 6-in Hollow, R-19",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating Only,"Boiler Baseboards Heating Only, Electricity",Shared Heating,Electricity Shared Heating,"AC, SEER 13",72F,67F,Yes,Yes,3F,2F,Night Setup -4h,Night +1h,Standard Efficiency,EF 17.6,"Gas, 80% Usage",None,None,None,None,100% CFL,89%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",20 ACH50
29,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour7,None,2A,"TX, Travis County",Non-CBSA West South Central,TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 05307",50 or more Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,50 or more Units low,Crawl,WoodStud,750-999,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,12,None,R-13,None,None,"Asphalt Shingles, Medium",None,"Wall R-10, Unvented",None,None,None,R-19,"Wood Stud, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,76F,Yes,Yes,6F,9F,Day Setup -2h,Day +5h,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% Incandescent,104%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",30 ACH50
30,High,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour10,Hour14,None,4A,"PA, Chester County","CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"PA, 03403",10 to 19 Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,WoodStud,1000-1499,0-1499,3,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,27,None,R-30,None,None,"Asphalt Shingles, Medium","2ft R5 Perimeter, R5 Gap",None,None,None,None,R-19,"Wood Stud, R-19",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,76F,No,Yes,0F,2F,Night Setup -4h,None,None,EF 17.6,"Electric, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,89%,None,None,None,None,None,None,Yes,"30% Leakage, R-8",15 ACH50
