Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=Double, Clear, Metal, Air	Option=Double, Clear, Metal, Air, Exterior Clear Storm	Option=Double, Clear, Non-metal, Air	Option=Double, Clear, Non-metal, Air, Exterior Clear Storm	Option=Double, Low-E, Non-metal, Air, M-Gain	Option=Single, Clear, Metal	Option=Single, Clear, Metal, Exterior Clear Storm	Option=Single, Clear, Non-metal	Option=Single, Clear, Non-metal, Exterior Clear Storm	Option=Triple, Low-E, Non-metal, Air, L-Gain	Option=Void	source_count	source_weight	sampling_probability
7AK	Not Available	Single-Family Detached	Not Available	1940-59	0.271501	0.0335563	0.20232	0.0500116	0.20232	0.100867	0.0124667	0.112992	0.0139653	0	0	13	7042.66	1.10659e-05
7AK	Not Available	Single-Family Detached	Owner	1940-59	0	0	0	0	0	0	0	0	0	0	1	12	6669.5	0
7AK	Not Available	Single-Family Detached	Renter	1940-59	0	0	0	0	0	0	0	0	0	0	1	79	373.162	0
7AK	0-100%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	21	0	0
7AK	0-100%	Single-Family Detached	Owner	1960-79	0	0	0.361105	0.0892619	0.361105	0	0	0.16779	0.0207381	0	0	18	0	1.04058e-05
7AK	0-100%	Single-Family Detached	Renter	1960-79	0	0	0.306534	0.0757725	0.306534	0	0	0.276932	0.0342275	0	0	20	0	3.95158e-06
7AK	100-150%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	18	3215.26	0
7AK	100-150%	Single-Family Detached	Owner	1960-79	0	0	0.369465	0.0913285	0.369465	0	0	0.15107	0.0186715	0	0	16	3215.26	9.90332e-06
7AK	100-150%	Single-Family Detached	Renter	1960-79	0	0	0.306534	0.0757725	0.306534	0	0	0.276932	0.0342275	0	0	20	0	3.2306e-06
7AK	150-200%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	10	1503.99	0
7AK	150-200%	Single-Family Detached	Owner	1960-79	0	0	0.369465	0.0913285	0.369465	0	0	0.15107	0.0186715	0	0	16	1503.99	1.15583e-05
7AK	150-200%	Single-Family Detached	Renter	1960-79	0	0	0.306534	0.0757725	0.306534	0	0	0.276932	0.0342275	0	0	20	0	3.42432e-06
7AK	200-300%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	10	2860.87	0
7AK	200-300%	Single-Family Detached	Owner	1960-79	0	0	0.413915	0.102316	0.413915	0	0	0.0621699	0.00768393	0	0	21	2860.87	2.71367e-05
7AK	200-300%	Single-Family Detached	Renter	1960-79	0	0	0.445	0.11	0.445	0	0	0	0	0	0	12	0	7.15673e-06
7AK	300-400%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	16	4608.46	0
7AK	300-400%	Single-Family Detached	Owner	1960-79	0	0	0.388095	0.0959336	0.388095	0	0	0.11381	0.0140664	0	0	13	3662.92	2.91152e-05
7AK	300-400%	Single-Family Detached	Renter	1960-79	0	0	0.445	0.11	0.445	0	0	0	0	0	0	12	945.534	5.82943e-06
7AK	400%+	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	24	17288.1	0
7AK	400%+	Single-Family Detached	Owner	1960-79	0	0	0.284016	0.0702062	0.284016	0	0	0.202646	0.0250462	0.134069	0	22	15980.4	0.000133533
7AK	400%+	Single-Family Detached	Renter	1960-79	0	0	0.306534	0.0757725	0.306534	0	0	0.276932	0.0342275	0	0	20	1307.62	1.56153e-05
7AK	Not Available	Single-Family Detached	Not Available	1960-79	0	0	0.350653	0.0866783	0.350653	0	0	0.124005	0.0153265	0.0726843	0	37	29476.6	5.42376e-05
7AK	Not Available	Single-Family Detached	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	34	27223.5	0
7AK	Not Available	Single-Family Detached	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	10	2253.16	0
7AK	0-100%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	29	2417.84	0
7AK	0-100%	Single-Family Detached	Owner	1980-99	0.0122967	0.00151982	0.371872	0.0820337	0.291854	0.0410977	0.00507949	0.101193	0.012507	0.080546	0	25	1461.91	1.35723e-05
7AK	0-100%	Single-Family Detached	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	955.93	6.21431e-06
7AK	100-150%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	10	5220.65	0
7AK	100-150%	Single-Family Detached	Owner	1980-99	0	0	0.368303	0.079803	0.277376	0	0	0.1289	0.0159314	0.129687	0	10	5220.65	1.11132e-05
7AK	100-150%	Single-Family Detached	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	0	5.40177e-06
7AK	150-200%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	11	2988.55	0
7AK	150-200%	Single-Family Detached	Owner	1980-99	0.0351381	0.00434291	0.414012	0.0918012	0.328744	0	0	0.112106	0.0138558	0	0	10	2988.55	1.20575e-05
7AK	150-200%	Single-Family Detached	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	0	6.20844e-06
7AK	200-300%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	14	3257.13	0
7AK	200-300%	Single-Family Detached	Owner	1980-99	0.16262	0.0200991	0.359588	0.082583	0.308584	0	0	0.0140039	0.00173082	0.0507917	0	11	3257.13	3.22741e-05
7AK	200-300%	Single-Family Detached	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	0	1.14863e-05
7AK	300-400%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	24	7379.24	0
7AK	300-400%	Single-Family Detached	Owner	1980-99	0.0681215	0.00841951	0.327644	0.0787994	0.309915	0	0	0.0843704	0.0104278	0.112303	0	23	7342.2	3.69157e-05
7AK	300-400%	Single-Family Detached	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	37.0397	7.63519e-06
7AK	400%+	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	33	24856.7	0
7AK	400%+	Single-Family Detached	Owner	1980-99	0.0257058	0.00317712	0.425248	0.0926219	0.324147	0	0	0.061343	0.00758171	0.0601755	0	31	23260.1	0.000195675
7AK	400%+	Single-Family Detached	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	1596.56	1.63937e-05
7AK	Not Available	Single-Family Detached	Not Available	1980-99	0.0438889	0.00542447	0.389848	0.0866416	0.311162	0	0	0.0799366	0.0098798	0.0732196	0	56	46120.1	9.47439e-05
7AK	Not Available	Single-Family Detached	Owner	1980-99	0	0	0	0	0	0	0	0	0	0	1	53	43530.6	0
7AK	Not Available	Single-Family Detached	Renter	1980-99	0	0	0	0	0	0	0	0	0	0	1	11	2589.53	0
7AK	0-100%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	13	583.691	0
7AK	0-100%	Single-Family Detached	Owner	2000-09	0.165789	0.0204908	0.28625	0.088448	0.429375	0	0	0	0	0.00964728	0	20	162.323	7.85792e-06
7AK	0-100%	Single-Family Detached	Renter	2000-09	0.264654	0.03271	0.153379	0.0473924	0.230069	0	0	0	0	0.271797	0	12	421.368	2.99032e-06
7AK	100-150%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	10	1614.04	0
7AK	100-150%	Single-Family Detached	Owner	2000-09	0.165789	0.0204908	0.28625	0.088448	0.429375	0	0	0	0	0.00964728	0	20	1260.99	5.63639e-06
7AK	100-150%	Single-Family Detached	Renter	2000-09	0.264654	0.03271	0.153379	0.0473924	0.230069	0	0	0	0	0.271797	0	12	353.05	2.42178e-06
7AK	150-200%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	10	2188.18	0
7AK	150-200%	Single-Family Detached	Owner	2000-09	0.165789	0.0204908	0.28625	0.088448	0.429375	0	0	0	0	0.00964728	0	20	2175.79	5.28505e-06
7AK	150-200%	Single-Family Detached	Renter	2000-09	0.264654	0.03271	0.153379	0.0473924	0.230069	0	0	0	0	0.271797	0	12	12.3869	2.61839e-06
7AK	200-300%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	10	3211.05	0
7AK	200-300%	Single-Family Detached	Owner	2000-09	0.0600759	0.00742511	0.220931	0.0682652	0.331397	0	0	0	0	0.311906	0	10	2519.66	1.39526e-05
7AK	200-300%	Single-Family Detached	Renter	2000-09	0.256244	0.0316706	0.208785	0.0645121	0.313177	0	0	0	0	0.125612	0	19	691.387	4.74571e-06
7AK	300-400%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	13	4902.69	0
7AK	300-400%	Single-Family Detached	Owner	2000-09	0.0905067	0.0111862	0.2822	0.0871965	0.423299	0	0	0	0	0.105612	0	13	4902.69	1.68491e-05
7AK	300-400%	Single-Family Detached	Renter	2000-09	0.256244	0.0316706	0.208785	0.0645121	0.313177	0	0	0	0	0.125612	0	19	0	3.75869e-06
7AK	400%+	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	16	11376.2	0
7AK	400%+	Single-Family Detached	Owner	2000-09	0.0607974	0.00751428	0.331681	0.102486	0.497522	0	0	0	0	0	0	15	10639.3	9.67908e-05
7AK	400%+	Single-Family Detached	Renter	2000-09	0.256244	0.0316706	0.208785	0.0645121	0.313177	0	0	0	0	0.125612	0	19	736.887	8.8344e-06
7AK	Not Available	Single-Family Detached	Not Available	2000-09	0.139152	0.0171985	0.279543	0.0863758	0.419315	0	0	0	0	0.0584152	0	33	23875.8	5.28538e-05
7AK	Not Available	Single-Family Detached	Owner	2000-09	0	0	0	0	0	0	0	0	0	0	1	30	21660.8	0
7AK	Not Available	Single-Family Detached	Renter	2000-09	0	0	0	0	0	0	0	0	0	0	1	12	2215.08	0
7AK	0-100%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	13	2843.39	0
7AK	0-100%	Single-Family Detached	Owner	2010s	0	0	0	0	0.973823	0	0	0	0	0.026177	0	11	1370.74	1.89931e-06
7AK	0-100%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	14	1472.65	7.61025e-07
7AK	100-150%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	13	0	0
7AK	100-150%	Single-Family Detached	Owner	2010s	0	0	0	0	0.973823	0	0	0	0	0.026177	0	11	0	9.45703e-07
7AK	100-150%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	14	0	5.0632e-07
7AK	150-200%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	13	1518.25	0
7AK	150-200%	Single-Family Detached	Owner	2010s	0	0	0	0	0.973823	0	0	0	0	0.026177	0	11	1518.25	1.34371e-06
7AK	150-200%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	14	0	5.1462e-07
7AK	200-300%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	11	1938.76	0
7AK	200-300%	Single-Family Detached	Owner	2010s	0	0	0	0	0.942392	0	0	0	0	0.0576076	0	15	1337.11	3.33461e-06
7AK	200-300%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	12	601.644	1.02114e-06
7AK	300-400%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	11	1313.63	0
7AK	300-400%	Single-Family Detached	Owner	2010s	0	0	0	0	0.942392	0	0	0	0	0.0576076	0	15	1030.59	3.93602e-06
7AK	300-400%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	12	283.038	8.27256e-07
7AK	400%+	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	30	3964.88	0
7AK	400%+	Single-Family Detached	Owner	2010s	0	0	0	0	0.817025	0	0	0	0	0.182975	0	28	3964.88	2.05198e-05
7AK	400%+	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	14	0	2.01925e-06
7AK	Not Available	Single-Family Detached	Not Available	2010s	0	0	0	0	0.917207	0	0	0	0	0.0827928	0	17	11578.9	1.10614e-05
7AK	Not Available	Single-Family Detached	Owner	2010s	0	0	0	0	0	0	0	0	0	0	1	14	9221.58	0
7AK	Not Available	Single-Family Detached	Renter	2010s	0	0	0	0	0	0	0	0	0	0	1	10	2357.33	0
7AK	0-100%	Single-Family Detached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	26	1526	0
7AK	0-100%	Single-Family Detached	Owner	<1940	0.224303	0.0277229	0.197009	0.0486988	0.197009	0.0236074	0.00291777	0.248071	0.0306605	0	0	24	1526	7.11319e-07
7AK	0-100%	Single-Family Detached	Renter	<1940	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	3.82308e-07
7AK	100-150%	Single-Family Detached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	26	0	0
7AK	100-150%	Single-Family Detached	Owner	<1940	0.224303	0.0277229	0.197009	0.0486988	0.197009	0.0236074	0.00291777	0.248071	0.0306605	0	0	24	0	8.3532e-07
7AK	100-150%	Single-Family Detached	Renter	<1940	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	2.29468e-07
7AK	150-200%	Single-Family Detached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	26	887.597	0
7AK	150-200%	Single-Family Detached	Owner	<1940	0.224303	0.0277229	0.197009	0.0486988	0.197009	0.0236074	0.00291777	0.248071	0.0306605	0	0	24	887.597	6.64107e-07
7AK	150-200%	Single-Family Detached	Renter	<1940	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	1.41439e-07
7AK	200-300%	Single-Family Detached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	43	0	0
7AK	200-300%	Single-Family Detached	Owner	<1940	0.170805	0.0211107	0.187316	0.0463029	0.187316	0.169172	0.0209088	0.175391	0.0216775	0	0	41	0	1.01918e-06
7AK	200-300%	Single-Family Detached	Renter	<1940	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	2.44397e-07
7AK	300-400%	Single-Family Detached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	43	91.1843	0
7AK	300-400%	Single-Family Detached	Owner	<1940	0.170805	0.0211107	0.187316	0.0463029	0.187316	0.169172	0.0209088	0.175391	0.0216775	0	0	41	91.1843	9.17339e-07
7AK	300-400%	Single-Family Detached	Renter	<1940	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	1.99491e-07
7AK	400%+	Single-Family Detached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	41	2797.37	0
7AK	400%+	Single-Family Detached	Owner	<1940	0.191272	0.0236404	0.289957	0.0716748	0.289957	0.0355088	0.00438873	0.0833045	0.0102961	0	0	38	1833.04	4.00904e-06
7AK	400%+	Single-Family Detached	Renter	<1940	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	964.336	7.18797e-07
7AK	Not Available	Single-Family Detached	Not Available	<1940	0.224414	0.0277366	0.27179	0.0671841	0.27179	0.0575443	0.00711222	0.0644616	0.00796716	0	0	13	5302.16	3.85255e-06
7AK	Not Available	Single-Family Detached	Owner	<1940	0	0	0	0	0	0	0	0	0	0	1	12	4337.82	0
7AK	Not Available	Single-Family Detached	Renter	<1940	0	0	0	0	0	0	0	0	0	0	1	79	964.336	0
7B	0-100%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	18	0	0
7B	0-100%	Mobile Home	Owner	1940-59	0.237041	0.0292973	0.18774	0.0464077	0.18774	0	0	0.277478	0.034295	0	0	16	0	3.18706e-07
7B	0-100%	Mobile Home	Renter	1940-59	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	1.66407e-07
7B	100-150%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	18	0	0
7B	100-150%	Mobile Home	Owner	1940-59	0.237041	0.0292973	0.18774	0.0464077	0.18774	0	0	0.277478	0.034295	0	0	16	0	1.93278e-07
7B	100-150%	Mobile Home	Renter	1940-59	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	8.50585e-08
7B	150-200%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	18	0	0
7B	150-200%	Mobile Home	Owner	1940-59	0.237041	0.0292973	0.18774	0.0464077	0.18774	0	0	0.277478	0.034295	0	0	16	0	1.61691e-07
7B	150-200%	Mobile Home	Renter	1940-59	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	5.828e-08
7B	200-300%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	34	0	0
7B	200-300%	Mobile Home	Owner	1940-59	0.16314	0.0201634	0.187631	0.0463807	0.187631	0.175057	0.0216363	0.17654	0.0218196	0	0	32	0	2.3711e-07
7B	200-300%	Mobile Home	Renter	1940-59	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	8.5385e-08
7B	300-400%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	34	0	0
7B	300-400%	Mobile Home	Owner	1940-59	0.16314	0.0201634	0.187631	0.0463807	0.187631	0.175057	0.0216363	0.17654	0.0218196	0	0	32	0	1.35215e-07
7B	300-400%	Mobile Home	Renter	1940-59	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	4.17039e-08
7B	400%+	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	32	0	0
7B	400%+	Mobile Home	Owner	1940-59	0.204345	0.0252562	0.28232	0.069787	0.28232	0.0379358	0.00468869	0.0830782	0.0102681	0	0	30	0	2.09395e-07
7B	400%+	Mobile Home	Renter	1940-59	0.189523	0.0234241	0.22889	0.0565795	0.22889	0.0662007	0.00818211	0.176497	0.0218142	0	0	79	0	3.40786e-08
7B	Not Available	Mobile Home	Not Available	1940-59	0.190344	0.0235257	0.224873	0.0555867	0.224873	0.0643655	0.00795528	0.185543	0.0229323	0	0	62	0	5.15525e-07
7B	Not Available	Mobile Home	Owner	1940-59	0	0	0	0	0	0	0	0	0	0	1	57	0	0
7B	Not Available	Mobile Home	Renter	1940-59	0	0	0	0	0	0	0	0	0	0	1	79	0	0
7B	0-100%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	20	0	0
7B	0-100%	Mobile Home	Owner	1960-79	0.00669676	0.000827689	0.299636	0.0740673	0.299636	0.0223261	0.00275941	0.246185	0.0304274	0.017439	0	17	0	3.25159e-06
7B	0-100%	Mobile Home	Renter	1960-79	0	0	0.306534	0.0757725	0.306534	0	0	0.276932	0.0342275	0	0	20	0	1.54437e-06
7B	100-150%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	20	0	0
7B	100-150%	Mobile Home	Owner	1960-79	0.00669676	0.000827689	0.299636	0.0740673	0.299636	0.0223261	0.00275941	0.246185	0.0304274	0.017439	0	17	0	2.62266e-06
7B	100-150%	Mobile Home	Renter	1960-79	0	0	0.306534	0.0757725	0.306534	0	0	0.276932	0.0342275	0	0	20	0	1.1812e-06
7B	150-200%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	20	0	0
7B	150-200%	Mobile Home	Owner	1960-79	0.00669676	0.000827689	0.299636	0.0740673	0.299636	0.0223261	0.00275941	0.246185	0.0304274	0.017439	0	17	0	2.66953e-06
7B	150-200%	Mobile Home	Renter	1960-79	0	0	0.306534	0.0757725	0.306534	0	0	0.276932	0.0342275	0	0	20	0	8.6936e-07
7B	200-300%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	29	0	0
7B	200-300%	Mobile Home	Owner	1960-79	0.015083	0.0018642	0.30948	0.0765006	0.30948	0	0	0.229106	0.0283165	0.0301694	0	28	0	4.28906e-06
7B	200-300%	Mobile Home	Renter	1960-79	0	0	0.445	0.11	0.445	0	0	0	0	0	0	13	0	1.53291e-06
7B	300-400%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	29	0	0
7B	300-400%	Mobile Home	Owner	1960-79	0.015083	0.0018642	0.30948	0.0765006	0.30948	0	0	0.229106	0.0283165	0.0301694	0	28	0	2.81341e-06
7B	300-400%	Mobile Home	Renter	1960-79	0	0	0.445	0.11	0.445	0	0	0	0	0	0	13	0	9.39409e-07
7B	400%+	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	35	0	0
7B	400%+	Mobile Home	Owner	1960-79	0.0514462	0.00635852	0.323031	0.0798503	0.323031	0	0	0.0358631	0.00443252	0.175988	0	33	0	3.09714e-06
7B	400%+	Mobile Home	Renter	1960-79	0	0	0.306534	0.0757725	0.306534	0	0	0.276932	0.0342275	0	0	20	0	1.40257e-06
7B	Not Available	Mobile Home	Not Available	1960-79	0.0266363	0.00329213	0.306908	0.0758648	0.306908	0.00633025	0.00078239	0.16873	0.0208542	0.083695	0	61	0	7.13355e-06
7B	Not Available	Mobile Home	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	57	0	0
7B	Not Available	Mobile Home	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	20	0	0
7B	0-100%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	46	0	0
7B	0-100%	Mobile Home	Owner	1980-99	0.00510173	0.000630551	0.451636	0.0961622	0.326403	0.0123986	0.00153241	0.0533874	0.00659844	0.0461489	0	40	0	2.22801e-06
7B	0-100%	Mobile Home	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	0	1.64037e-06
7B	100-150%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	46	0	0
7B	100-150%	Mobile Home	Owner	1980-99	0.00510173	0.000630551	0.451636	0.0961622	0.326403	0.0123986	0.00153241	0.0533874	0.00659844	0.0461489	0	40	0	2.01274e-06
7B	100-150%	Mobile Home	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	0	1.21736e-06
7B	150-200%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	46	0	0
7B	150-200%	Mobile Home	Owner	1980-99	0.00510173	0.000630551	0.451636	0.0961622	0.326403	0.0123986	0.00153241	0.0533874	0.00659844	0.0461489	0	40	0	2.22438e-06
7B	150-200%	Mobile Home	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	0	1.13375e-06
7B	200-300%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	34	0	0
7B	200-300%	Mobile Home	Owner	1980-99	0.0330018	0.00407887	0.419732	0.0848288	0.266609	0.0843537	0.0104257	0.06235	0.00770618	0.0269132	0	33	0	4.67217e-06
7B	200-300%	Mobile Home	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	0	1.97726e-06
7B	300-400%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	34	0	0
7B	300-400%	Mobile Home	Owner	1980-99	0.0330018	0.00407887	0.419732	0.0848288	0.266609	0.0843537	0.0104257	0.06235	0.00770618	0.0269132	0	33	0	3.37775e-06
7B	300-400%	Mobile Home	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	0	1.0069e-06
7B	400%+	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	34	0	0
7B	400%+	Mobile Home	Owner	1980-99	0.192024	0.0237334	0.363125	0.0716345	0.216463	0.00470155	0.00058109	0.053692	0.00663609	0.0674092	0	33	0	5.80905e-06
7B	400%+	Mobile Home	Renter	1980-99	0.0685297	0.00846996	0.452106	0.0878221	0.258454	0.0218629	0.00270216	0.089047	0.0110058	0	0	16	0	1.15905e-06
7B	Not Available	Mobile Home	Not Available	1980-99	0.087013	0.0107544	0.42464	0.0848598	0.261953	0.0340955	0.00421406	0.0499954	0.00617921	0.0362956	0	55	0	7.62085e-06
7B	Not Available	Mobile Home	Owner	1980-99	0	0	0	0	0	0	0	0	0	0	1	53	0	0
7B	Not Available	Mobile Home	Renter	1980-99	0	0	0	0	0	0	0	0	0	0	1	16	0	0
7B	0-100%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	12	0	0
7B	0-100%	Mobile Home	Owner	2000-09	0.17271	0.0213462	0.282866	0.0874023	0.424298	0	0	0	0	0.0113775	0	11	0	4.64078e-07
7B	0-100%	Mobile Home	Renter	2000-09	0.264654	0.03271	0.153379	0.0473924	0.230069	0	0	0	0	0.271797	0	13	0	6.53056e-07
7B	100-150%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	12	0	0
7B	100-150%	Mobile Home	Owner	2000-09	0.17271	0.0213462	0.282866	0.0874023	0.424298	0	0	0	0	0.0113775	0	11	0	5.78225e-07
7B	100-150%	Mobile Home	Renter	2000-09	0.264654	0.03271	0.153379	0.0473924	0.230069	0	0	0	0	0.271797	0	13	0	3.79883e-07
7B	150-200%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	12	0	0
7B	150-200%	Mobile Home	Owner	2000-09	0.17271	0.0213462	0.282866	0.0874023	0.424298	0	0	0	0	0.0113775	0	11	0	7.02305e-07
7B	150-200%	Mobile Home	Renter	2000-09	0.264654	0.03271	0.153379	0.0473924	0.230069	0	0	0	0	0.271797	0	13	0	3.59986e-07
7B	200-300%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	13	0	0
7B	200-300%	Mobile Home	Owner	2000-09	0.0751084	0.00928307	0.318588	0.0984402	0.477883	0	0	0	0	0.0206971	0	12	0	1.67137e-06
7B	200-300%	Mobile Home	Renter	2000-09	0.256244	0.0316706	0.208785	0.0645121	0.313177	0	0	0	0	0.125612	0	19	0	6.15942e-07
7B	300-400%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	13	0	0
7B	300-400%	Mobile Home	Owner	2000-09	0.0751084	0.00928307	0.318588	0.0984402	0.477883	0	0	0	0	0.0206971	0	12	0	1.17273e-06
7B	300-400%	Mobile Home	Renter	2000-09	0.256244	0.0316706	0.208785	0.0645121	0.313177	0	0	0	0	0.125612	0	19	0	3.72734e-07
7B	400%+	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	22	0	0
