Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
Single-Family Attached	TX, 06100	0.13879	0.11032	0.0782918	0	0.0676157	0.19573	0.231317	0.177936	0	20	281	2.04754e-06
Single-Family Detached	TX, 06100	0.0717405	0.0560154	0.0932519	0.087144	0.132498	0.140775	0.144204	0.185995	0.0883763	1798	37329	0.000272003
10 to 19 Unit	TX, 06200	0.141188	0	0.00486855	0.152872	0.123661	0.0379747	0.0944499	0.316456	0.12853	30	1027	7.58771e-06
2 Unit	TX, 06200	0.00977654	0.0233939	0.0502793	0.168645	0.20426	0.25	0.131285	0.109288	0.0530726	99	2864	2.11598e-05
20 to 49 Unit	TX, 06200	0	0	0.0484522	0.0672948	0.244953	0.0619112	0.0457604	0.414536	0.117093	22	743	5.48942e-06
3 or 4 Unit	TX, 06200	0.0257898	0.0457769	0.0409413	0.108962	0.163765	0.166989	0.182141	0.183752	0.0818827	98	3102	2.29182e-05
5 to 9 Unit	TX, 06200	0.00139373	0.0202091	0.00905923	0.0578397	0.301742	0.26899	0.0362369	0.183275	0.121254	47	1435	1.06021e-05
50 or more Unit	TX, 06200	0	0	0	0.141457	0.218487	0	0.116246	0.120448	0.403361	22	714	5.27516e-06
Mobile Home	TX, 06200	0.00178731	0.00724854	0.0112203	0.0315758	0.154106	0.200874	0.294509	0.19998	0.0986992	513	10071	7.44066e-05
Single-Family Attached	TX, 06200	0.0619416	0.0607504	0.127457	0.156045	0.162597	0.204884	0.0446694	0.171531	0.0101251	73	1679	1.24048e-05
Single-Family Detached	TX, 06200	0.0655542	0.0485136	0.100099	0.118223	0.174384	0.139242	0.141585	0.158006	0.0543928	2206	45245	0.000334279
10 to 19 Unit	TX, 06301	0.0370774	0	0.0741549	0.0790622	0.185387	0.145583	0.254635	0.13904	0.08506	89	1834	1.3554e-05
2 Unit	TX, 06301	0.0881262	0.0463822	0.0408163	0.0769944	0.207792	0.159555	0.25603	0.0881262	0.0361781	63	1078	7.96683e-06
20 to 49 Unit	TX, 06301	0.0494881	0.0318544	0.0602958	0.0779295	0.197952	0.134243	0.275313	0.0802048	0.092719	81	1758	1.29923e-05
3 or 4 Unit	TX, 06301	0.0388	0	0.0172	0.1384	0.1224	0.1564	0.2484	0.2312	0.0472	123	2500	1.8476e-05
5 to 9 Unit	TX, 06301	0.0234375	0.0164931	0.0134549	0.0729167	0.195747	0.136719	0.260851	0.188368	0.0920139	118	2304	1.70275e-05
50 or more Unit	TX, 06301	0.071298	0.0703839	0.0191956	0.130256	0.187386	0.0914077	0.206581	0.121115	0.102377	110	2188	1.61702e-05
Mobile Home	TX, 06301	0.00237318	0.0148324	0.0106793	0.0459804	0.183328	0.229605	0.322456	0.108573	0.0821715	208	3371	2.4913e-05
Single-Family Attached	TX, 06301	0.0943228	0.0442557	0.137237	0.130085	0.147519	0.253017	0.152883	0.0308449	0.0098346	145	2237	1.65323e-05
Single-Family Detached	TX, 06301	0.0645349	0.0764341	0.120891	0.128372	0.181705	0.184186	0.155543	0.0812016	0.00713178	1760	25800	0.000190672
10 to 19 Unit	TX, 06302	0	0	0.0151822	0	0	0.0435223	0.0597166	0.775304	0.106275	28	988	6.63557e-06
2 Unit	TX, 06302	0	0	0	0	0.124542	0.263736	0.161172	0.450549	0	12	273	1.83351e-06
20 to 49 Unit	TX, 06302	0	0	0	0.0181818	0	0.0395722	0.175401	0.539037	0.227807	27	935	6.27962e-06
3 or 4 Unit	TX, 06302	0	0	0	0	0.00803571	0.0160714	0.211607	0.40625	0.358036	43	1120	7.5221e-06
5 to 9 Unit	TX, 06302	0	0	0	0	0	0.0512821	0.304993	0.398111	0.245614	24	741	4.97667e-06
50 or more Unit	TX, 06302	0	0	0	0	0.0352518	0.0338129	0.181295	0.466187	0.283453	48	1390	9.33547e-06
Mobile Home	TX, 06302	0	0.00473738	0.00329557	0.0273944	0.0574665	0.187848	0.479918	0.164573	0.0747683	232	4855	3.2607e-05
Single-Family Attached	TX, 06302	0.0201117	0	0	0.0122905	0	0.165363	0.122905	0.558659	0.12067	41	895	6.01096e-06
Single-Family Detached	TX, 06302	0.00618614	0.00618614	0.0112949	0.014388	0.0212692	0.106172	0.261834	0.408042	0.164628	1317	28774	0.000193251
10 to 19 Unit	TX, 06400	0.00929525	0.00915402	0.0271911	0.0753102	0.205764	0.245886	0.169047	0.160888	0.0974646	23264	693903	1.0099e-06
2 Unit	TX, 06400	0.0487805	0.0174216	0	0	0.344948	0.236063	0.172474	0.097561	0.0827526	43	1148	8.46252e-06
20 to 49 Unit	TX, 06400	0.0945274	0	0	0.129353	0.258706	0.303483	0.0696517	0.0746269	0.0696517	13	201	1.48168e-06
3 or 4 Unit	TX, 06400	0.0209482	0	0.0396913	0.0418964	0.222712	0.175303	0.277839	0.112459	0.109151	38	907	6.68599e-06
5 to 9 Unit	TX, 06400	0	0	0	0.0371134	0.28866	0.0453608	0.224742	0.195876	0.208247	23	485	3.57519e-06
50 or more Unit	TX, 06400	0.0166523	0.00720649	0.0221858	0.0679135	0.124871	0.138397	0.155936	0.22063	0.246207	26024	577396	2.65375e-07
Mobile Home	TX, 06400	0	0	0.0119912	0.0577469	0.198485	0.200536	0.294572	0.144998	0.0916693	324	6338	4.6721e-05
Single-Family Attached	TX, 06400	0.0128205	0	0.145299	0	0.299145	0.15812	0.0641026	0.0598291	0.260684	17	234	1.72494e-06
Single-Family Detached	TX, 06400	0.0397742	0.0486552	0.0756153	0.092965	0.166297	0.193415	0.158938	0.154624	0.0697158	1820	31528	0.00023241
10 to 19 Unit	TX, 06500	0.0501825	0	0.00638686	0.0410584	0.191606	0.231752	0.127737	0.178832	0.172445	37	1096	7.9994e-06
2 Unit	TX, 06500	0.042623	0.0295082	0.0459016	0.152693	0.364871	0.213115	0.0590164	0.042623	0.0496487	83	2135	1.55828e-05
20 to 49 Unit	TX, 06500	0	0	0	0.0440613	0.180077	0.105364	0.103448	0.231801	0.335249	23	522	3.80994e-06
3 or 4 Unit	TX, 06500	0.0111026	0	0.0310107	0.0233538	0.427259	0.228943	0.171133	0.0643185	0.042879	85	2612	1.90643e-05
5 to 9 Unit	TX, 06500	0	0	0.0387679	0.0520446	0.465215	0.282528	0.0998407	0.0493893	0.0122146	60	1883	1.37435e-05
50 or more Unit	TX, 06500	0.0222222	0.0136752	0	0.11453	0.0102564	0.312821	0.249573	0.222222	0.0547009	26	585	4.26976e-06
Mobile Home	TX, 06500	0.00169757	0.00457038	0.00326456	0.0271611	0.15461	0.227083	0.266127	0.183207	0.13228	404	7658	5.58938e-05
Single-Family Attached	TX, 06500	0	0.0457516	0.102941	0.133987	0.272876	0.104575	0.181373	0.158497	0	38	612	4.46683e-06
Single-Family Detached	TX, 06500	0.0391772	0.0542638	0.108288	0.159798	0.229124	0.115999	0.098374	0.137671	0.057305	2575	41759	0.000304788
10 to 19 Unit	TX, 06601	0	0	0.0460444	0.126831	0.12139	0.24571	0.159062	0.112599	0.188363	67	2389	1.71043e-05
2 Unit	TX, 06601	0	0.0548321	0.00753941	0.107608	0.0952707	0.229609	0.0191912	0.339959	0.14599	52	1459	1.04459e-05
20 to 49 Unit	TX, 06601	0	0	0.0565642	0.12081	0.147346	0.194832	0.0831006	0.259777	0.13757	41	1432	1.02526e-05
3 or 4 Unit	TX, 06601	0.00411523	0.0374486	0.0135802	0.130864	0.151029	0.385185	0.124691	0.121399	0.0316872	89	2430	1.73978e-05
5 to 9 Unit	TX, 06601	0	0.00872455	0.060241	0.121728	0.157457	0.253428	0.0909846	0.211882	0.0955546	77	2407	1.72332e-05
50 or more Unit	TX, 06601	0	0	0.0475573	0.0393428	0.115435	0.42326	0.126243	0.0886295	0.159533	91	2313	1.65602e-05
Mobile Home	TX, 06601	0	0	0.0247765	0.0858238	0.158621	0.155045	0.209451	0.310856	0.0554278	186	3915	2.80299e-05
Single-Family Attached	TX, 06601	0.0204082	0.0319432	0.0576752	0.102928	0.141083	0.221828	0.222715	0.144632	0.0567879	75	1127	8.0689e-06
Single-Family Detached	TX, 06601	0.0266783	0.0354119	0.0835125	0.114093	0.132834	0.190571	0.128375	0.175812	0.112713	1865	37671	0.00026971
10 to 19 Unit	TX, 06602	0.090065	0.0445682	0.109564	0.14299	0.311978	0.214485	0.0473538	0.0389972	0	40	1077	8.10387e-06
2 Unit	TX, 06602	0.0476758	0.137465	0.205006	0.213349	0.0870083	0.162495	0.0361542	0.0150973	0.0957489	93	2517	1.89391e-05
20 to 49 Unit	TX, 06602	0.0350877	0.147368	0.175439	0.105263	0	0.378947	0	0.157895	0	16	285	2.14447e-06
3 or 4 Unit	TX, 06602	0.0841379	0.0943448	0.195862	0.0910345	0.262069	0.154759	0.0148966	0.0408276	0.062069	142	3625	2.72762e-05
5 to 9 Unit	TX, 06602	0.0463478	0.0915832	0.176122	0.154616	0.311828	0.0804598	0.0196515	0.04264	0.0767519	100	2697	2.02935e-05
50 or more Unit	TX, 06602	0.175791	0.0316302	0.0541363	0.10219	0.21837	0.220803	0.0212895	0.0991484	0.0766423	87	1644	1.23702e-05
Mobile Home	TX, 06602	0	0.0447761	0.112514	0.0665901	0.226177	0.0482204	0.435132	0.0665901	0	33	871	6.55383e-06
Single-Family Attached	TX, 06602	0.054409	0.140713	0.163227	0.257036	0.196998	0.114447	0	0.0243902	0.0487805	30	533	4.01052e-06
Single-Family Detached	TX, 06602	0.0581629	0.177514	0.354308	0.145856	0.111773	0.0675372	0.0336039	0.0332445	0.0179999	1644	33389	0.000251234
10 to 19 Unit	TX, 06603	0	0	0.00917431	0.0571175	0.102397	0.193548	0.17224	0.229654	0.235869	120	3379	2.47999e-05
2 Unit	TX, 06603	0	0	0.0904872	0.0881671	0.0696056	0.118329	0.240139	0.167053	0.226218	29	862	6.32658e-06
20 to 49 Unit	TX, 06603	0	0	0.0242338	0.0463293	0.133286	0.260157	0.193158	0.0919458	0.250891	65	1403	1.02972e-05
3 or 4 Unit	TX, 06603	0.00709877	0.00987654	0.00246914	0.124074	0.317284	0.238889	0.134877	0.079321	0.0861111	121	3240	2.37797e-05
5 to 9 Unit	TX, 06603	0.00544135	0.0157195	0.0244861	0.0680169	0.237757	0.230502	0.187122	0.114117	0.116838	206	6616	4.85577e-05
50 or more Unit	TX, 06603	0.00475146	0.00877193	0.058114	0.0983187	0.101608	0.230263	0.156433	0.118787	0.222953	160	2736	2.00806e-05
Mobile Home	TX, 06603	0	0.152941	0.215686	0	0	0.176471	0.180392	0.2	0.0745098	10	255	1.87155e-06
Single-Family Attached	TX, 06603	0	0	0.0253293	0.107396	0.239108	0.282675	0.115502	0.109422	0.120567	68	987	7.244e-06
Single-Family Detached	TX, 06603	0.00406736	0.0191951	0.196589	0.160019	0.180106	0.157022	0.126195	0.112709	0.0440988	1587	28028	0.000205709
10 to 19 Unit	TX, 06701	0	0	0	0	0.106345	0.363718	0.194817	0.175156	0.159964	39	1119	7.96022e-06
2 Unit	TX, 06701	0.00490677	0.0210991	0.00196271	0.0250245	0.195289	0.315015	0.173209	0.224239	0.0392542	79	2038	1.44977e-05
20 to 49 Unit	TX, 06701	0	0.00572246	0	0.010968	0.231283	0.31092	0.150215	0.165474	0.125417	74	2097	1.49174e-05
3 or 4 Unit	TX, 06701	0	0.00900901	0	0.0388514	0.238176	0.342342	0.108108	0.0951577	0.168356	75	1776	1.26339e-05
5 to 9 Unit	TX, 06701	0	0.101996	0	0.0121951	0.187361	0.517738	0.0953437	0.00665188	0.078714	38	902	6.41654e-06
50 or more Unit	TX, 06701	0.00513573	0.0106383	0	0	0.190389	0.425532	0.115554	0.116288	0.136464	104	2726	1.93919e-05
Mobile Home	TX, 06701	0.00113314	0.00184136	0.000424929	0.011898	0.15	0.172946	0.281303	0.227195	0.153258	307	7060	5.02225e-05
Single-Family Attached	TX, 06701	0.0286707	0	0.0529974	0.0851434	0.0721112	0.142485	0.148566	0.388358	0.0816681	65	1151	8.18783e-06
Single-Family Detached	TX, 06701	0.00700798	0.0201155	0.0353968	0.0355915	0.118033	0.145448	0.185257	0.331841	0.121309	1360	30822	0.000219258
10 to 19 Unit	TX, 06702	0	0	0.0411413	0.0875912	0.140013	0.278036	0.144658	0.247512	0.0610484	54	1507	1.10181e-05
2 Unit	TX, 06702	0.0496454	0.0375887	0.0950355	0.0588652	0.170213	0.280142	0.1	0.129787	0.0787234	59	1410	1.03089e-05
20 to 49 Unit	TX, 06702	0.135747	0	0	0.0339367	0.0723982	0.210407	0.244344	0.180995	0.122172	17	442	3.23158e-06
3 or 4 Unit	TX, 06702	0.0227439	0.0121056	0.0447542	0.118855	0.205796	0.142333	0.104916	0.305943	0.0425532	104	2726	1.99305e-05
5 to 9 Unit	TX, 06702	0.00971772	0.00925497	0.0536789	0.099491	0.260528	0.264692	0.110134	0.11615	0.0763535	87	2161	1.57996e-05
50 or more Unit	TX, 06702	0.0172662	0.0244604	0.120863	0.047482	0.168345	0.100719	0.198561	0.217266	0.105036	33	695	5.08132e-06
Mobile Home	TX, 06702	0.00422567	0	0.00673824	0.00742348	0.241663	0.287803	0.253312	0.116035	0.0828004	324	8756	6.40174e-05
Single-Family Attached	TX, 06702	0.0389364	0.0332384	0.132004	0.0921178	0.196581	0.208927	0.1434	0.136752	0.0180437	70	1053	7.69876e-06
Single-Family Detached	TX, 06702	0.0410319	0.056549	0.118421	0.081078	0.160297	0.154693	0.129685	0.197837	0.0604072	2015	35509	0.000259616
10 to 19 Unit	TX, 06703	0.0148699	0.100372	0.0289963	0.0223048	0.119703	0.0936803	0.188104	0.230483	0.201487	65	1345	9.92892e-06
2 Unit	TX, 06703	0.0183739	0.0188333	0.0335324	0.0872761	0.121727	0.310978	0.122186	0.147451	0.139642	117	2177	1.60708e-05
20 to 49 Unit	TX, 06703	0.0337648	0.0157569	0.0123804	0.155318	0.205402	0.175577	0.154755	0.183455	0.0635903	82	1777	1.3118e-05
3 or 4 Unit	TX, 06703	0.0257193	0.00392328	0.00915432	0.102005	0.198344	0.188753	0.141674	0.188317	0.14211	126	2294	1.69345e-05
5 to 9 Unit	TX, 06703	0.00235386	0.0251079	0.0180463	0.0690467	0.187132	0.229894	0.114162	0.122793	0.231463	131	2549	1.8817e-05
50 or more Unit	TX, 06703	0.0130693	0.0229703	0.0336634	0.0407921	0.232475	0.170693	0.208713	0.152079	0.125545	141	2525	1.86398e-05
Mobile Home	TX, 06703	0.0248288	0	0	0.00428082	0.351455	0.266695	0.12286	0.143408	0.0864726	118	2336	1.72446e-05
Single-Family Attached	TX, 06703	0.0599047	0.0864534	0.0469707	0.131382	0.142954	0.147039	0.181076	0.16678	0.0374404	83	1469	1.08443e-05
Single-Family Detached	TX, 06703	0.0296016	0.0384691	0.0737758	0.086914	0.159549	0.167634	0.18162	0.211971	0.0504662	1831	30674	0.000226438
10 to 19 Unit	TX, 06801	0	0	0.0181058	0.0208914	0.112813	0.132312	0.240947	0.406685	0.0682451	23	718	5.06065e-06
2 Unit	TX, 06801	0.0240427	0	0.138914	0.064114	0.0694568	0.162066	0.0872663	0.402493	0.0516474	50	1123	7.9152e-06
20 to 49 Unit	TX, 06801	0	0	0.0903361	0.271008	0.161765	0.0588235	0.172269	0.147059	0.0987395	17	476	3.35496e-06
3 or 4 Unit	TX, 06801	0.016129	0	0.0334988	0.07134	0.073201	0.194789	0.0924318	0.385856	0.132754	66	1612	1.13618e-05
5 to 9 Unit	TX, 06801	0	0	0.0672823	0	0.261214	0.126649	0.126649	0.335092	0.0831135	25	758	5.34258e-06
50 or more Unit	TX, 06801	0	0	0	0.133739	0.0364742	0	0.401216	0.197568	0.231003	15	329	2.31888e-06
Mobile Home	TX, 06801	0	0.00958286	0	0.0170237	0.145209	0.278918	0.298985	0.170237	0.0800451	380	8870	6.2518e-05
Single-Family Attached	TX, 06801	0.0309278	0	0.0360825	0.0747423	0.149485	0.121134	0.229381	0.358247	0	21	388	2.73473e-06
Single-Family Detached	TX, 06801	0.0304995	0.020236	0.0536441	0.0823569	0.134921	0.178717	0.17531	0.251226	0.0730907	1097	24066	0.000169623
10 to 19 Unit	TX, 06802	0.00929525	0.00915402	0.0271911	0.0753102	0.205764	0.245886	0.169047	0.160888	0.0974646	23264	693903	1.95332e-06
2 Unit	TX, 06802	0.0233593	0	0	0.0678532	0.0244716	0	0.392659	0.393771	0.0978865	32	899	6.38556e-06
20 to 49 Unit	TX, 06802	0.0128002	0.00955646	0.0258274	0.0822579	0.164616	0.192192	0.170691	0.191119	0.15094	14274	400776	9.37592e-07
3 or 4 Unit	TX, 06802	0.0404313	0	0.0283019	0.0660377	0	0.0471698	0.185984	0.486523	0.145553	24	742	5.2704e-06
5 to 9 Unit	TX, 06802	0	0	0	0	0	0	0.319277	0.572289	0.108434	11	332	2.35818e-06
50 or more Unit	TX, 06802	0.0166523	0.00720649	0.0221858	0.0679135	0.124871	0.138397	0.155936	0.22063	0.246207	26024	577396	2.69913e-07
Mobile Home	TX, 06802	0.00246445	0	0	0.0214218	0.134123	0.252038	0.324834	0.224455	0.0406635	342	10550	7.49364e-05
Single-Family Attached	TX, 06802	0	0.102703	0.135135	0.237838	0.0594595	0.102703	0	0.362162	0	10	185	1.31405e-06
Single-Family Detached	TX, 06802	0.0175704	0.0243317	0.0452827	0.0832703	0.0870513	0.150794	0.175882	0.27392	0.141898	830	22481	0.000159682
10 to 19 Unit	TX, 06803	0	0	0	0	0.0687831	0.253968	0.150794	0.431217	0.0952381	13	378	2.67848e-06
2 Unit	TX, 06803	0	0	0	0.0390819	0	0.0651365	0.282258	0.462159	0.151365	47	1612	1.14225e-05
20 to 49 Unit	TX, 06803	0.0128002	0.00955646	0.0258274	0.0822579	0.164616	0.192192	0.170691	0.191119	0.15094	14274	400776	2.13287e-06
3 or 4 Unit	TX, 06803	0	0	0	0	0.0284379	0.0763537	0.121153	0.63732	0.136735	70	2567	1.81896e-05
5 to 9 Unit	TX, 06803	0	0	0	0.0353017	0.0924262	0.0885751	0.235558	0.327343	0.220796	45	1558	1.10399e-05
50 or more Unit	TX, 06803	0	0	0.0675676	0	0	0	0.477477	0.333333	0.121622	10	222	1.57308e-06
Mobile Home	TX, 06803	0	0	0.0143066	0	0.121931	0.289709	0.358316	0.181759	0.0339782	180	6151	4.35857e-05
Single-Family Attached	TX, 06803	0.119512	0	0.0292683	0	0.0878049	0.15122	0.0658537	0.47561	0.0707317	24	410	2.90522e-06
Single-Family Detached	TX, 06803	0.0133835	0.0245967	0.030565	0.0668089	0.080518	0.132207	0.19558	0.363922	0.0924184	1020	27646	0.000195898
10 to 19 Unit	TX, 06804	0	0	0.0627451	0.0980392	0.248039	0	0.181373	0.132353	0.277451	25	1020	6.99884e-06
2 Unit	TX, 06804	0	0.00835282	0	0.0126963	0.0287337	0.0527898	0.236218	0.477781	0.183428	71	2993	2.05368e-05
20 to 49 Unit	TX, 06804	0	0	0	0	0	0.0584518	0.195893	0.527646	0.218009	14	633	4.34339e-06
3 or 4 Unit	TX, 06804	0	0.0203874	0.0190282	0.0190282	0.0767924	0.0543663	0.214067	0.48318	0.11315	82	2943	2.01937e-05
5 to 9 Unit	TX, 06804	0	0.00726392	0.0569007	0.033293	0.103511	0.173123	0.25908	0.143462	0.223366	42	1652	1.13354e-05
50 or more Unit	TX, 06804	0	0.0556901	0.1477	0.128329	0.145278	0.0774818	0.154964	0.0677966	0.22276	15	413	2.83383e-06
Mobile Home	TX, 06804	0	0.00778106	0	0.0268312	0.132278	0.224846	0.415347	0.182452	0.0104642	115	3727	2.55732e-05
Single-Family Attached	TX, 06804	0	0	0.180851	0.0531915	0.300532	0.0478723	0.111702	0.305851	0	12	376	2.57996e-06
Single-Family Detached	TX, 06804	0.0204695	0.0210703	0.0316456	0.0429418	0.0867649	0.141203	0.192277	0.34734	0.116287	848	24964	0.000171293
10 to 19 Unit	TX, 06805	0	0	0.0421799	0.0119448	0.176558	0.132885	0.187757	0.322508	0.126166	91	2679	1.90331e-05
2 Unit	TX, 06805	0	0	0.0733051	0.0690678	0.0800847	0.241525	0.259322	0.120763	0.155932	78	2360	1.67667e-05
20 to 49 Unit	TX, 06805	0	0.0043802	0.0201489	0.0530004	0.169076	0.219886	0.222952	0.201927	0.108629	90	2283	1.62197e-05
3 or 4 Unit	TX, 06805	0.00996591	0.00288487	0.0225544	0.06032	0.203777	0.19722	0.147915	0.234986	0.120378	123	3813	2.70896e-05
5 to 9 Unit	TX, 06805	0	0.00373895	0.00441876	0.0788579	0.183549	0.268865	0.0938137	0.222978	0.14378	105	2942	2.09016e-05
50 or more Unit	TX, 06805	0	0	0	0.0245678	0.10646	0.232029	0.267516	0.215651	0.153776	54	1099	7.8079e-06
Mobile Home	TX, 06805	0	0	0	0.0280217	0.31995	0.248432	0.270598	0.0961941	0.0368047	86	2391	1.69869e-05
Single-Family Attached	TX, 06805	0.0406905	0	0.0369914	0.0770654	0.234279	0.196054	0.122072	0.27127	0.0215783	86	1622	1.15236e-05
Single-Family Detached	TX, 06805	0.0146641	0.0202853	0.0459475	0.0744509	0.162222	0.169309	0.196774	0.257874	0.0584731	1404	32733	0.000232553
10 to 19 Unit	TX, 06806	0	0	0.119481	0	0.0298701	0.223377	0.101299	0.219481	0.306494	24	770	5.68237e-06
2 Unit	TX, 06806	0	0	0	0.157303	0.0876404	0.213483	0.226966	0.262921	0.0516854	16	445	3.28395e-06
20 to 49 Unit	TX, 06806	0	0	0	0	0.298182	0	0.301818	0.243636	0.156364	12	275	2.02941e-06
3 or 4 Unit	TX, 06806	0.0170705	0	0	0.0368943	0.157489	0.163546	0.138216	0.306167	0.180617	59	1816	1.34015e-05
5 to 9 Unit	TX, 06806	0	0	0	0.00900901	0.145946	0.216216	0.13964	0.284685	0.204505	34	1110	8.19144e-06
50 or more Unit	TX, 06806	0	0	0	0	0.0951724	0.0813793	0.161379	0.475862	0.186207	21	725	5.35028e-06
Mobile Home	TX, 06806	0	0	0	0.04	0.128667	0.306667	0.260667	0.219	0.045	210	6000	4.42781e-05
Single-Family Attached	TX, 06806	0	0	0	0.0450704	0.116901	0.253521	0.315493	0.16338	0.105634	27	710	5.23958e-06
Single-Family Detached	TX, 06806	0.0124986	0.015547	0.024235	0.0340281	0.0855466	0.139313	0.254125	0.349998	0.0847083	1056	26243	0.000193665
10 to 19 Unit	TX, 06807	0.00929525	0.00915402	0.0271911	0.0753102	0.205764	0.245886	0.169047	0.160888	0.0974646	23264	693903	8.09059e-07
2 Unit	TX, 06807	0	0	0	0	0	0	0.161634	0.584369	0.253996	17	563	4.03097e-06
20 to 49 Unit	TX, 06807	0.0128002	0.00955646	0.0258274	0.0822579	0.164616	0.192192	0.170691	0.191119	0.15094	14274	400776	9.73733e-07
3 or 4 Unit	TX, 06807	0.0126783	0	0	0	0	0	0.103011	0.253566	0.630745	22	631	4.51784e-06
5 to 9 Unit	TX, 06807	0.107692	0	0	0	0	0	0.285714	0.347253	0.259341	15	455	3.25771e-06
50 or more Unit	TX, 06807	0.0166523	0.00720649	0.0221858	0.0679135	0.124871	0.138397	0.155936	0.22063	0.246207	26024	577396	6.94501e-07
Mobile Home	TX, 06807	0.00270351	0	0	0.0135176	0.118354	0.294233	0.325623	0.172274	0.0732953	244	6658	4.76701e-05
Single-Family Attached	TX, 06807	0	0	0	0	0.0450161	0	0.327974	0.414791	0.212219	15	311	2.2267e-06
Single-Family Detached	TX, 06807	0.0108042	0.00832387	0.0180771	0.0318661	0.0663808	0.167192	0.21764	0.366755	0.112961	1004	23787	0.00017031
10 to 19 Unit	TX, 06900	0.0352021	0	0.123859	0.121252	0.15515	0.160365	0.0599739	0.280313	0.0638853	28	767	5.68054e-06
2 Unit	TX, 06900	0	0.0131265	0	0.25179	0.189737	0.257757	0.152745	0.0811456	0.0536993	30	838	6.20639e-06
20 to 49 Unit	TX, 06900	0	0	0	0.10596	0.122517	0.145695	0.0860927	0.258278	0.281457	15	302	2.23667e-06
3 or 4 Unit	TX, 06900	0.0168472	0.0637786	0.105897	0.0475331	0.236462	0.146209	0.146811	0.185921	0.0505415	65	1662	1.23091e-05
5 to 9 Unit	TX, 06900	0	0.0334448	0	0.132943	0.217391	0.277592	0.0785953	0.111204	0.148829	38	1196	8.85779e-06
50 or more Unit	TX, 06900	0.0521921	0.11691	0	0.0960334	0.0626305	0.0375783	0	0.104384	0.530271	18	479	3.54756e-06
Mobile Home	TX, 06900	0	0.0144661	0.00895522	0.0183697	0.179793	0.201607	0.310448	0.184156	0.0822044	224	4355	3.22538e-05
Single-Family Attached	TX, 06900	0.0953347	0.0689655	0.131846	0.0466531	0.342799	0.129817	0.0993915	0.0243408	0.0608519	31	493	3.65126e-06
Single-Family Detached	TX, 06900	0.0569815	0.0809963	0.158293	0.159152	0.192085	0.120371	0.0634229	0.109702	0.0589965	1564	30273	0.000224207
10 to 19 Unit	UT, 03001	0.0135135	0.0135135	0	0.200772	0.0907336	0.121622	0.210425	0.196911	0.15251	28	518	3.66942e-06
2 Unit	UT, 03001	0.327611	0.0329041	0.0486409	0.178827	0.16166	0.0915594	0.0944206	0.0643777	0	27	699	4.9516e-06
20 to 49 Unit	UT, 03001	0.0409357	0.0160819	0.0818713	0.0833333	0	0.106725	0.203216	0.192982	0.274854	30	684	4.84536e-06
3 or 4 Unit	UT, 03001	0.148124	0.038183	0.119816	0.042133	0.171165	0.136274	0.183673	0.136932	0.0236998	64	1519	1.07604e-05
5 to 9 Unit	UT, 03001	0.0168196	0	0.0458716	0.214067	0.238532	0.0642202	0.197248	0.0764526	0.146789	28	654	4.63285e-06
50 or more Unit	UT, 03001	0.0298197	0.0082562	0.0265891	0.0653573	0.103177	0.125381	0.155817	0.183482	0.30212	1506	39001	1.01299e-06
Mobile Home	UT, 03001	0.00554939	0.00277469	0.0149834	0.0332963	0.40566	0.142619	0.230855	0.164262	0	120	1802	1.27651e-05
Single-Family Attached	UT, 03001	0.021978	0	0.0532967	0.0538462	0.146703	0.0346154	0.274725	0.243956	0.170879	88	1820	1.28926e-05
Single-Family Detached	UT, 03001	0.118974	0.0472076	0.0729186	0.0850161	0.0913832	0.0723425	0.189952	0.233097	0.0891092	2097	32982	0.00023364
10 to 19 Unit	UT, 05001	0.0247687	0.0202925	0.0176067	0.0459564	0.190093	0.160549	0.276037	0.166816	0.0978812	136	3351	2.40102e-05
2 Unit	UT, 05001	0.198803	0.0800736	0.0455591	0.0704096	0.251726	0.195582	0.069029	0.0860561	0.00276116	82	2173	1.55697e-05
20 to 49 Unit	UT, 05001	0.00604351	0.00282031	0	0.0398872	0.175262	0.131749	0.264303	0.265915	0.114021	95	2482	1.77837e-05
3 or 4 Unit	UT, 05001	0.0538815	0.0255438	0.0385153	0.0676512	0.267212	0.137098	0.235682	0.118539	0.0558771	208	5011	3.59042e-05
5 to 9 Unit	UT, 05001	0.022294	0.00193861	0.0339257	0.0423263	0.216155	0.160258	0.194507	0.22811	0.100485	133	3095	2.21759e-05
50 or more Unit	UT, 05001	0	0	0.00499081	0.00499081	0.0696086	0.134489	0.334647	0.382716	0.0685579	144	3807	2.72774e-05
Mobile Home	UT, 05001	0.0338814	0.0134529	0.019432	0.0513204	0.424016	0.294469	0.0871948	0.0682611	0.0079721	114	2007	1.43803e-05
Single-Family Attached	UT, 05001	0.0412333	0.0263744	0.0131872	0.0170877	0.11497	0.170319	0.248143	0.232355	0.13633	274	5384	3.85768e-05
Single-Family Detached	UT, 05001	0.10753	0.0212473	0.0441575	0.0592051	0.152919	0.102357	0.208491	0.236205	0.0678888	3458	48712	0.000349025
10 to 19 Unit	UT, 11001	0	0	0	0.0251304	0.11285	0.22238	0.293504	0.147937	0.198198	56	2109	1.50495e-05
