Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Vintage ACS	Option=No	Option=Yes	source_count	source_weight	sampling_probability
Multi-Family with 5+ Units	OH	1980-99	0.574755	0.425245	56	81615.8	0.00151467
Multi-Family with 5+ Units	OH	2000-09	0.541754	0.458246	37	94267.3	0.000523931
Multi-Family with 5+ Units	OH	2010s	0.646156	0.353844	26	43230.1	0.00032721
Multi-Family with 5+ Units	OH	<1940	0.615892	0.384108	29	126544	0.000563851
Single-Family Attached	OH	1940-59	0.00958945	0.990411	22	11332.1	0.000188897
Single-Family Attached	OH	1960-79	0	1	50	20307	0.000344741
Single-Family Attached	OH	1980-99	0	1	13	89968.5	0.000554041
Single-Family Attached	OH	2000-09	0	1	48	29197.4	0.000336003
Single-Family Attached	OH	2010s	0	1	14	10638.8	6.8177e-05
Single-Family Attached	OH	<1940	0.0328217	0.967178	12	29284.8	0.00026422
Single-Family Detached	OH	1940-59	0	1	88	751635	0.00647347
Single-Family Detached	OH	1960-79	0	1	59	743868	0.00633671
Single-Family Detached	OH	1980-99	0	1	53	743201	0.00453789
Single-Family Detached	OH	2000-09	0	1	29	327156	0.00239293
Single-Family Detached	OH	2010s	0	1	19	179718	0.000657532
Single-Family Detached	OH	<1940	0	1	53	605914	0.00587076
Mobile Home	OK	1940-59	0	1	14	0	2.36341e-05
Mobile Home	OK	1960-79	0	1	21	33375.7	0.000249683
Mobile Home	OK	1980-99	0	1	63	61491.4	0.000568799
Mobile Home	OK	2000-09	0	1	27	30335	0.000262261
Mobile Home	OK	2010s	0	1	21	12022.2	8.07543e-05
Mobile Home	OK	<1940	0	1	14	0	5.69592e-06
Multi-Family with 2 - 4 Units	OK	1940-59	0.425913	0.574087	45	7958.57	5.3968e-05
Multi-Family with 2 - 4 Units	OK	1960-79	0.343127	0.656873	21	15404.5	0.000209302
Multi-Family with 2 - 4 Units	OK	1980-99	0.423997	0.576003	38	15226	0.000174598
Multi-Family with 2 - 4 Units	OK	2000-09	0.523685	0.476315	14	0	5.6537e-05
Multi-Family with 2 - 4 Units	OK	2010s	0.560094	0.439906	20	5433.38	3.49765e-05
Multi-Family with 2 - 4 Units	OK	<1940	0.425913	0.574087	45	0	4.04436e-05
Multi-Family with 5+ Units	OK	1940-59	0.456766	0.543234	13	27294.5	6.44967e-05
Multi-Family with 5+ Units	OK	1960-79	0.481439	0.518561	42	29344.8	0.000503443
Multi-Family with 5+ Units	OK	1980-99	0.517579	0.482421	58	71650.6	0.000492281
Multi-Family with 5+ Units	OK	2000-09	0.247848	0.752152	34	25218.5	0.000178235
Multi-Family with 5+ Units	OK	2010s	0.337781	0.662219	42	21385.1	0.000142412
Multi-Family with 5+ Units	OK	<1940	0.599659	0.400341	13	8754.23	4.2585e-05
Single-Family Attached	OK	1940-59	0.0730889	0.926911	18	8565.16	2.95909e-05
Single-Family Attached	OK	1960-79	0	1	24	12549.3	7.87312e-05
Single-Family Attached	OK	1980-99	0	1	26	12445.4	7.25818e-05
Single-Family Attached	OK	2000-09	0.0559082	0.944092	19	4805.14	3.92518e-05
Single-Family Attached	OK	2010s	0.0559082	0.944092	13	2232.5	1.98943e-05
Single-Family Attached	OK	<1940	0.0620885	0.937912	10	0	1.58391e-05
Single-Family Detached	OK	1940-59	0	1	37	192566	0.00180149
Single-Family Detached	OK	1960-79	0	1	55	346055	0.00278186
Single-Family Detached	OK	1980-99	0	1	37	218667	0.0020274
Single-Family Detached	OK	2000-09	0	1	28	152185	0.00118277
Single-Family Detached	OK	2010s	0	1	19	99088.4	0.00055615
Single-Family Detached	OK	<1940	0	1	15	78778.6	0.000887682
Mobile Home	OR	1940-59	0	1	7	0	1.94496e-05
Mobile Home	OR	1960-79	0	1	43	53180.3	0.000386241
Mobile Home	OR	1980-99	0	1	13	71329.7	0.00048686
Mobile Home	OR	2000-09	0	1	10	13161.8	0.000109372
Mobile Home	OR	2010s	0	1	13	0	3.03476e-05
Mobile Home	OR	<1940	0	1	7	0	8.03672e-06
Multi-Family with 2 - 4 Units	OR	1940-59	0.50198	0.49802	23	7441.45	9.41385e-05
Multi-Family with 2 - 4 Units	OR	1960-79	0.449359	0.550641	32	13269.1	0.000324484
Multi-Family with 2 - 4 Units	OR	1980-99	0.387713	0.612287	30	12818.5	0.000262994
Multi-Family with 2 - 4 Units	OR	2000-09	0.238482	0.761518	13	0	9.28038e-05
Multi-Family with 2 - 4 Units	OR	2010s	0.238482	0.761518	13	6529.88	3.22505e-05
Multi-Family with 2 - 4 Units	OR	<1940	0.153701	0.846299	14	5077.74	8.68989e-05
Multi-Family with 5+ Units	OR	1940-59	0.673247	0.326753	52	20205	0.000132318
Multi-Family with 5+ Units	OR	1960-79	0.478882	0.521118	12	84711	0.000612067
Multi-Family with 5+ Units	OR	1980-99	0.0792499	0.92075	13	102951	0.00073009
Multi-Family with 5+ Units	OR	2000-09	0.546885	0.453115	53	31659.7	0.000319508
Multi-Family with 5+ Units	OR	2010s	0.597844	0.402156	50	41934.9	0.000196234
Multi-Family with 5+ Units	OR	<1940	0.724551	0.275449	36	21386.5	0.000156033
Single-Family Attached	OR	1940-59	0.11089	0.88911	20	4136.87	4.63081e-05
Single-Family Attached	OR	1960-79	0.0891522	0.910848	60	29229.2	0.000152534
Single-Family Attached	OR	1980-99	0.0188239	0.981176	60	13662.6	0.00015921
Single-Family Attached	OR	2000-09	0	1	23	18605.6	0.000145614
Single-Family Attached	OR	2010s	0	1	12	0	3.65595e-05
Single-Family Attached	OR	<1940	0.100651	0.899349	12	2768.97	3.17599e-05
Single-Family Detached	OR	1940-59	0	1	57	176054	0.00137815
Single-Family Detached	OR	1960-79	0	1	62	311314	0.0021472
Single-Family Detached	OR	1980-99	0	1	50	253496	0.00191975
Single-Family Detached	OR	2000-09	0	1	27	124080	0.00113896
Single-Family Detached	OR	2010s	0	1	22	95382.6	0.000337009
Single-Family Detached	OR	<1940	0	1	33	139769	0.00115508
Mobile Home	PA	1940-59	0	1	6	0	3.52268e-05
Mobile Home	PA	1960-79	0	1	12	46137.8	0.000571676
Mobile Home	PA	1980-99	0	1	23	50700.8	0.000741509
Mobile Home	PA	2000-09	0	1	20	30299.1	0.000209011
Mobile Home	PA	2010s	0	1	20	0	6.91231e-05
Mobile Home	PA	<1940	0	1	6	0	1.45437e-05
Multi-Family with 2 - 4 Units	PA	1940-59	0.626762	0.373238	15	83438.7	0.000768872
Multi-Family with 2 - 4 Units	PA	1960-79	0.524995	0.475005	10	120010	0.000762204
Multi-Family with 2 - 4 Units	PA	1980-99	0.505144	0.494856	32	37555.2	0.000427892
Multi-Family with 2 - 4 Units	PA	2000-09	0.440737	0.559263	19	12288.6	0.000108186
Multi-Family with 2 - 4 Units	PA	2010s	0.326157	0.673843	10	25116	6.62876e-05
Multi-Family with 2 - 4 Units	PA	<1940	0.583728	0.416272	12	116975	0.00138386
Multi-Family with 5+ Units	PA	1940-59	0.746424	0.253576	20	137995	0.000663038
Multi-Family with 5+ Units	PA	1960-79	0.652984	0.347016	22	226057	0.00172942
Multi-Family with 5+ Units	PA	1980-99	0.826282	0.173718	11	102699	0.00113051
Multi-Family with 5+ Units	PA	2000-09	0.793663	0.206337	32	77974.8	0.00040926
Multi-Family with 5+ Units	PA	2010s	0.624692	0.375308	42	55531.6	0.000266883
Multi-Family with 5+ Units	PA	<1940	0.336488	0.663512	11	96664.2	0.000833355
Single-Family Attached	PA	1940-59	0.143484	0.856516	52	171740	0.00169304
Single-Family Attached	PA	1960-79	0.165434	0.834566	19	135527	0.00100085
Single-Family Attached	PA	1980-99	0.021273	0.978727	13	84547.6	0.001115
Single-Family Attached	PA	2000-09	0.161355	0.838645	15	88598.3	0.000580852
Single-Family Attached	PA	2010s	0.161355	0.838645	21	38844.8	0.000235063
Single-Family Attached	PA	<1940	0.134529	0.865471	45	301575	0.00310242
Single-Family Detached	PA	1940-59	0	1	167	796465	0.0056029
Single-Family Detached	PA	1960-79	0	1	98	739405	0.00537913
Single-Family Detached	PA	1980-99	0	1	69	504830	0.00454022
Single-Family Detached	PA	2000-09	0	1	35	242709	0.00208602
Single-Family Detached	PA	2010s	0	1	24	118245	0.000566605
Single-Family Detached	PA	<1940	0	1	100	686472	0.00562249
Mobile Home	RI	1940-59	0	1	6	0	2.73968e-06
Mobile Home	RI	1960-79	0	1	18	2034.23	1.1529e-05
Mobile Home	RI	1980-99	0	1	22	2183.18	1.2985e-05
Mobile Home	RI	2000-09	0	1	10	1960.96	5.37559e-06
Mobile Home	RI	2010s	0	1	12	0	5.98174e-07
Mobile Home	RI	<1940	0	1	6	0	1.37734e-06
Multi-Family with 2 - 4 Units	RI	1940-59	0.438291	0.561709	94	12322.1	0.00013235
Multi-Family with 2 - 4 Units	RI	1960-79	0.601268	0.398732	43	27160.4	0.000100739
Multi-Family with 2 - 4 Units	RI	1980-99	0.673592	0.326408	17	9350.96	7.44578e-05
Multi-Family with 2 - 4 Units	RI	2000-09	0.3877	0.6123	10	0	2.00378e-05
Multi-Family with 2 - 4 Units	RI	2010s	0.3877	0.6123	10	0	7.42439e-06
Multi-Family with 2 - 4 Units	RI	<1940	0.510592	0.489408	86	22112.1	0.000466223
Multi-Family with 5+ Units	RI	1940-59	0.801367	0.198633	62	17827.6	6.00781e-05
Multi-Family with 5+ Units	RI	1960-79	0.695859	0.304141	60	19755.1	0.00019786
Multi-Family with 5+ Units	RI	1980-99	0.706309	0.293691	53	15629.8	0.00014379
Multi-Family with 5+ Units	RI	2000-09	0.488928	0.511072	17	2183.68	4.0627e-05
Multi-Family with 5+ Units	RI	2010s	0.714109	0.285891	25	4485.71	9.53676e-06
Multi-Family with 5+ Units	RI	<1940	0.781155	0.218845	51	16439.7	0.000157067
Single-Family Attached	RI	1940-59	0.168737	0.831263	37	2504.07	9.65596e-06
Single-Family Attached	RI	1960-79	0.183034	0.816966	19	0	1.678e-05
Single-Family Attached	RI	1980-99	0.0810969	0.918903	56	2091.54	4.5603e-05
Single-Family Attached	RI	2000-09	0.183765	0.816235	23	4915.17	2.02107e-05
Single-Family Attached	RI	2010s	0.183765	0.816235	13	2494.38	6.32787e-06
Single-Family Attached	RI	<1940	0.177492	0.822508	29	1918.05	1.86858e-05
Single-Family Detached	RI	1940-59	0	1	50	52962.7	0.000461594
Single-Family Detached	RI	1960-79	0	1	41	69158.7	0.000492303
Single-Family Detached	RI	1980-99	0	1	30	54853.4	0.000371245
Single-Family Detached	RI	2000-09	0	1	99	12580.3	0.000126713
Single-Family Detached	RI	2010s	0	1	67	5876.34	2.92954e-05
Single-Family Detached	RI	<1940	0	1	36	55888.9	0.00040803
Mobile Home	SC	1940-59	0	1	14	7878.44	2.17113e-05
Mobile Home	SC	1960-79	0	1	43	50664.4	0.000437352
Mobile Home	SC	1980-99	0	1	22	161319	0.00169494
Mobile Home	SC	2000-09	0	1	35	51644.1	0.000385201
Mobile Home	SC	2010s	0	1	19	13162.3	0.000122289
Mobile Home	SC	<1940	0	1	14	0	9.07249e-06
Multi-Family with 2 - 4 Units	SC	1940-59	0.341811	0.658189	34	2150.96	7.88332e-05
Multi-Family with 2 - 4 Units	SC	1960-79	0.418511	0.581489	48	31952.3	0.000231613
Multi-Family with 2 - 4 Units	SC	1980-99	0.312325	0.687675	43	40568.4	0.00028565
Multi-Family with 2 - 4 Units	SC	2000-09	0.313703	0.686297	19	13848.6	9.37461e-05
Multi-Family with 2 - 4 Units	SC	2010s	0.52869	0.47131	12	10334.4	3.80918e-05
Multi-Family with 2 - 4 Units	SC	<1940	0.561139	0.438861	23	5558.59	4.95274e-05
Multi-Family with 5+ Units	SC	1940-59	0.550315	0.449685	72	7838.77	6.85633e-05
Multi-Family with 5+ Units	SC	1960-79	0.43835	0.56165	118	38503.8	0.000418634
Multi-Family with 5+ Units	SC	1980-99	0.295046	0.704954	127	62693.6	0.000892844
Multi-Family with 5+ Units	SC	2000-09	0.41465	0.58535	91	34957	0.000446401
Multi-Family with 5+ Units	SC	2010s	0.374218	0.625782	74	61814.7	0.000227448
Multi-Family with 5+ Units	SC	<1940	0.667289	0.332711	45	0	3.64227e-05
Single-Family Attached	SC	1940-59	0.0427483	0.957252	86	9997.15	2.27408e-05
Single-Family Attached	SC	1960-79	0.0385126	0.961487	64	25108.4	7.55844e-05
Single-Family Attached	SC	1980-99	0.0174159	0.982584	109	24006.2	0.000150837
Single-Family Attached	SC	2000-09	0.0159756	0.984024	87	33888.6	0.000179446
Single-Family Attached	SC	2010s	0.0159756	0.984024	47	4469.33	4.96408e-05
Single-Family Attached	SC	<1940	0.0175074	0.982493	69	0	8.83083e-06
Single-Family Detached	SC	1940-59	0	1	28	130616	0.00140034
Single-Family Detached	SC	1960-79	0	1	51	301107	0.00269798
Single-Family Detached	SC	1980-99	0	1	55	329751	0.00277774
Single-Family Detached	SC	2000-09	0	1	46	236502	0.0020066
Single-Family Detached	SC	2010s	0	1	45	219792	0.000870208
Single-Family Detached	SC	<1940	0	1	12	60408.4	0.00057351
Mobile Home	SD	1940-59	0	1	4	0	3.04106e-06
Mobile Home	SD	1960-79	0	1	17	5974.2	8.26932e-05
Mobile Home	SD	1980-99	0	1	27	6373.57	0.000108434
Mobile Home	SD	2000-09	0	1	14	1895.54	3.14728e-05
Mobile Home	SD	2010s	0	1	22	1932.05	1.30445e-05
Mobile Home	SD	<1940	0	1	4	0	3.08005e-06
Multi-Family with 2 - 4 Units	SD	1940-59	0.582285	0.417715	16	0	1.93211e-05
Multi-Family with 2 - 4 Units	SD	1960-79	0.592917	0.407083	25	5831.42	4.31587e-05
Multi-Family with 2 - 4 Units	SD	1980-99	0.528255	0.471745	13	2933.67	3.21117e-05
Multi-Family with 2 - 4 Units	SD	2000-09	0.554413	0.445587	11	2529.3	1.24577e-05
Multi-Family with 2 - 4 Units	SD	2010s	0.539139	0.460861	17	4724.18	1.10064e-05
Multi-Family with 2 - 4 Units	SD	<1940	0.643578	0.356422	11	0	2.23023e-05
Multi-Family with 5+ Units	SD	1940-59	0.685626	0.314374	30	1040.82	1.99699e-05
Multi-Family with 5+ Units	SD	1960-79	0.689201	0.310799	52	13083	0.000113007
Multi-Family with 5+ Units	SD	1980-99	0.636647	0.363353	55	19022.3	0.000154864
Multi-Family with 5+ Units	SD	2000-09	0.489434	0.510566	29	7242.5	4.93007e-05
Multi-Family with 5+ Units	SD	2010s	0.825241	0.174759	37	18981.6	5.43575e-05
Multi-Family with 5+ Units	SD	<1940	0.659859	0.340141	20	2689.73	2.95777e-05
Single-Family Attached	SD	1940-59	0.00769894	0.992301	13	0	5.20489e-06
Single-Family Attached	SD	1960-79	0.107588	0.892412	23	1720.4	1.35352e-05
Single-Family Attached	SD	1980-99	0.0692042	0.930796	54	4602.83	2.68586e-05
Single-Family Attached	SD	2000-09	0	1	32	1941.23	3.08703e-05
Single-Family Attached	SD	2010s	0	1	29	7579.86	2.46168e-05
Single-Family Attached	SD	<1940	0.0171804	0.98282	13	0	6.16103e-06
Single-Family Detached	SD	1940-59	0	1	38	38639.8	0.000321355
Single-Family Detached	SD	1960-79	0	1	38	66811.1	0.000420311
Single-Family Detached	SD	1980-99	0	1	21	35924	0.000325462
Single-Family Detached	SD	2000-09	0	1	21	30949.8	0.000274562
Single-Family Detached	SD	2010s	0	1	18	28752.8	0.000116652
Single-Family Detached	SD	<1940	0	1	23	35249.2	0.000435024
Mobile Home	TN	1940-59	0	1	14	5238.38	2.57455e-05
Mobile Home	TN	1960-79	0	1	26	48895.7	0.000310665
Mobile Home	TN	1980-99	0	1	19	103728	0.00113681
Mobile Home	TN	2000-09	0	1	30	28140	0.000405496
Mobile Home	TN	2010s	0	1	12	22178.1	9.87821e-05
Mobile Home	TN	<1940	0	1	14	13537.2	7.42111e-06
Multi-Family with 2 - 4 Units	TN	1940-59	0.425913	0.574087	45	15668.7	0.000169852
Multi-Family with 2 - 4 Units	TN	1960-79	0.429767	0.570233	19	33002.3	0.000409556
Multi-Family with 2 - 4 Units	TN	1980-99	0.0375997	0.9624	19	45589.5	0.000421413
Multi-Family with 2 - 4 Units	TN	2000-09	0.166533	0.833467	11	15020.6	0.000146402
Multi-Family with 2 - 4 Units	TN	2010s	0.374415	0.625585	18	25886.2	7.54133e-05
Multi-Family with 2 - 4 Units	TN	<1940	0.425913	0.574087	45	3783.4	6.67724e-05
Multi-Family with 5+ Units	TN	1940-59	0.584911	0.415089	92	22389.9	0.000209977
Multi-Family with 5+ Units	TN	1960-79	0.351074	0.648926	26	74597.7	0.000764439
Multi-Family with 5+ Units	TN	1980-99	0.319451	0.680549	14	117833	0.000965432
Multi-Family with 5+ Units	TN	2000-09	0.179096	0.820904	19	38679.5	0.000425814
Multi-Family with 5+ Units	TN	2010s	0.542602	0.457398	11	77532.7	0.000347738
Multi-Family with 5+ Units	TN	<1940	0.584911	0.415089	92	5027.77	9.1112e-05
Single-Family Attached	TN	1940-59	0.0380286	0.961971	108	3131.9	6.01695e-05
Single-Family Attached	TN	1960-79	0.0324798	0.96752	10	21796.8	0.00011808
Single-Family Attached	TN	1980-99	0.0139128	0.986087	35	20762.1	0.000224871
Single-Family Attached	TN	2000-09	0	1	15	8408.35	0.000165684
Single-Family Attached	TN	2010s	0	1	15	14105.9	7.06216e-05
Single-Family Attached	TN	<1940	0.0380286	0.961971	108	1307.24	1.91892e-05
Single-Family Detached	TN	1940-59	0	1	80	253434	0.00243931
Single-Family Detached	TN	1960-79	0	1	85	472219	0.00391288
Single-Family Detached	TN	1980-99	0	1	97	554731	0.00410459
Single-Family Detached	TN	2000-09	0	1	75	301066	0.00233718
Single-Family Detached	TN	2010s	0	1	27	138637	0.000822298
Single-Family Detached	TN	<1940	0	1	52	171187	0.00108133
Mobile Home	TX	1940-59	0	1	14	11821	9.40916e-05
Mobile Home	TX	1960-79	0	1	21	45720.2	0.000978916
Mobile Home	TX	1980-99	0	1	29	343761	0.00291996
Mobile Home	TX	2000-09	0	1	27	76569	0.00116917
Mobile Home	TX	2010s	0	1	11	138032	0.000495222
Mobile Home	TX	<1940	0	1	14	0	2.77421e-05
Multi-Family with 2 - 4 Units	TX	1940-59	0.425913	0.574087	45	13932.7	0.000360063
Multi-Family with 2 - 4 Units	TX	1960-79	0.421536	0.578464	15	162962	0.00121292
Multi-Family with 2 - 4 Units	TX	1980-99	0.442697	0.557303	29	322985	0.00140938
Multi-Family with 2 - 4 Units	TX	2000-09	0.597846	0.402154	10	103142	0.000550968
Multi-Family with 2 - 4 Units	TX	2010s	0.560094	0.439906	20	27458.5	0.000306694
Multi-Family with 2 - 4 Units	TX	<1940	0.425913	0.574087	45	8681.91	0.000159053
Multi-Family with 5+ Units	TX	1940-59	0.456766	0.543234	13	12491	0.000573004
Multi-Family with 5+ Units	TX	1960-79	0.518724	0.481276	28	439710	0.00416157
Multi-Family with 5+ Units	TX	1980-99	0.572681	0.427319	41	646314	0.00585161
Multi-Family with 5+ Units	TX	2000-09	0.290661	0.709339	24	341919	0.00270086
Multi-Family with 5+ Units	TX	2010s	0.340228	0.659772	35	497142	0.0021715
Multi-Family with 5+ Units	TX	<1940	0.599659	0.400341	13	32279.7	0.000212999
Single-Family Attached	TX	1940-59	0.0727221	0.927278	10	29623.2	0.0001801
Single-Family Attached	TX	1960-79	0	1	13	63554.2	0.000582288
Single-Family Attached	TX	1980-99	0	1	12	50969	0.000614453
Single-Family Attached	TX	2000-09	0.0559082	0.944092	12	50067.2	0.000387344
Single-Family Attached	TX	2010s	0.0559082	0.944092	13	34597.6	0.000185228
Single-Family Attached	TX	<1940	0.0620885	0.937912	10	20384	6.45201e-05
Single-Family Detached	TX	1940-59	0	1	98	783752	0.00773414
Single-Family Detached	TX	1960-79	0	1	156	1.541e+06	0.0121939
Single-Family Detached	TX	1980-99	0	1	205	1.90593e+06	0.0137089
Single-Family Detached	TX	2000-09	0	1	146	1.23942e+06	0.00992943
Single-Family Detached	TX	2010s	0	1	114	967933	0.00461385
Single-Family Detached	TX	<1940	0	1	41	343244	0.00234079
Mobile Home	UT	1940-59	0	1	7	0	3.28378e-06
Mobile Home	UT	1960-79	0	1	31	12005.5	8.98554e-05
Mobile Home	UT	1980-99	0	1	35	12763	0.000122174
Mobile Home	UT	2000-09	0	1	10	0	2.77021e-05
Mobile Home	UT	2010s	0	1	15	0	7.63285e-06
Mobile Home	UT	<1940	0	1	7	0	6.02349e-06
Multi-Family with 2 - 4 Units	UT	1940-59	0.371776	0.628224	39	0	6.81081e-05
Multi-Family with 2 - 4 Units	UT	1960-79	0.746195	0.253805	16	33781	0.000170253
Multi-Family with 2 - 4 Units	UT	1980-99	0.355631	0.644369	69	13386.8	0.000158831
Multi-Family with 2 - 4 Units	UT	2000-09	0.324073	0.675927	26	10969	5.11164e-05
Multi-Family with 2 - 4 Units	UT	2010s	0.324073	0.675927	26	0	3.37171e-05
Multi-Family with 2 - 4 Units	UT	<1940	0.371776	0.628224	39	0	5.96572e-05
Multi-Family with 5+ Units	UT	1940-59	0.679583	0.320417	72	2532.03	4.13323e-05
Multi-Family with 5+ Units	UT	1960-79	0.715192	0.284808	34	45859	0.000267965
Multi-Family with 5+ Units	UT	1980-99	0.342393	0.657607	32	31006.6	0.000407734
Multi-Family with 5+ Units	UT	2000-09	0.190349	0.809651	13	11106.2	0.000199449
Multi-Family with 5+ Units	UT	2010s	0.537727	0.462273	20	44697.1	0.000191037
Multi-Family with 5+ Units	UT	<1940	0.679583	0.320417	72	6543.36	4.98833e-05
Single-Family Attached	UT	1940-59	0.100753	0.899247	40	8186.99	2.29632e-05
Single-Family Attached	UT	1960-79	0	1	20	17942.9	8.57846e-05
Single-Family Attached	UT	1980-99	0.0556523	0.944348	27	11915.9	0.00014232
Single-Family Attached	UT	2000-09	0	1	22	23054.9	0.00013814
Single-Family Attached	UT	2010s	0	1	17	20123.5	7.7999e-05
Single-Family Attached	UT	<1940	0.100753	0.899247	40	2536.88	1.36995e-05
Single-Family Detached	UT	1940-59	0	1	21	81103.8	0.000655483
Single-Family Detached	UT	1960-79	0	1	25	117397	0.00117269
Single-Family Detached	UT	1980-99	0	1	41	209680	0.00145416
Single-Family Detached	UT	2000-09	0	1	37	169397	0.00109274
Single-Family Detached	UT	2010s	0	1	22	105628	0.000407055
Single-Family Detached	UT	<1940	0	1	13	48380.3	0.000420211
Mobile Home	VA	1940-59	0	1	14	8009.26	2.16886e-05
Mobile Home	VA	1960-79	0	1	43	70888.9	0.000341583
Mobile Home	VA	1980-99	0	1	11	104848	0.000694962
Mobile Home	VA	2000-09	0	1	35	22113	0.00020919
Mobile Home	VA	2010s	0	1	19	31352.6	5.23072e-05
Mobile Home	VA	<1940	0	1	14	0	8.24217e-06
Multi-Family with 2 - 4 Units	VA	1940-59	0.341811	0.658189	34	18111.2	0.000163478
Multi-Family with 2 - 4 Units	VA	1960-79	0.418511	0.581489	48	57677	0.000343214
Multi-Family with 2 - 4 Units	VA	1980-99	0.312325	0.687675	43	42488.1	0.000338275
Multi-Family with 2 - 4 Units	VA	2000-09	0.313703	0.686297	19	12208.8	8.34292e-05
Multi-Family with 2 - 4 Units	VA	2010s	0.52869	0.47131	12	4839.53	4.6106e-05
Multi-Family with 2 - 4 Units	VA	<1940	0.561139	0.438861	23	16871	0.000160058
Multi-Family with 5+ Units	VA	1940-59	0.550315	0.449685	72	38085.2	0.000358676
Multi-Family with 5+ Units	VA	1960-79	0.795617	0.204383	16	164444	0.00132755
Multi-Family with 5+ Units	VA	1980-99	0.286085	0.713915	19	191556	0.00159646
Multi-Family with 5+ Units	VA	2000-09	0.332209	0.667791	12	101431	0.000718306
Multi-Family with 5+ Units	VA	2010s	0.374218	0.625782	74	38532.2	0.00045266
Multi-Family with 5+ Units	VA	<1940	0.667289	0.332711	45	46291.2	0.000190809
Single-Family Attached	VA	1940-59	0.0427483	0.957252	86	10889.5	0.000154528
Single-Family Attached	VA	1960-79	0.0385126	0.961487	10	46897.3	0.000581875
Single-Family Attached	VA	1980-99	0.0174159	0.982584	24	121214	0.0012111
Single-Family Attached	VA	2000-09	0.0159756	0.984024	11	52582	0.000534995
Single-Family Attached	VA	2010s	0.0159756	0.984024	47	18880.8	0.000235011
Single-Family Attached	VA	<1940	0.0175074	0.982493	69	13809.5	8.9907e-05
Single-Family Detached	VA	1940-59	0	1	66	340385	0.00271445
Single-Family Detached	VA	1960-79	0	1	62	416788	0.00418338
Single-Family Detached	VA	1980-99	0	1	99	687833	0.00441316
Single-Family Detached	VA	2000-09	0	1	44	265833	0.00228799
Single-Family Detached	VA	2010s	0	1	20	116178	0.000708396
Single-Family Detached	VA	<1940	0	1	31	180977	0.00147924
Mobile Home	VT	1940-59	0	1	6	2696.43	3.76755e-06
Mobile Home	VT	1960-79	0	1	18	5661.76	5.31871e-05
Mobile Home	VT	1980-99	0	1	22	10452.8	7.22465e-05
Mobile Home	VT	2000-09	0	1	10	4685.77	2.4162e-05
Mobile Home	VT	2010s	0	1	12	0	6.54056e-06
Mobile Home	VT	<1940	0	1	6	0	1.63447e-06
Multi-Family with 2 - 4 Units	VT	1940-59	0.824332	0.175668	13	7275.53	3.74051e-05
Multi-Family with 2 - 4 Units	VT	1960-79	0.601268	0.398732	43	7692.58	5.92196e-05
Multi-Family with 2 - 4 Units	VT	1980-99	0.673592	0.326408	17	1608.31	4.40107e-05
Multi-Family with 2 - 4 Units	VT	2000-09	0.3877	0.6123	10	3854.09	1.37443e-05
Multi-Family with 2 - 4 Units	VT	2010s	0.3877	0.6123	10	0	6.64627e-06
Multi-Family with 2 - 4 Units	VT	<1940	0.766005	0.233995	12	14115.1	0.000139485
Multi-Family with 5+ Units	VT	1940-59	0.801367	0.198633	62	5390.23	1.92278e-05
Multi-Family with 5+ Units	VT	1960-79	0.695859	0.304141	60	7609.56	5.87483e-05
Multi-Family with 5+ Units	VT	1980-99	0.706309	0.293691	53	6993.65	7.87371e-05
Multi-Family with 5+ Units	VT	2000-09	0.488928	0.511072	17	3080.88	3.06783e-05
Multi-Family with 5+ Units	VT	2010s	0.714109	0.285891	25	4215.65	1.68033e-05
Multi-Family with 5+ Units	VT	<1940	0.781155	0.218845	51	4062.59	6.46498e-05
Single-Family Attached	VT	1940-59	0.168737	0.831263	37	1413.08	1.95011e-06
Single-Family Attached	VT	1960-79	0.183034	0.816966	19	1541.86	1.91843e-05
Single-Family Attached	VT	1980-99	0.0810969	0.918903	56	3483.92	3.78539e-05
Single-Family Attached	VT	2000-09	0.183765	0.816235	23	1740.59	2.28746e-05
Single-Family Attached	VT	2010s	0.183765	0.816235	13	0	5.14901e-06
Single-Family Attached	VT	<1940	0.177492	0.822508	29	1418.13	1.12351e-05
Single-Family Detached	VT	1940-59	0	1	55	26536.6	0.000172797
Single-Family Detached	VT	1960-79	0	1	40	35517.6	0.000406352
Single-Family Detached	VT	1980-99	0	1	46	44891.8	0.000405183
Single-Family Detached	VT	2000-09	0	1	15	14510.2	0.000174064
Single-Family Detached	VT	2010s	0	1	67	6083.95	5.089e-05
Single-Family Detached	VT	<1940	0	1	42	32291.4	0.000399465
Mobile Home	WA	1940-59	0	1	7	12791.8	2.10181e-05
Mobile Home	WA	1960-79	0	1	10	80849.8	0.00051644
Mobile Home	WA	1980-99	0	1	10	65870.9	0.000722624
Mobile Home	WA	2000-09	0	1	10	24957.8	0.000149389
Mobile Home	WA	2010s	0	1	13	10533.2	3.33074e-05
Mobile Home	WA	<1940	0	1	7	0	7.70723e-06
Multi-Family with 2 - 4 Units	WA	1940-59	0.50198	0.49802	23	7721.53	0.000145638
Multi-Family with 2 - 4 Units	WA	1960-79	0.449359	0.550641	32	29461.5	0.000410218
Multi-Family with 2 - 4 Units	WA	1980-99	0.387713	0.612287	30	94052.3	0.00039949
Multi-Family with 2 - 4 Units	WA	2000-09	0.238482	0.761518	13	20571.3	0.000149427
