,Heating Dry Bulb Temperature 99%,Cooling Dry Bulb Temperature 1%
Altoona Blair Co,-12.2,29.8
Reading Rgnl Carl,-9.8,32.2
Altoona Blair Co,-12.2,29.8
Elmira Corning Rgnl,-15.2,30.3
Doylestown,-9.1,31.4
Butler Co Scholter F,-12.9,29.2
John Murtha Johnsto,-13.9,27.8
Clearfield Lawrence,-13.1,28.9
Allentown A Bethle,-10.8,31.3
University Park,-12.1,29.9
Pottstown Limerick,-9.1,32.2
Venango Rgnl,-14.2,28.0
Clearfield Lawrence,-13.1,28.9
University Park,-12.1,29.9
Williamsport Lycomi,-12.1,31.2
Port Meadville,-13.0,28.0
Harrisburg Capital,-9.2,32.2
Harrisburg Intl,-9.1,32.1
Philadelphia Intl,-7.8,32.7
Bradford Rgnl,-16.0,27.3
Erie Intl Airport,-12.0,29.0
Morgantown Muni Wal,-11.0,30.8
Du Bois Jefferson C,-14.7,28.1
Hagerstown Rgnl Ric,-8.8,32.2
Hagerstown Rgnl Ric,-8.8,32.2
Morgantown Muni Wal,-11.0,30.8
Altoona Blair Co,-12.2,29.8
Indiana Co,-12.7,29.8
Du Bois Jefferson C,-14.7,28.1
University Park,-12.1,29.9
Wilkes Barre Scrant,-12.7,30.1
Lancaster,-9.2,31.4
Youngstown Muni,-13.4,29.9
Lancaster,-9.2,31.4
Allentown A Bethle,-10.8,31.3
Wilkes Barre Scrant,-12.7,30.1
Williamsport Lycomi,-12.1,31.2
Bradford Rgnl,-16.0,27.3
Youngstown Muni,-13.4,29.9
University Park,-12.1,29.9
Pocono Mountains Mun,-14.8,27.7
Willow Grove Nas Jr,-9.0,32.3
Williamsport Lycomi,-12.1,31.2
Allentown A Bethle,-10.8,31.3
Williamsport Lycomi,-12.1,31.2
Harrisburg Capital,-9.2,32.2
Northeast Philadelph,-8.4,32.6
Pocono Mountains Mun,-14.8,27.7
Wellsville Muni,-16.1,27.4
Reading Rgnl Carl,-9.8,32.2
Williamsport Lycomi,-12.1,31.2
John Murtha Johnsto,-13.9,27.8
Williamsport Lycomi,-12.1,31.2
Binghamton Broome C,-15.5,28.0
Elmira Corning Rgnl,-15.2,30.3
Williamsport Lycomi,-12.1,31.2
Venango Rgnl,-14.2,28.0
Dunkirk,-11.5,30.1
Washington Co,-12.9,29.7
Pocono Mountains Mun,-14.8,27.7
Allegheny Co,-12.2,30.8
Wilkes Barre Scrant,-12.7,30.1
York,-11.1,31.3
Providence Green St,-10.6,30.4
Providence Green St,-10.6,30.4
Newport,-10.0,27.5
North Central State,-12.6,28.9
Block Island,-8.5,26.4
Greenwood Co,-3.0,33.8
Augusta Bush Field,-3.3,34.9
Orangeburg Muni,-2.5,33.9
Anderson Rgnl,-3.5,33.8
Orangeburg Muni,-2.5,33.9
Orangeburg Muni,-2.5,33.9
Beaufort Mcas,-0.3,33.7
Charleston Muni,-0.9,33.4
Orangeburg Muni,-2.5,33.9
Charleston Muni,-0.9,33.4
Rutherfordton,-3.9,32.7
Rock Hill York Co,-4.1,33.7
Monroe Airport,-3.8,33.0
Shaw Afb Sumter,-2.6,34.0
Beaufort Mcas,-0.3,33.7
Florence Rgnl,-2.7,34.1
Maxton,-3.9,33.8
Charleston Muni,-0.9,33.4
Daniel Field,-1.3,34.1
Columbia Owens Apt,-2.3,34.0
Florence Rgnl,-2.7,34.1
Myrtle Beach Civ,-2.1,32.4
Greenville Greenvil,-3.8,33.2
Greenwood Co,-3.0,33.8
Beaufort Mcas,-0.3,33.7
Myrtle Beach Civ,-2.1,32.4
Beaufort Mcas,-0.3,33.7
Shaw Afb Sumter,-2.6,34.0
Monroe Airport,-3.8,33.0
Greenwood Co,-3.0,33.8
Shaw Afb Sumter,-2.6,34.0
Columbia Metro,-3.0,34.9
Greenwood Co,-3.0,33.8
Florence Rgnl,-2.7,34.1
Maxton,-3.9,33.8
Columbia Metro,-3.0,34.9
Oconee Co Rgnl,-2.4,33.0
Orangeburg Muni,-2.5,33.9
Oconee Co Rgnl,-2.4,33.0
Columbia Owens Apt,-2.3,34.0
Greenwood Co,-3.0,33.8
Greenville Greenvil,-3.8,33.2
Shaw Afb Sumter,-2.6,34.0
Greenville Greenvil,-3.8,33.2
Florence Rgnl,-2.7,34.1
Rock Hill York Co,-4.1,33.7
Mitchell Muni,-21.2,32.3
Huron Huron Regiona,-22.7,32.5
Valentine Amos,-20.2,34.3
Chan Gurney Muni,-19.5,32.1
Brookings Rgnl,-23.0,29.4
Aberdeen Regional,-24.4,31.3
Chamberlain Amos,-19.8,36.1
Chamberlain Amos,-19.8,36.1
Ellsworth Afb,-19.8,33.0
Mobridge Muni,-22.8,32.8
Mitchell Muni,-21.2,32.3
Watertown Muni,-23.5,30.3
Chan Gurney Muni,-19.5,32.1
Watertown Muni,-23.5,30.3
Mobridge Muni,-22.8,32.8
Custer County,-18.6,28.7
Mitchell Muni,-21.2,32.3
Watertown Muni,-23.5,30.3
Brookings Rgnl,-23.0,29.4
Mobridge Muni,-22.8,32.8
Mitchell Muni,-21.2,32.3
Aberdeen Regional,-24.4,31.3
Custer County,-18.6,28.7
Aberdeen Regional,-24.4,31.3
Ortonville Muni Mart,-22.3,31.3
Winner,-17.8,34.1
Philip,-19.2,35.9
Watertown Muni,-23.5,30.3
Huron Huron Regiona,-22.7,32.5
Mitchell Muni,-21.2,32.3
Buffalo,-22.3,33.0
Pierre Rgnl,-20.9,34.7
Mitchell Muni,-21.2,32.3
Chamberlain Amos,-19.8,36.1
Philip,-19.2,35.9
Huron Huron Regiona,-22.7,32.5
Pierre Rgnl,-20.9,34.7
Brookings Rgnl,-23.0,29.4
Brookings Rgnl,-23.0,29.4
Custer County,-18.6,28.7
Sioux Falls Foss Fi,-21.8,31.6
Chamberlain Amos,-19.8,36.1
Sioux Falls Foss Fi,-21.8,31.6
Aberdeen Regional,-24.4,31.3
Lidgerwood Ramos,-24.9,31.4
Ellsworth Afb,-19.8,33.0
Valentine Amos,-20.2,34.3
Mitchell Muni,-21.2,32.3
Sioux Falls Foss Fi,-21.8,31.6
Brookings Rgnl,-23.0,29.4
Pine Ridge,-18.8,34.9
Rapid City Regional,-19.7,33.9
Hettinger Muni,-22.6,32.7
Mobridge Muni,-22.8,32.8
Sisseton Muni Arpt,-22.8,31.0
Mitchell Muni,-21.2,32.3
Aberdeen Regional,-24.4,31.3
Pierre Rgnl,-20.9,34.7
Pierre Rgnl,-20.9,34.7
Valentine Amos,-20.2,34.3
Winner,-17.8,34.1
Sioux Falls Foss Fi,-21.8,31.6
Le Mars Muni,-18.7,32.4
Mobridge Muni,-22.8,32.8
Chan Gurney Muni,-19.5,32.1
Philip,-19.2,35.9
Oak Ridge,-6.2,32.5
Nashville Metropoli,-7.1,33.5
Fort Campbell Aaf,-7.7,32.8
Crossville Mem Whit,-8.9,30.2
Knoxville Municipal,-6.2,32.6
Chattanooga Lovell,-4.9,33.7
Oak Ridge,-6.2,32.5
Nashville Metropoli,-7.1,33.5
Paducah Barkley,-9.0,33.5
Tri Cities Rgnl,-8.0,31.2
Nashville Metropoli,-7.1,33.5
Mc Kellar Sipes Rgn,-7.1,33.8
London Corbin Arpt,-8.6,31.4
Crossville Mem Whit,-8.9,30.2
Asheville Municipal,-7.3,29.9
Nashville Metropoli,-7.1,33.5
Mc Kellar Sipes Rgn,-7.1,33.8
Crossville Mem Whit,-8.9,30.2
Nashville Metropoli,-7.1,33.5
Mc Kellar Sipes Rgn,-7.1,33.8
Crossville Mem Whit,-8.9,30.2
Fort Campbell Aaf,-7.7,32.8
Dyersburg Muni,-7.1,33.8
Millington Muni Arp,-5.9,35.2
Crossville Mem Whit,-8.9,30.2
Chattanooga Lovell,-4.9,33.7
Mc Kellar Sipes Rgn,-7.1,33.8
Nashville Metropoli,-7.1,33.5
Knoxville Municipal,-6.2,32.6
Tri Cities Rgnl,-8.0,31.2
Chattanooga Lovell,-4.9,33.7
Knoxville Municipal,-6.2,32.6
Chattanooga Lovell,-4.9,33.7
Tri Cities Rgnl,-8.0,31.2
Mc Kellar Sipes Rgn,-7.1,33.8
Northwest Alabama R,-4.9,34.1
Tri Cities Rgnl,-8.0,31.2
Mc Kellar Sipes Rgn,-7.1,33.8
Mc Kellar Sipes Rgn,-7.1,33.8
Fort Campbell Aaf,-7.7,32.8
Nashville Metropoli,-7.1,33.5
Fort Campbell Aaf,-7.7,32.8
Fort Campbell Aaf,-7.7,32.8
Crossville Mem Whit,-8.9,30.2
Knoxville Municipal,-6.2,32.6
Virginia Highlands,-8.0,31.0
Knoxville Municipal,-6.2,32.6
Dyersburg Muni,-7.1,33.8
Dyersburg Muni,-7.1,33.8
Nashville Metropoli,-7.1,33.5
Nashville Metropoli,-7.1,33.5
Nashville Metropoli,-7.1,33.5
Oak Ridge,-6.2,32.5
Oak Ridge,-6.2,32.5
Mc Kellar Sipes Rgn,-7.1,33.8
Bowling Green Warre,-8.5,32.8
Mc Kellar Sipes Rgn,-7.1,33.8
Chattanooga Lovell,-4.9,33.7
Nashville Metropoli,-7.1,33.5
Nashville Metropoli,-7.1,33.5
Crossville Mem Whit,-8.9,30.2
Knoxville Municipal,-6.2,32.6
Fort Campbell Aaf,-7.7,32.8
Nashville Metropoli,-7.1,33.5
Oak Ridge,-6.2,32.5
Paducah Barkley,-9.0,33.5
Crossville Mem Whit,-8.9,30.2
Fort Campbell Aaf,-7.7,32.8
Crossville Mem Whit,-8.9,30.2
Dalton,-5.1,32.8
Crossville Mem Whit,-8.9,30.2
Crossville Mem Whit,-8.9,30.2
Oak Ridge,-6.2,32.5
Nashville Metropoli,-7.1,33.5
Nashville Metropoli,-7.1,33.5
Oak Ridge,-6.2,32.5
Chattanooga Lovell,-4.9,33.7
Knoxville Municipal,-6.2,32.6
Memphis Intl Arpt,-5.0,34.6
Nashville Metropoli,-7.1,33.5
Fort Campbell Aaf,-7.7,32.8
Tri Cities Rgnl,-8.0,31.2
Nashville Metropoli,-7.1,33.5
Millington Muni Arp,-5.9,35.2
Nashville Metropoli,-7.1,33.5
Tri Cities Rgnl,-8.0,31.2
Knoxville Municipal,-6.2,32.6
Crossville Mem Whit,-8.9,30.2
Crossville Mem Whit,-8.9,30.2
Tri Cities Rgnl,-8.0,31.2
Northwest Alabama R,-4.9,34.1
Paducah Barkley,-9.0,33.5
Crossville Mem Whit,-8.9,30.2
Nashville Metropoli,-7.1,33.5
Nashville Metropoli,-7.1,33.5
Huntsville,-0.2,36.0
Odessa Schlemeyer Fl,-3.0,37.0
Angelina Co,-1.2,35.4
Aransas Co,3.9,32.9
Wichita Falls Sheps,-5.2,37.8
Amarillo Intl,-9.1,34.8
Stinson Muni,1.1,37.2
Suger Land Rgnl,2.0,34.1
Clovis Muni,-7.8,34.1
Kimble Co,-3.6,36.3
Austin Mueller Muni,-1.2,36.8
Abilene Municipal,-4.1,36.3
Beeville Chase Naas,0.9,36.8
Killeen Muni Awos,-1.4,36.6
San Antonio Intl,0.4,36.2
Burnet Muni Kate Cr,-1.3,36.0
Lubbock Lubbock Int,-6.7,35.9
Waco Rgnl,-2.1,37.2
Texarkana Rgnl Webb,-2.7,35.7
Brazoria Co,2.1,33.0
Easterwood Fld,-0.2,36.3
Marfa Municipal,-7.2,32.9
Amarillo Intl,-9.1,34.8
Kingsville Nas,3.0,36.0
Stephenville Clark,-3.7,35.2
Easterwood Fld,-0.2,36.3
Burnet Muni Kate Cr,-1.3,36.0
San Marcos Muni,-0.9,36.4
Palacios Muni,2.3,32.8
Abilene Municipal,-4.1,36.3
Brownsville Intl,5.6,34.6
Longview,-2.3,36.1
Hutchinson Co,-7.4,37.0
Texarkana Rgnl Webb,-2.7,35.7
Clovis Muni,-7.8,34.1
Houston Ellington,2.2,34.7
Angelina Co,-1.2,35.4
Childress Municipal,-6.2,37.1
Wichita Falls Sheps,-5.2,37.8
Lubbock Lubbock Int,-6.7,35.9
San Angelo Mathis,-3.4,37.1
Abilene Municipal,-4.1,36.3
Collin Co Rgnl,-3.0,37.2
Childress Municipal,-6.2,37.1
Fayette Rgnl Air Ctr,0.2,36.1
New Braunfels Muni,-0.1,37.1
Stephenville Clark,-3.7,35.2
San Angelo Mathis,-3.4,37.1
Denton Muni,-3.7,37.5
Robert Gray Aaf,-1.2,37.1
Childress Municipal,-6.2,37.1
Odessa Schlemeyer Fl,-3.0,37.0
San Angelo Mathis,-3.4,37.1
Lubbock Lubbock Int,-6.7,35.9
Pine Springs Guadalu,-4.8,32.8
Dalhart Municipal,-10.6,35.0
Dallas Love Fld,-2.1,37.1
Midland Midland Reg,-4.4,36.8
Clovis Muni,-7.8,34.1
Cox Fld,-3.8,36.1
Denton Muni,-3.7,37.5
Victoria Victoria R,1.4,35.1
Lubbock Lubbock Int,-6.7,35.9
Cotulla Lasalle Co,2.0,38.0
Amarillo Intl,-9.1,34.8
Alice Intl,3.4,37.1
Stephenville Clark,-3.7,35.2
Odessa Schlemeyer Fl,-3.0,37.0
Laughlin Afb,1.2,38.7
Dallas Hensley Field Nas,-2.7,36.4
El Paso Intl Arpt,-2.5,36.9
Stephenville Clark,-3.7,35.2
Mc Gregor Executive,-2.2,37.2
Collin Co Rgnl,-3.0,37.2
Fayette Rgnl Air Ctr,0.2,36.1
Abilene Dyess Afb,-4.8,37.4
Amarillo Intl,-9.1,34.8
Childress Municipal,-6.2,37.1
Suger Land Rgnl,2.0,34.1
Cox Fld,-3.8,36.1
Waco Rgnl,-2.1,37.2
Cotulla Lasalle Co,2.0,38.0
Odessa Schlemeyer Fl,-3.0,37.0
Galveston,4.0,32.5
Lubbock Lubbock Int,-6.7,35.9
Burnet Muni Kate Cr,-1.3,36.0
Midland Midland Reg,-4.4,36.8
Beeville Chase Naas,0.9,36.8
San Marcos Muni,-0.9,36.4
Hutchinson Co,-7.4,37.0
Collin Co Rgnl,-3.0,37.2
Longview,-2.3,36.1
Easterwood Fld,-0.2,36.3
New Braunfels Muni,-0.1,37.1
Amarillo Intl,-9.1,34.8
Childress Municipal,-6.2,37.1
Stephenville Clark,-3.7,35.2
Hutchinson Co,-7.4,37.0
Childress Municipal,-6.2,37.1
Port Arthur Jeffers,1.5,33.8
Houston Intercontin,1.0,35.1
Longview,-2.3,36.1
Dalhart Municipal,-10.6,35.0
Abilene Dyess Afb,-4.8,37.4
San Marcos Muni,-0.9,36.4
Gage Shattuck,-10.8,36.4
Tyler Pounds Rgnl,-2.0,35.8
Mc Allen Miller Int,5.6,37.2
Waco Rgnl,-2.1,37.2
Lubbock Lubbock Int,-6.7,35.9
Mineral Wells Muni,-3.7,37.2
Cox Fld,-3.8,36.1
Huntsville,-0.2,36.0
Midland Midland Reg,-4.4,36.8
El Paso Intl Arpt,-2.5,36.9
Terrell Muni,-2.3,37.1
Hutchinson Co,-7.4,37.0
San Angelo Mathis,-3.4,37.1
Mineral Wells Muni,-3.7,37.2
Victoria Victoria R,1.4,35.1
Port Arthur Jeffers,1.5,33.8
Marfa Municipal,-7.2,32.9
Port Arthur Jeffers,1.5,33.8
Alice Intl,3.4,37.1
Alice Intl,3.4,37.1
Arlington Muni,-4.1,26.3
Abilene Dyess Afb,-4.8,37.4
Beeville Chase Naas,0.9,36.8
Terrell Muni,-2.3,37.1
San Antonio Intl,0.4,36.2
Kingsville Nas,3.0,36.0
Abilene Dyess Afb,-4.8,37.4
Kimble Co,-3.6,36.3
Kimble Co,-3.6,36.3
Childress Municipal,-6.2,37.1
Laughlin Afb,1.2,38.7
Kingsville Nas,3.0,36.0
Abilene Dyess Afb,-4.8,37.4
Cox Fld,-3.8,36.1
Lubbock Lubbock Int,-6.7,35.9
Burnet Muni Kate Cr,-1.3,36.0
Cotulla Lasalle Co,2.0,38.0
Fayette Rgnl Air Ctr,0.2,36.1
Fayette Rgnl Air Ctr,0.2,36.1
Huntsville,-0.2,36.0
Houston Intercontin,1.0,35.1
Waco Rgnl,-2.1,37.2
Hutchinson Co,-7.4,37.0
Beeville Chase Naas,0.9,36.8
Burnet Muni Kate Cr,-1.3,36.0
Winkler Co,-4.5,38.8
Lubbock Lubbock Int,-6.7,35.9
Lubbock Lubbock Int,-6.7,35.9
Kimble Co,-3.6,36.3
Waco Rgnl,-2.1,37.2
Beeville Chase Naas,0.9,36.8
Huntsville,-0.2,36.0
Longview,-2.3,36.1
Midland Midland Reg,-4.4,36.8
Kimble Co,-3.6,36.3
Palacios Muni,2.3,32.8
Laughlin Afb,1.2,38.7
Hondo Muni,-1.0,36.4
Kimble Co,-3.6,36.3
Midland Midland Reg,-4.4,36.8
Draughon Miller Cen,-2.2,36.7
Burnet Muni Kate Cr,-1.3,36.0
Abilene Dyess Afb,-4.8,37.4
Denton Muni,-3.7,37.5
Montgomery Co,-1.1,35.1
Hutchinson Co,-7.4,37.0
Longview,-2.3,36.1
Childress Municipal,-6.2,37.1
A L Mangham Jr Rgnl,-2.3,35.2
C David Campbell Fld,-1.4,36.4
Lake Charles Muni,1.0,33.8
Abilene Dyess Afb,-4.8,37.4
Corpus Christi Int,3.3,34.8
Hutchinson Co,-7.4,37.0
Amarillo Intl,-9.1,34.8
Port Arthur Jeffers,1.5,33.8
Mineral Wells Muni,-3.7,37.2
Longview,-2.3,36.1
Mineral Wells Muni,-3.7,37.2
Clovis Muni,-7.8,34.1
Fort Stockton Pecos,-1.3,37.4
Angelina Co,-1.2,35.4
Amarillo Intl,-9.1,34.8
Marfa Municipal,-7.2,32.9
Terrell Muni,-2.3,37.1
Amarillo Intl,-9.1,34.8
San Angelo Mathis,-3.4,37.1
Hondo Muni,-1.0,36.4
Cox Fld,-3.8,36.1
Winkler Co,-4.5,38.8
Aransas Co,3.9,32.9
Hutchinson Co,-7.4,37.0
Easterwood Fld,-0.2,36.3
Terrell Muni,-2.3,37.1
Abilene Dyess Afb,-4.8,37.4
Longview,-2.3,36.1
Angelina Co,-1.2,35.4
A L Mangham Jr Rgnl,-2.3,35.2
Montgomery Co,-1.1,35.1
Corpus Christi Int,3.3,34.8
Burnet Muni Kate Cr,-1.3,36.0
San Angelo Mathis,-3.4,37.1
Abilene Dyess Afb,-4.8,37.4
Abilene Municipal,-4.1,36.3
A L Mangham Jr Rgnl,-2.3,35.2
Dalhart Municipal,-10.6,35.0
Tyler Pounds Rgnl,-2.0,35.8
Stephenville Clark,-3.7,35.2
Mc Allen Miller Int,5.6,37.2
Mineral Wells Muni,-3.7,37.2
San Angelo Mathis,-3.4,37.1
Abilene Dyess Afb,-4.8,37.4
San Angelo Mathis,-3.4,37.1
Amarillo Intl,-9.1,34.8
Fort Worth Meacham,-3.0,37.2
Abilene Dyess Afb,-4.8,37.4
Fort Stockton Pecos,-1.3,37.4
Lubbock Lubbock Int,-6.7,35.9
Wichita Falls Sheps,-5.2,37.8
Cox Fld,-3.8,36.1
San Angelo Mathis,-3.4,37.1
Austin Camp Mabry,0.2,36.6
Huntsville,-0.2,36.0
Angelina Co,-1.2,35.4
Longview,-2.3,36.1
Midland Midland Reg,-4.4,36.8
Hondo Muni,-1.0,36.4
Del Rio Intl,1.5,37.5
Terrell Muni,-2.3,37.1
Victoria Victoria R,1.4,35.1
Huntsville,-0.2,36.0
Houston Dw Hooks,1.0,35.2
Winkler Co,-4.5,38.8
Easterwood Fld,-0.2,36.3
Laredo Intl Airport,3.6,38.0
Palacios Muni,2.3,32.8
Hutchinson Co,-7.4,37.0
Wichita Falls Sheps,-5.2,37.8
Childress Municipal,-6.2,37.1
Valley Intl,4.9,36.2
Georgetown Muni,-2.1,36.2
Randolph Afb,-0.2,36.5
Winkler Co,-4.5,38.8
Fort Worth Alliance,-3.0,37.5
Tyler Pounds Rgnl,-2.0,35.8
Odessa Schlemeyer Fl,-3.0,37.0
Mineral Wells Muni,-3.7,37.2
Laredo Intl Airport,3.6,38.0
Cotulla Lasalle Co,2.0,38.0
Cedar City Rgnl,-13.5,32.9
Logan Cache,-17.5,32.9
Logan Cache,-17.5,32.9
Price Carbon County,-13.0,32.5
Vernal,-17.5,32.6
Hill Afb,-10.9,33.7
Vernal,-17.5,32.6
Price Carbon County,-13.0,32.5
Cedar City Rgnl,-13.5,32.9
Canyonlands Fld,-12.3,36.6
Cedar City Rgnl,-13.5,32.9
Provo Muni,-11.4,33.0
Cedar City Rgnl,-13.5,32.9
Provo Muni,-11.4,33.0
Hill Afb,-10.9,33.7
Cedar City Rgnl,-13.5,32.9
Logan Cache,-17.5,32.9
Salt Lake City Intl,-9.9,35.1
Cortez Muni,-13.8,32.8
Price Carbon County,-13.0,32.5
Provo Muni,-11.4,33.0
Logan Cache,-17.5,32.9
Wendover Af Aux F,-11.1,34.1
Vernal,-17.5,32.6
Provo Muni,-11.4,33.0
Price Carbon County,-13.0,32.5
St George Muni,-2.2,39.8
Page Muni Amos,-3.8,36.6
Ogden Hinckley Muni,-11.1,33.0
Burlington Intl,-19.3,29.7
W H Morse State,-17.4,28.6
Morrisville Stowe St,-21.4,28.0
Burlington Intl,-19.3,29.7
Mt Washington Rgnl,-24.0,27.8
Burlington Intl,-19.3,29.7
Plattsburgh Intl,-20.6,28.4
Morrisville Stowe St,-21.4,28.0
Edward F Knapp State,-20.8,27.9
Morrisville Stowe St,-21.4,28.0
Rutland State,-18.2,27.9
Edward F Knapp State,-20.8,27.9
Dillant Hopkins,-17.5,29.2
Hartness State,-17.4,29.1
Accomack Co,-4.1,32.9
Charlottesville Alb,-7.2,32.5
Ingalls Fld,-13.9,27.1
Farmville Rgnl,-7.5,33.8
Lynchburg Mun P G,-7.2,32.2
Lynchburg Mun P G,-7.2,32.2
Washington National,-6.3,33.2
Shenandoah Valley Rg,-8.7,32.8
Ingalls Fld,-13.9,27.1
Lynchburg Mun P G,-7.2,32.2
Mercer Co,-10.8,28.5
Roanoke Municipal,-6.9,32.2
Mecklenburg Brunswi,-4.8,34.0
Lonesome Pine,-11.3,28.9
Farmville Rgnl,-7.5,33.8
Lynchburg Mun P G,-7.2,32.2
Shannon,-7.5,33.9
Twin County,-8.9,28.7
Richmond Byrd Field,-6.0,33.7
Farmville Rgnl,-7.5,33.8
Dinwiddie Co,-7.1,34.8
Winchester Rgnl,-7.7,32.7
Roanoke Municipal,-6.9,32.2
Culpeper Rgnl,-7.8,33.7
Farmville Rgnl,-7.5,33.8
Lonesome Pine,-11.3,28.9
Dinwiddie Co,-7.1,34.8
Hanover Co Muni,-7.0,33.8
Davison Aaf,-7.7,34.3
Culpeper Rgnl,-7.8,33.7
Virginia Tech Arpt,-9.0,30.9
Charlottesville Alb,-7.2,32.5
Roanoke Municipal,-6.9,32.2
Winchester Rgnl,-7.7,32.7
Dublin New Riv Vlly,-8.0,32.0
Newport News Willia,-4.9,33.1
Louisa Co Freeman Fl,-7.0,33.7
Twin County,-8.9,28.7
Charlottesville Alb,-7.2,32.5
Halifax Co,-3.9,32.9
Danville Rgnl,-5.9,33.0
Hanover Co Muni,-7.0,33.8
Richmond Byrd Field,-6.0,33.7
Blue Ridge,-7.4,33.0
Ingalls Fld,-13.9,27.1
Franklin Muni Jb Ros,-4.9,34.1
Newport News Willia,-4.9,33.1
Richmond Byrd Field,-6.0,33.7
Quantico Mcaf,-6.9,32.4
Richmond Byrd Field,-6.0,33.7
Newport News Willia,-4.9,33.1
Lonesome Pine,-11.3,28.9
Leesburg Executive,-7.7,33.7
Louisa Co Freeman Fl,-7.0,33.7
Mecklenburg Brunswi,-4.8,34.0
Charlottesville Alb,-7.2,32.5
Newport News Willia,-4.9,33.1
Mecklenburg Brunswi,-4.8,34.0
Newport News Willia,-4.9,33.1
Virginia Tech Arpt,-9.0,30.9
Shenandoah Valley Rg,-8.7,32.8
Richmond Byrd Field,-6.0,33.7
Accomack Co,-4.1,32.9
Patuxent River Nas,-6.2,32.2
Farmville Rgnl,-7.5,33.8
Louisa Co Freeman Fl,-7.0,33.7
Charlottesville Alb,-7.2,32.5
Blue Ridge,-7.4,33.0
Danville Rgnl,-5.9,33.0
Hanover Co Muni,-7.0,33.8
Farmville Rgnl,-7.5,33.8
Dinwiddie Co,-7.1,34.8
Manassas Rgnl Davis,-8.7,32.6
Dublin New Riv Vlly,-8.0,32.0
Culpeper Rgnl,-7.8,33.7
Patuxent River Nas,-6.2,32.2
Roanoke Municipal,-6.9,32.2
Ingalls Fld,-13.9,27.1
Shenandoah Valley Rg,-8.7,32.8
Virginia Highlands,-8.0,31.0
Tri Cities Rgnl,-8.0,31.2
Winchester Rgnl,-7.7,32.7
Mountain Empire,-11.3,31.0
Franklin Muni Jb Ros,-4.9,34.1
Shannon,-7.5,33.9
Shannon,-7.5,33.9
Wakefield Muni,-5.3,33.0
Wakefield Muni,-5.3,33.0
Mountain Empire,-11.3,31.0
Winchester Rgnl,-7.7,32.7
Virginia Highlands,-8.0,31.0
Patuxent River Nas,-6.2,32.2
Lonesome Pine,-11.3,28.9
Mountain Empire,-11.3,31.0
Newport News Willia,-4.9,33.1
Washington National,-6.3,33.2
Lynchburg Mun P G,-7.2,32.2
Virginia Highlands,-8.0,31.0
Lynchburg Mun P G,-7.2,32.2
Charlottesville Alb,-7.2,32.5
Norfolk Intl Arpt,-3.2,33.0
Dinwiddie Co,-7.1,34.8
Ingalls Fld,-13.9,27.1
Danville Rgnl,-5.9,33.0
Halifax Co,-3.9,32.9
Davison Aaf,-7.7,34.3
Washington National,-6.3,33.2
Franklin Muni Jb Ros,-4.9,34.1
Shannon,-7.5,33.9
Twin County,-8.9,28.7
Langley Afb Hampton,-4.0,32.4
Shenandoah Valley Rg,-8.7,32.8
Richmond Byrd Field,-6.0,33.7
Ingalls Fld,-13.9,27.1
Lynchburg Mun P G,-7.2,32.2
Manassas Rgnl Davis,-8.7,32.6
Manassas Rgnl Davis,-8.7,32.6
Blue Ridge,-7.4,33.0
Newport News Willia,-4.9,33.1
Norfolk Ns,-2.6,33.0
Lonesome Pine,-11.3,28.9
Dinwiddie Co,-7.1,34.8
Langley Afb Hampton,-4.0,32.4
Norfolk Ns,-2.6,33.0
Dublin New Riv Vlly,-8.0,32.0
Richmond Byrd Field,-6.0,33.7
Roanoke Municipal,-6.9,32.2
Roanoke Municipal,-6.9,32.2
Shenandoah Valley Rg,-8.7,32.8
Suffolk Executive,-4.1,33.8
Chesapeake,-2.5,30.7
Shenandoah Valley Rg,-8.7,32.8
Newport News Willia,-4.9,33.1
Winchester Rgnl,-7.7,32.7
Moses Lake Grant Co,-12.1,34.9
Lewiston Nez Perce,-7.4,34.7
Hanford,-9.3,36.3
Pangborn Mem,-10.2,33.3
William R Fairchild,-2.5,23.4
Pearson Fld,-2.5,31.0
Walla Walla Rgnl,-7.8,34.8
Scappoose Industrial,-2.8,31.2
Pangborn Mem,-10.2,33.3
Omak,-12.2,34.1
Tri Cities,-9.1,35.9
Pullman Moscow Rgnl,-9.8,32.0
Moses Lake Grant Co,-12.1,34.9
Bowerman,-0.7,22.6
Snohomish Co,-1.3,24.2
West Point Ls,0.8,20.1
Renton Muni,-2.0,27.7
Bremerton National,-3.0,27.6
Bowers Fld,-12.0,33.7
Columbia Gorge Rgnl,-5.2,34.1
Olympia,-4.1,28.6
Fairchild Afb,-11.3,32.3
Sanderson Fld,-3.0,28.2
Omak,-12.2,34.1
Astoria Clatsop,-0.8,22.4
Deer Park Arpt,-12.8,32.3
Fort Lewis Gray Aaf,-4.0,28.5
Friday Harbor,-1.3,23.7
Arlington Muni,-4.1,26.3
Columbia Gorge Rgnl,-5.2,34.1
Snohomish Co,-1.3,24.2
Felts Fld,-10.1,32.7
Omak,-12.2,34.1
Olympia,-4.1,28.6
Astoria Clatsop,-0.8,22.4
Walla Walla Rgnl,-7.8,34.8
Bellingham Intl,-4.5,24.4
Pullman Moscow Rgnl,-9.8,32.0
Yakima Air Terminal,-10.2,33.7
Elkins Randolph Cou,-13.6,29.1
Eastern Wv Rgnl She,-9.0,32.4
