Dependency=Geometry Building Type RECS	Dependency=Geometry Story Bin	Dependency=State	Dependency=Vintage ACS	Option=Brick	Option=Concrete	Option=Steel Frame	Option=Wood Frame	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	<8	SC	<1940	0.0182371	0.0364742	0.0638298	0.881459	0	329	329	329	329
Multi-Family with 2 - 4 Units	8+	SC	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SC	1940-59	0.0486111	0.326389	0.0277778	0.597222	0	144	144	144	144
Multi-Family with 2 - 4 Units	8+	SC	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SC	1960-79	0.562264	0.0830189	0.00754717	0.34717	0	530	530	530	530
Multi-Family with 2 - 4 Units	8+	SC	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SC	1980-99	0.12439	0.0463415	0.00609756	0.823171	0	820	820	820	820
Multi-Family with 2 - 4 Units	8+	SC	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SC	2000-09	0.139713	0.0516746	0.000956938	0.807656	0	1045	1045	1045	1045
Multi-Family with 2 - 4 Units	8+	SC	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SC	2010s	0.0839695	0.00763359	0	0.908397	0	131	131	131	131
Multi-Family with 2 - 4 Units	8+	SC	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SC	<1940	0.21875	0.0729167	0	0.708333	0	96	96	96	96
Multi-Family with 5+ Units	8+	SC	1940-59	0	0	1	0	0	3	3	56	56
Multi-Family with 5+ Units	<8	SC	1940-59	0.154506	0.188841	0.0343348	0.622318	0	233	233	233	233
Multi-Family with 5+ Units	8+	SC	1960-79	0	0	1	0	0	0	0	131	131
Multi-Family with 5+ Units	<8	SC	1960-79	0.18123	0.606796	0.0202265	0.191748	0	1236	1236	1236	1236
Multi-Family with 5+ Units	8+	SC	1980-99	0	0	1	0	0	0	0	33	33
Multi-Family with 5+ Units	<8	SC	1980-99	0.00995025	0.718629	0.00552792	0.265893	0	3618	3618	3618	3618
Multi-Family with 5+ Units	8+	SC	2000-09	0	0	1	0	0	0	0	44	44
Multi-Family with 5+ Units	<8	SC	2000-09	0.0210142	0.600274	0.00639561	0.372316	0	2189	2189	2189	2189
Multi-Family with 5+ Units	8+	SC	2010s	0	0	1	0	0	0	0	114	114
Multi-Family with 5+ Units	<8	SC	2010s	0.0770393	0.0619335	0.00906344	0.851964	0	662	662	662	662
Multi-Family with 5+ Units	8+	SC	<1940	0	0	1	0	0	0	0	50	50
Multi-Family with 5+ Units	<8	SC	<1940	0.253333	0.0266667	0	0.72	0	75	75	75	75
Single-Family Attached	8+	SC	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SC	1940-59	0.113253	0.20241	0.0240964	0.660241	0	415	415	415	415
Single-Family Attached	8+	SC	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SC	1960-79	0.315753	0.0917808	0.00616438	0.586301	0	1460	1460	1460	1460
Single-Family Attached	8+	SC	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SC	1980-99	0.263611	0.0650215	0.00352526	0.667842	0	2553	2553	2553	2553
Single-Family Attached	8+	SC	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SC	2000-09	0.127362	0.0279376	0.000410846	0.844289	0	2434	2434	2434	2434
Single-Family Attached	8+	SC	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SC	2010s	0.390651	0.00166945	0	0.607679	0	599	599	599	599
Single-Family Attached	8+	SC	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SC	<1940	0.106796	0.0631068	0.00970874	0.820388	0	206	206	206	206
Single-Family Detached	8+	SC	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SC	1940-59	0.0920861	0.0425904	0.0145056	0.850818	0	47499	47499	47499	47499
Single-Family Detached	8+	SC	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SC	1960-79	0.290267	0.0366474	0.0121853	0.6609	0	98561	98561	98561	98561
Single-Family Detached	8+	SC	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SC	1980-99	0.164644	0.0606851	0.00866684	0.766004	0	116190	116190	116190	116190
Single-Family Detached	8+	SC	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SC	2000-09	0.151926	0.0381326	0.00854109	0.8014	0	90972	90972	90972	90972
Single-Family Detached	8+	SC	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SC	2010s	0.18837	0.0165109	0.00548743	0.789632	0	41185	41185	41185	41185
Single-Family Detached	8+	SC	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SC	<1940	0.0396918	0.0246344	0.0119645	0.923709	0	36859	36859	36859	36859
Mobile Home	8+	SD	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	SD	1940-59	0.0241379	0.0103448	0.00689655	0.958621	0	8	8	290	290
Mobile Home	8+	SD	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	SD	1960-79	0	0	0.216049	0.783951	0	162	162	162	162
Mobile Home	8+	SD	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	SD	1980-99	0.0077821	0.00389105	0.272374	0.715953	0	257	257	257	257
Mobile Home	8+	SD	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	SD	2000-09	0	0	0.130435	0.869565	0	23	23	23	23
Mobile Home	8+	SD	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	SD	2010s	0.00512164	0.00512164	0.00256082	0.987196	0	6	6	781	781
Mobile Home	8+	SD	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	SD	<1940	0.015544	0	0.0207254	0.963731	0	3	3	193	193
Multi-Family with 2 - 4 Units	8+	SD	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SD	1940-59	0.176492	0.00714541	0	0.816363	0	6	6	2799	2799
Multi-Family with 2 - 4 Units	8+	SD	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SD	1960-79	0	0	0	1	0	410	410	410	410
Multi-Family with 2 - 4 Units	8+	SD	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SD	1980-99	0	0	0	1	0	297	297	297	297
Multi-Family with 2 - 4 Units	8+	SD	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SD	2000-09	0	0	0.324074	0.675926	0	108	108	108	108
Multi-Family with 2 - 4 Units	8+	SD	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SD	2010s	0.526646	0.00470219	0	0.468652	0	3	3	638	638
Multi-Family with 2 - 4 Units	8+	SD	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	SD	<1940	0	0.72	0	0.28	0	25	25	25	25
Multi-Family with 5+ Units	8+	SD	1940-59	0	0	1	0	0	0	0	10	10
Multi-Family with 5+ Units	<8	SD	1940-59	0	0.16	0	0.84	0	25	25	25	25
Multi-Family with 5+ Units	8+	SD	1960-79	0	0	1	0	0	0	0	23	23
Multi-Family with 5+ Units	<8	SD	1960-79	0	0.0315315	0.0045045	0.963964	0	222	222	222	222
Multi-Family with 5+ Units	8+	SD	1980-99	0	0	1	0	0	0	0	11	11
Multi-Family with 5+ Units	<8	SD	1980-99	0	0.0152672	0	0.984733	0	131	131	131	131
Multi-Family with 5+ Units	8+	SD	2000-09	0	0	1	0	0	0	0	1	1
Multi-Family with 5+ Units	<8	SD	2000-09	0	0	0	1	0	32	32	32	32
Multi-Family with 5+ Units	8+	SD	2010s	0	0	1	0	0	0	0	3	3
Multi-Family with 5+ Units	<8	SD	2010s	0	0	0	1	0	31	31	31	31
Multi-Family with 5+ Units	8+	SD	<1940	0	0	1	0	0	0	0	33	33
Multi-Family with 5+ Units	<8	SD	<1940	0.0149254	0.253731	0.0149254	0.716418	0	67	67	67	67
Single-Family Attached	8+	SD	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SD	1940-59	0	0	0	1	0	17	17	17	17
Single-Family Attached	8+	SD	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SD	1960-79	0.00344828	0	0	0.996552	0	290	290	290	290
Single-Family Attached	8+	SD	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SD	1980-99	0	0	0	1	0	766	766	766	766
Single-Family Attached	8+	SD	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SD	2000-09	0.00229533	0.00306044	0	0.994644	0	1307	1307	1307	1307
Single-Family Attached	8+	SD	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SD	2010s	0	0	0	1	0	571	571	571	571
Single-Family Attached	8+	SD	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	SD	<1940	0	0.0434783	0	0.956522	0	23	23	23	23
Single-Family Detached	8+	SD	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SD	1940-59	0.00345503	0.017851	0.00725556	0.971438	0	8683	8683	8683	8683
Single-Family Detached	8+	SD	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SD	1960-79	0.00238572	0.00391259	0.00839775	0.985304	0	10479	10479	10479	10479
Single-Family Detached	8+	SD	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SD	1980-99	0.00297485	0.00243397	0.00279456	0.991797	0	11093	11093	11093	11093
Single-Family Detached	8+	SD	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SD	2000-09	0.00164474	0.0018797	0.00246711	0.994008	0	8512	8512	8512	8512
Single-Family Detached	8+	SD	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SD	2010s	0.000291545	0.00204082	0.00408163	0.993586	0	3430	3430	3430	3430
Single-Family Detached	8+	SD	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	SD	<1940	0.00243258	0.0144897	0.0209413	0.962136	0	9455	9455	9455	9455
Mobile Home	8+	TN	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TN	1940-59	0.0511727	0.0191898	0.0234542	0.906183	0	4	4	469	469
Mobile Home	8+	TN	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TN	1960-79	0	0.05	0	0.95	0	20	20	20	20
Mobile Home	8+	TN	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TN	1980-99	0.129412	0.0352941	0.0235294	0.811765	0	85	85	85	85
Mobile Home	8+	TN	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TN	2000-09	0.0277778	0	0	0.972222	0	36	36	36	36
Mobile Home	8+	TN	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TN	2010s	0.0217391	0	0	0.978261	0	46	46	46	46
Mobile Home	8+	TN	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TN	<1940	0.142857	0	0	0.857143	0	14	14	14	14
Multi-Family with 2 - 4 Units	8+	TN	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TN	1940-59	0.0909091	0.012987	0	0.896104	0	77	77	77	77
Multi-Family with 2 - 4 Units	8+	TN	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TN	1960-79	0.0242424	0.0272727	0.00606061	0.942424	0	330	330	330	330
Multi-Family with 2 - 4 Units	8+	TN	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TN	1980-99	0.00544465	0.310345	0.00181488	0.682396	0	551	551	551	551
Multi-Family with 2 - 4 Units	8+	TN	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TN	2000-09	0.158333	0.329167	0	0.5125	0	240	240	240	240
Multi-Family with 2 - 4 Units	8+	TN	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TN	2010s	0	0.166667	0	0.833333	0	18	18	18	18
Multi-Family with 2 - 4 Units	8+	TN	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TN	<1940	0.0287356	0.0114943	0	0.95977	0	174	174	174	174
Multi-Family with 5+ Units	8+	TN	1940-59	0	0	1	0	0	0	0	2	2
Multi-Family with 5+ Units	<8	TN	1940-59	0.0107527	0.0107527	0.0107527	0.967742	0	93	93	93	93
Multi-Family with 5+ Units	8+	TN	1960-79	0	0	1	0	0	1	1	10	10
Multi-Family with 5+ Units	<8	TN	1960-79	0.00337662	0.0038961	0.00805195	0.984675	0	3850	3850	3850	3850
Multi-Family with 5+ Units	8+	TN	1980-99	0	0	1	0	0	0	0	116	116
Multi-Family with 5+ Units	<8	TN	1980-99	0.0272448	0.00460476	0.00153492	0.966616	0	5212	5212	5212	5212
Multi-Family with 5+ Units	8+	TN	2000-09	0	0	1	0	0	0	0	47	47
Multi-Family with 5+ Units	<8	TN	2000-09	0.0716426	0.000260518	0	0.928097	0	7677	7677	7677	7677
Multi-Family with 5+ Units	8+	TN	2010s	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	TN	2010s	0.00388727	0.000194363	0.000194363	0.995724	0	5145	5145	5145	5145
Multi-Family with 5+ Units	8+	TN	<1940	0	0	1	0	0	1	1	10	10
Multi-Family with 5+ Units	<8	TN	<1940	0.00766284	0	0.00383142	0.988506	0	261	261	261	261
Single-Family Attached	8+	TN	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TN	1940-59	0.0010989	0.0010989	0.00659341	0.991209	0	910	910	910	910
Single-Family Attached	8+	TN	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TN	1960-79	0.001	0.001	0.01	0.988	0	1000	1000	1000	1000
Single-Family Attached	8+	TN	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TN	1980-99	0	0	0.00151134	0.998489	0	1985	1985	1985	1985
Single-Family Attached	8+	TN	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TN	2000-09	0.00119856	0	0.000399521	0.998402	0	2503	2503	2503	2503
Single-Family Attached	8+	TN	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TN	2010s	0.000401606	0	0	0.999598	0	2490	2490	2490	2490
Single-Family Attached	8+	TN	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TN	<1940	0.00128783	0	0.00386349	0.994849	0	1553	1553	1553	1553
Single-Family Detached	8+	TN	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TN	1940-59	0.00190087	0.00206438	0.0149617	0.981073	0	48925	48925	48925	48925
Single-Family Detached	8+	TN	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TN	1960-79	0.00407001	0.00136249	0.011162	0.983406	0	57248	57248	57248	57248
Single-Family Detached	8+	TN	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TN	1980-99	0.00748656	0.000764814	0.00496591	0.986783	0	92833	92833	92833	92833
Single-Family Detached	8+	TN	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TN	2000-09	0.00935264	0.000896828	0.00477698	0.984974	0	54637	54637	54637	54637
Single-Family Detached	8+	TN	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TN	2010s	0.0224429	0.00164116	0.00504657	0.970869	0	24373	24373	24373	24373
Single-Family Detached	8+	TN	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TN	<1940	0.000713406	0.00171866	0.00907971	0.988488	0	30838	30838	30838	30838
Mobile Home	8+	TX	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TX	1940-59	0.0555556	0.020202	0.343434	0.580808	0	198	198	198	198
Mobile Home	8+	TX	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TX	1960-79	0.00633413	0.000950119	0.892795	0.0999208	0	6315	6315	6315	6315
Mobile Home	8+	TX	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TX	1980-99	0.00249562	0.000337245	0.921961	0.0752057	0	14826	14826	14826	14826
Mobile Home	8+	TX	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TX	2000-09	0.00500109	0.000217439	0.897804	0.0969776	0	4599	4599	4599	4599
Mobile Home	8+	TX	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TX	2010s	0.00910816	0.000759013	0.886907	0.103226	0	2635	2635	2635	2635
Mobile Home	8+	TX	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	TX	<1940	0.0173611	0	0.0416667	0.940972	0	288	288	288	288
Multi-Family with 2 - 4 Units	8+	TX	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TX	1940-59	0.4625	0.00625	0.0234375	0.507812	0	640	640	640	640
Multi-Family with 2 - 4 Units	8+	TX	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TX	1960-79	0.108808	0.00207254	0.328497	0.560622	0	965	965	965	965
Multi-Family with 2 - 4 Units	8+	TX	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TX	1980-99	0.079918	0	0.00102459	0.919057	0	976	976	976	976
Multi-Family with 2 - 4 Units	8+	TX	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TX	2000-09	0.00633714	0	0.130545	0.863118	0	789	789	789	789
Multi-Family with 2 - 4 Units	8+	TX	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TX	2010s	0.00322581	0	0	0.996774	0	310	310	310	310
Multi-Family with 2 - 4 Units	8+	TX	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	TX	<1940	0.762063	0.00332779	0.0166389	0.21797	0	601	601	601	601
Multi-Family with 5+ Units	8+	TX	1940-59	0	0	1	0	0	1	1	1	1
Multi-Family with 5+ Units	<8	TX	1940-59	0.497041	0.0485207	0.00710059	0.447337	0	1690	1690	1690	1690
Multi-Family with 5+ Units	8+	TX	1960-79	0	0	1	0	0	468	468	468	468
Multi-Family with 5+ Units	<8	TX	1960-79	0.886605	0.00169685	0.00440529	0.107293	0	30645	30645	30645	30645
Multi-Family with 5+ Units	8+	TX	1980-99	0	0	1	0	0	379	379	379	379
Multi-Family with 5+ Units	<8	TX	1980-99	0.809735	0.00217489	0.000449978	0.187641	0	26668	26668	26668	26668
Multi-Family with 5+ Units	8+	TX	2000-09	0	0	1	0	0	33	33	33	33
Multi-Family with 5+ Units	<8	TX	2000-09	0.589402	0.0117404	0.0017452	0.397112	0	6303	6303	6303	6303
Multi-Family with 5+ Units	8+	TX	2010s	0	0	1	0	0	28	28	28	28
Multi-Family with 5+ Units	<8	TX	2010s	0.432345	0.0268767	0.0139018	0.526877	0	2158	2158	2158	2158
Multi-Family with 5+ Units	8+	TX	<1940	0	0	1	0	0	10	10	10	10
Multi-Family with 5+ Units	<8	TX	<1940	0.46343	0.0565458	0.00368777	0.476337	0	1627	1627	1627	1627
Single-Family Attached	8+	TX	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TX	1940-59	0.479817	0.0100917	0.115596	0.394495	0	1090	1090	1090	1090
Single-Family Attached	8+	TX	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TX	1960-79	0.675295	0.000110387	0.00182139	0.322773	0	18118	18118	18118	18118
Single-Family Attached	8+	TX	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TX	1980-99	0.552253	0	0.000958773	0.446788	0	9387	9387	9387	9387
Single-Family Attached	8+	TX	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TX	2000-09	0.125132	0.000117716	0.0196586	0.855091	0	8495	8495	8495	8495
Single-Family Attached	8+	TX	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TX	2010s	0.0848822	0.000191608	0.00593984	0.908986	0	5219	5219	5219	5219
Single-Family Attached	8+	TX	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	TX	<1940	0.599271	0.00182149	0.105647	0.29326	0	1098	1098	1098	1098
Single-Family Detached	8+	TX	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TX	1940-59	0.228018	0.0022569	0.0759206	0.693804	0	351367	351367	351367	351367
Single-Family Detached	8+	TX	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TX	1960-79	0.522568	0.000138163	0.00566469	0.471629	0	658641	658641	658641	658641
Single-Family Detached	8+	TX	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TX	1980-99	0.542848	0.0001654	0.00326628	0.45372	0	671099	671099	671099	671099
Single-Family Detached	8+	TX	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TX	2000-09	0.562099	0.000269511	0.00303362	0.434598	0	463803	463803	463803	463803
Single-Family Detached	8+	TX	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TX	2010s	0.486468	0.000377766	0.00261951	0.510535	0	201183	201183	201183	201183
Single-Family Detached	8+	TX	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	TX	<1940	0.15334	0.00134818	0.0402636	0.805048	0	93459	93459	93459	93459
Mobile Home	8+	UT	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	UT	1940-59	0.00530504	0.00132626	0.143236	0.850133	0	1	1	754	754
Mobile Home	8+	UT	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	UT	1960-79	0	0	0	1	0	22	22	22	22
Mobile Home	8+	UT	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	UT	1980-99	0	0	0	1	0	81	81	81	81
Mobile Home	8+	UT	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	UT	2000-09	0	0	0.1	0.9	0	10	10	10	10
Mobile Home	8+	UT	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	UT	2010s	0	0	0.0169867	0.983013	0	5	5	2708	2708
Mobile Home	8+	UT	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	UT	<1940	0.00522876	0	0.0235294	0.971242	0	0	0	765	765
Multi-Family with 2 - 4 Units	8+	UT	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	UT	1940-59	0	0	0	1	0	58	58	58	58
Multi-Family with 2 - 4 Units	8+	UT	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	UT	1960-79	0	0	0	1	0	638	638	638	638
Multi-Family with 2 - 4 Units	8+	UT	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	UT	1980-99	0	0	0	1	0	415	415	415	415
Multi-Family with 2 - 4 Units	8+	UT	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	UT	2000-09	0.00510204	0	0	0.994898	0	196	196	196	196
Multi-Family with 2 - 4 Units	8+	UT	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	UT	2010s	0	0	0	1	0	52	52	52	52
Multi-Family with 2 - 4 Units	8+	UT	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	UT	<1940	0	0	0	1	0	19	19	19	19
Multi-Family with 5+ Units	8+	UT	1940-59	0	0	1	0	0	0	0	1	1
Multi-Family with 5+ Units	<8	UT	1940-59	0.134029	0.0200642	0.00160514	0.844302	0	6	6	1246	1246
Multi-Family with 5+ Units	8+	UT	1960-79	0	0	1	0	0	0	0	39	39
Multi-Family with 5+ Units	<8	UT	1960-79	0.0555556	0	0	0.944444	0	18	18	18	18
Multi-Family with 5+ Units	8+	UT	1980-99	0	0	1	0	0	0	0	2	2
Multi-Family with 5+ Units	<8	UT	1980-99	0	0	0.0625	0.9375	0	16	16	16	16
Multi-Family with 5+ Units	8+	UT	2000-09	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	UT	2000-09	0.0454545	0	0.0454545	0.909091	0	22	22	22	22
Multi-Family with 5+ Units	8+	UT	2010s	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	UT	2010s	0.0178671	0.0184255	0.00837521	0.955332	0	8	8	1791	1791
Multi-Family with 5+ Units	8+	UT	<1940	0	0	1	0	0	0	0	3	3
Multi-Family with 5+ Units	<8	UT	<1940	0.160367	0.00485961	0.00485961	0.829914	0	3	3	1852	1852
Single-Family Attached	8+	UT	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	UT	1940-59	0.0116279	0	0	0.988372	0	172	172	172	172
Single-Family Attached	8+	UT	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	UT	1960-79	0	0	0	1	0	1044	1044	1044	1044
Single-Family Attached	8+	UT	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	UT	1980-99	0	0	0	1	0	1800	1800	1800	1800
Single-Family Attached	8+	UT	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	UT	2000-09	0	0	0	1	0	2284	2284	2284	2284
Single-Family Attached	8+	UT	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	UT	2010s	0	0	0	1	0	219	219	219	219
Single-Family Attached	8+	UT	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	UT	<1940	0	0	0	1	0	14	14	14	14
Single-Family Detached	8+	UT	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	UT	1940-59	0.000831848	0	0.000118835	0.999049	0	8415	8415	8415	8415
Single-Family Detached	8+	UT	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	UT	1960-79	0.000228715	0	0.000285894	0.999485	0	17489	17489	17489	17489
Single-Family Detached	8+	UT	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	UT	1980-99	0.000506864	0	0.000844773	0.998648	0	23675	23675	23675	23675
Single-Family Detached	8+	UT	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	UT	2000-09	0.000179062	0	0.00113406	0.998687	0	16754	16754	16754	16754
Single-Family Detached	8+	UT	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	UT	2010s	0.00319149	0	0.0117021	0.985106	0	940	940	940	940
Single-Family Detached	8+	UT	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	UT	<1940	0.00306513	0	0	0.996935	0	1305	1305	1305	1305
Mobile Home	8+	VA	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	VA	1940-59	0.0285714	0	0.0857143	0.885714	0	35	35	35	35
Mobile Home	8+	VA	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	VA	1960-79	0.00452196	0.00258398	0.113695	0.879199	0	1548	1548	1548	1548
Mobile Home	8+	VA	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	VA	1980-99	0.00256618	0.00148568	0.167747	0.828201	0	7404	7404	7404	7404
Mobile Home	8+	VA	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	VA	2000-09	0.00074184	0.00049456	0.122898	0.875865	0	4044	4044	4044	4044
Mobile Home	8+	VA	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	VA	2010s	0.00152905	0.00152905	0.166667	0.830275	0	654	654	654	654
Mobile Home	8+	VA	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	VA	<1940	0.00543478	0.00815217	0.13587	0.850543	0	368	368	368	368
