Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 2 - 4 Units	None	AR	0.698822	0.0640316	0.190878	0	0.0462679	1	6060.71	22	255042
Multi-Family with 5+ Units	None	AR	0.609207	0.0968617	0.223941	0	0.0699902	1	8937.95	13	168599
Single-Family Attached	None	AR	0.525225	0	0.474775	0	0	0	0	31	260430
Single-Family Detached	None	AR	0.522085	0	0.477915	0	0	1	2897.38	27	243863
Mobile Home	None	AZ	0.589314	0	0.341693	0	0.0689929	5	30985.4	31	162161
Multi-Family with 2 - 4 Units	None	AZ	0.682824	0	0.317176	0	0	3	26261.1	16	131938
Multi-Family with 5+ Units	None	AZ	0.799813	0	0.200187	0	0	10	80658.8	10	80658.8
Single-Family Attached	None	AZ	0.598054	0	0.401946	0	0	2	6412.89	25	126688
Single-Family Detached	None	AZ	0.571004	0	0.428996	0	0	21	111669	21	111669
Mobile Home	None	CA	0.131286	0.0153736	0.829892	0	0.0234489	3	40926.9	63	647220
Multi-Family with 2 - 4 Units	None	CA	0.294651	0	0.645968	0	0.0593817	15	222098	15	222098
Multi-Family with 5+ Units	None	CA	0.292855	0	0.682797	0.0243472	0	48	772134	48	772134
Single-Family Attached	None	CA	0.266836	0	0.733164	0	0	21	169177	21	169177
Single-Family Detached	None	CA	0.0488938	0	0.91366	0	0.0374457	34	405295	34	405295
Mobile Home	None	CO	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	CO	0.393584	0.000781981	0.554603	0.0383574	0.0126738	1	12849.8	163	1.36857e+06
Multi-Family with 5+ Units	None	CO	0.393584	0.000781981	0.554603	0.0383574	0.0126738	1	7472.38	163	1.36857e+06
Single-Family Attached	None	CO	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Single-Family Detached	None	CO	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Mobile Home	None	CT	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	CT	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	CT	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Single-Family Attached	None	CT	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	CT	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	DC	0.885407	0	0.0860705	0.0138654	0.0146575	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	DC	0.846129	0.0140533	0.139818	0	0	0	0	18	192832
Multi-Family with 5+ Units	None	DC	0.88764	0	0.100577	0.0117828	0	3	4401.24	58	916456
Single-Family Attached	None	DC	0.994487	0	0.00551329	0	0	2	1979.99	25	195831
Single-Family Detached	None	DC	0.857491	0	0.106789	0.0173638	0.0183558	0	0	96	1.08152e+06
Mobile Home	None	DE	0.885407	0	0.0860705	0.0138654	0.0146575	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	DE	0.846129	0.0140533	0.139818	0	0	1	2709.92	18	192832
Multi-Family with 5+ Units	None	DE	0.88764	0	0.100577	0.0117828	0	0	0	58	916456
Single-Family Attached	None	DE	0.994487	0	0.00551329	0	0	0	0	25	195831
Single-Family Detached	None	DE	0.857491	0	0.106789	0.0173638	0.0183558	0	0	96	1.08152e+06
Mobile Home	None	FL	0.885407	0	0.0860705	0.0138654	0.0146575	5	65799.8	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	FL	0.842261	0	0.157739	0	0	14	170924	14	170924
Multi-Family with 5+ Units	None	FL	0.919525	0	0.0804753	0	0	48	841207	48	841207
Single-Family Attached	None	FL	1	0	0	0	0	20	180387	20	180387
Single-Family Detached	None	FL	0.859533	0	0.109554	0.0111392	0.0197744	85	1.00393e+06	85	1.00393e+06
Mobile Home	None	GA	0.885407	0	0.0860705	0.0138654	0.0146575	1	11253.4	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	GA	0.846129	0.0140533	0.139818	0	0	1	6748.48	18	192832
Multi-Family with 5+ Units	None	GA	0.88764	0	0.100577	0.0117828	0	1	15582.2	58	916456
Single-Family Attached	None	GA	0.994487	0	0.00551329	0	0	0	0	25	195831
Single-Family Detached	None	GA	0.857491	0	0.106789	0.0173638	0.0183558	3	23752.7	96	1.08152e+06
Mobile Home	None	HI	0.622734	0	0.0846498	0.22819	0.0644267	0	0	194	291637
Multi-Family with 2 - 4 Units	None	HI	0.656886	0	0.210256	0.0625845	0.0702735	13	29212.3	13	29212.3
Multi-Family with 5+ Units	None	HI	0.750344	0	0.141416	0.0915575	0.016682	59	126096	59	126096
Single-Family Attached	None	HI	0.774322	0	0.0361602	0.113158	0.0763593	27	30153.8	27	30153.8
Single-Family Detached	None	HI	0.605253	0	0.0902416	0.241455	0.0630507	167	261483	167	261483
Mobile Home	None	IA	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	IA	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	IA	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Single-Family Attached	None	IA	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	IA	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	ID	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	ID	0.393584	0.000781981	0.554603	0.0383574	0.0126738	0	0	163	1.36857e+06
Multi-Family with 5+ Units	None	ID	0.393584	0.000781981	0.554603	0.0383574	0.0126738	0	0	163	1.36857e+06
Single-Family Attached	None	ID	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Single-Family Detached	None	ID	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Mobile Home	None	IL	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	IL	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	IL	0.61174	0.00750647	0.349133	0.0216506	0.00996964	2	22602.7	284	2.9234e+06
Single-Family Attached	None	IL	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	IL	0.625099	0.00512893	0.310747	0.0335641	0.0254606	2	20174.7	467	2.86683e+06
Mobile Home	None	IN	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	IN	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	IN	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Single-Family Attached	None	IN	0.625099	0.00512893	0.310747	0.0335641	0.0254606	1	2785.8	467	2.86683e+06
Single-Family Detached	None	IN	0.625099	0.00512893	0.310747	0.0335641	0.0254606	1	7641.31	467	2.86683e+06
Mobile Home	None	KS	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	KS	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	KS	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Single-Family Attached	None	KS	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	KS	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	KY	0.820862	0	0.151432	0.011161	0.0165446	0	0	167	1.68258e+06
Multi-Family with 2 - 4 Units	None	KY	0.84964	0.0136685	0.120469	0.00775168	0.00847089	0	0	102	1.39304e+06
Multi-Family with 5+ Units	None	KY	0.84964	0.0136685	0.120469	0.00775168	0.00847089	2	10032.4	102	1.39304e+06
Single-Family Attached	None	KY	0.820862	0	0.151432	0.011161	0.0165446	0	0	167	1.68258e+06
Single-Family Detached	None	KY	0.820862	0	0.151432	0.011161	0.0165446	0	0	167	1.68258e+06
Mobile Home	None	LA	0.549451	0	0.450549	0	0	0	0	36	306788
Multi-Family with 2 - 4 Units	None	LA	0.698822	0.0640316	0.190878	0	0.0462679	1	5171.96	22	255042
Multi-Family with 5+ Units	None	LA	0.609207	0.0968617	0.223941	0	0.0699902	1	5377.75	13	168599
Single-Family Attached	None	LA	0.525225	0	0.474775	0	0	1	2469.96	31	260430
Single-Family Detached	None	LA	0.522085	0	0.477915	0	0	7	38508.2	27	243863
Mobile Home	None	MA	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	MA	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	MA	0.487544	0.0189856	0.493471	0	0	1	6242.27	11	96572.5
Single-Family Attached	None	MA	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	MA	0.625099	0.00512893	0.310747	0.0335641	0.0254606	1	4080.66	467	2.86683e+06
Mobile Home	None	MD	0.885407	0	0.0860705	0.0138654	0.0146575	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	MD	0.846129	0.0140533	0.139818	0	0	1	6615.49	18	192832
Multi-Family with 5+ Units	None	MD	0.88764	0	0.100577	0.0117828	0	2	20279.7	58	916456
Single-Family Attached	None	MD	0.994487	0	0.00551329	0	0	0	0	25	195831
Single-Family Detached	None	MD	0.857491	0	0.106789	0.0173638	0.0183558	3	16289.4	96	1.08152e+06
Mobile Home	None	ME	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	ME	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	ME	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Single-Family Attached	None	ME	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	ME	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	MI	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	MI	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	MI	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Single-Family Attached	None	MI	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	MI	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	MN	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	MN	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	MN	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Single-Family Attached	None	MN	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	MN	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	MO	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	MO	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	MO	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Single-Family Attached	None	MO	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	MO	0.625099	0.00512893	0.310747	0.0335641	0.0254606	1	15343	467	2.86683e+06
Mobile Home	None	MS	0.820862	0	0.151432	0.011161	0.0165446	0	0	167	1.68258e+06
Multi-Family with 2 - 4 Units	None	MS	0.84964	0.0136685	0.120469	0.00775168	0.00847089	0	0	102	1.39304e+06
Multi-Family with 5+ Units	None	MS	0.84964	0.0136685	0.120469	0.00775168	0.00847089	0	0	102	1.39304e+06
Single-Family Attached	None	MS	0.820862	0	0.151432	0.011161	0.0165446	0	0	167	1.68258e+06
Single-Family Detached	None	MS	0.820862	0	0.151432	0.011161	0.0165446	1	4746.43	167	1.68258e+06
Mobile Home	None	MT	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	MT	0.393584	0.000781981	0.554603	0.0383574	0.0126738	0	0	163	1.36857e+06
Multi-Family with 5+ Units	None	MT	0.393584	0.000781981	0.554603	0.0383574	0.0126738	0	0	163	1.36857e+06
Single-Family Attached	None	MT	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Single-Family Detached	None	MT	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Mobile Home	None	NC	0.885407	0	0.0860705	0.0138654	0.0146575	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	NC	0.846129	0.0140533	0.139818	0	0	0	0	18	192832
Multi-Family with 5+ Units	None	NC	0.88764	0	0.100577	0.0117828	0	2	22032.9	58	916456
Single-Family Attached	None	NC	0.994487	0	0.00551329	0	0	0	0	25	195831
Single-Family Detached	None	NC	0.857491	0	0.106789	0.0173638	0.0183558	2	20572.3	96	1.08152e+06
Mobile Home	None	ND	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	ND	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	ND	0.61174	0.00750647	0.349133	0.0216506	0.00996964	2	3127.58	284	2.9234e+06
Single-Family Attached	None	ND	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	ND	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	NE	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	NE	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	NE	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Single-Family Attached	None	NE	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	NE	0.625099	0.00512893	0.310747	0.0335641	0.0254606	1	5009.9	467	2.86683e+06
Mobile Home	None	NH	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	NH	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	NH	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Single-Family Attached	None	NH	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	NH	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	NJ	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	NJ	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	NJ	0.487544	0.0189856	0.493471	0	0	2	16979.5	11	96572.5
Single-Family Attached	None	NJ	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	NJ	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	NM	0.589314	0	0.341693	0	0.0689929	0	0	31	162161
Multi-Family with 2 - 4 Units	None	NM	0.682824	0	0.317176	0	0	0	0	16	131938
Multi-Family with 5+ Units	None	NM	0.833022	0	0.166978	0	0	0	0	12	96700.6
Single-Family Attached	None	NM	0.598054	0	0.401946	0	0	0	0	25	126688
Single-Family Detached	None	NM	0.589093	0	0.410907	0	0	0	0	22	116585
Mobile Home	None	NV	0.589314	0	0.341693	0	0.0689929	1	4487.39	31	162161
Multi-Family with 2 - 4 Units	None	NV	0.682824	0	0.317176	0	0	1	8976.23	16	131938
Multi-Family with 5+ Units	None	NV	0.833022	0	0.166978	0	0	2	16041.7	12	96700.6
Single-Family Attached	None	NV	0.598054	0	0.401946	0	0	1	3690.32	25	126688
Single-Family Detached	None	NV	0.589093	0	0.410907	0	0	1	4915.98	22	116585
Mobile Home	None	NY	0.625099	0.00512893	0.310747	0.0335641	0.0254606	1	10894.8	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	NY	0.487544	0.0189856	0.493471	0	0	1	14522.7	11	96572.5
Multi-Family with 5+ Units	None	NY	0.487544	0.0189856	0.493471	0	0	6	56994.5	11	96572.5
Single-Family Attached	None	NY	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	NY	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	OH	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	OH	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	OH	0.61174	0.00750647	0.349133	0.0216506	0.00996964	1	23564.5	284	2.9234e+06
Single-Family Attached	None	OH	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	OH	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	OK	0.549451	0	0.450549	0	0	1	7153.03	36	306788
Multi-Family with 2 - 4 Units	None	OK	0.698822	0.0640316	0.190878	0	0.0462679	1	8369.42	22	255042
Multi-Family with 5+ Units	None	OK	0.609207	0.0968617	0.223941	0	0.0699902	3	33396.9	13	168599
Single-Family Attached	None	OK	0.525225	0	0.474775	0	0	0	0	31	260430
Single-Family Detached	None	OK	0.522085	0	0.477915	0	0	0	0	27	243863
Mobile Home	None	OR	0.131286	0.0153736	0.829892	0	0.0234489	0	0	63	647220
Multi-Family with 2 - 4 Units	None	OR	0.311625	0	0.630422	0	0.0579527	1	5476.55	16	227574
Multi-Family with 5+ Units	None	OR	0.31622	0	0.661169	0.0226105	0	2	14233	55	831442
Single-Family Attached	None	OR	0.259135	0	0.740865	0	0	0	0	22	174204
Single-Family Detached	None	OR	0.0921761	0	0.8727	0	0.0351238	1	6915.99	38	432089
Mobile Home	None	PA	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	PA	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	PA	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Single-Family Attached	None	PA	0.625099	0.00512893	0.310747	0.0335641	0.0254606	1	7902.64	467	2.86683e+06
Single-Family Detached	None	PA	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	RI	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	RI	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	RI	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Single-Family Attached	None	RI	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	RI	0.625099	0.00512893	0.310747	0.0335641	0.0254606	1	1918.47	467	2.86683e+06
Mobile Home	None	SC	0.885407	0	0.0860705	0.0138654	0.0146575	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	SC	0.846129	0.0140533	0.139818	0	0	1	5833.85	18	192832
Multi-Family with 5+ Units	None	SC	0.88764	0	0.100577	0.0117828	0	2	12952.9	58	916456
Single-Family Attached	None	SC	0.994487	0	0.00551329	0	0	3	13463.3	25	195831
Single-Family Detached	None	SC	0.857491	0	0.106789	0.0173638	0.0183558	1	5509.66	96	1.08152e+06
Mobile Home	None	SD	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	SD	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	SD	0.61174	0.00750647	0.349133	0.0216506	0.00996964	2	6969.3	284	2.9234e+06
Single-Family Attached	None	SD	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	SD	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	TN	0.820862	0	0.151432	0.011161	0.0165446	0	0	167	1.68258e+06
Multi-Family with 2 - 4 Units	None	TN	0.84964	0.0136685	0.120469	0.00775168	0.00847089	0	0	102	1.39304e+06
Multi-Family with 5+ Units	None	TN	0.84964	0.0136685	0.120469	0.00775168	0.00847089	1	6060.1	102	1.39304e+06
Single-Family Attached	None	TN	0.820862	0	0.151432	0.011161	0.0165446	0	0	167	1.68258e+06
Single-Family Detached	None	TN	0.820862	0	0.151432	0.011161	0.0165446	2	8659.93	167	1.68258e+06
Mobile Home	None	TX	0.549451	0	0.450549	0	0	3	34204	36	306788
Multi-Family with 2 - 4 Units	None	TX	0.698822	0.0640316	0.190878	0	0.0462679	6	66841.4	22	255042
Multi-Family with 5+ Units	None	TX	0.609207	0.0968617	0.223941	0	0.0699902	8	120886	13	168599
Single-Family Attached	None	TX	0.525225	0	0.474775	0	0	3	14097.3	31	260430
Single-Family Detached	None	TX	0.504499	0	0.495501	0	0	19	202457	19	202457
Mobile Home	None	UT	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	UT	0.393584	0.000781981	0.554603	0.0383574	0.0126738	0	0	163	1.36857e+06
Multi-Family with 5+ Units	None	UT	0.393584	0.000781981	0.554603	0.0383574	0.0126738	0	0	163	1.36857e+06
Single-Family Attached	None	UT	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Single-Family Detached	None	UT	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Mobile Home	None	VA	0.885407	0	0.0860705	0.0138654	0.0146575	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	VA	0.846129	0.0140533	0.139818	0	0	0	0	18	192832
Multi-Family with 5+ Units	None	VA	0.88764	0	0.100577	0.0117828	0	0	0	58	916456
Single-Family Attached	None	VA	0.994487	0	0.00551329	0	0	0	0	25	195831
Single-Family Detached	None	VA	0.857491	0	0.106789	0.0173638	0.0183558	1	7525.48	96	1.08152e+06
Mobile Home	None	VT	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	VT	0.487544	0.0189856	0.493471	0	0	1	1833.49	11	96572.5
Multi-Family with 5+ Units	None	VT	0.487544	0.0189856	0.493471	0	0	0	0	11	96572.5
Single-Family Attached	None	VT	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	VT	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Mobile Home	None	WA	0.131286	0.0153736	0.829892	0	0.0234489	0	0	63	647220
Multi-Family with 2 - 4 Units	None	WA	0.311625	0	0.630422	0	0.0579527	0	0	16	227574
Multi-Family with 5+ Units	None	WA	0.31622	0	0.661169	0.0226105	0	5	45074.6	55	831442
Single-Family Attached	None	WA	0.259135	0	0.740865	0	0	1	5027.42	22	174204
Single-Family Detached	None	WA	0.0921761	0	0.8727	0	0.0351238	3	19877.3	38	432089
Mobile Home	None	WI	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	WI	0.61174	0.00750647	0.349133	0.0216506	0.00996964	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	WI	0.61174	0.00750647	0.349133	0.0216506	0.00996964	1	8950.2	284	2.9234e+06
Single-Family Attached	None	WI	0.625099	0.00512893	0.310747	0.0335641	0.0254606	0	0	467	2.86683e+06
Single-Family Detached	None	WI	0.625099	0.00512893	0.310747	0.0335641	0.0254606	1	6809.47	467	2.86683e+06
Mobile Home	None	WV	0.885407	0	0.0860705	0.0138654	0.0146575	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	WV	0.846129	0.0140533	0.139818	0	0	0	0	18	192832
Multi-Family with 5+ Units	None	WV	0.88764	0	0.100577	0.0117828	0	0	0	58	916456
Single-Family Attached	None	WV	0.994487	0	0.00551329	0	0	0	0	25	195831
Single-Family Detached	None	WV	0.857491	0	0.106789	0.0173638	0.0183558	1	3936.14	96	1.08152e+06
Mobile Home	None	WY	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	WY	0.393584	0.000781981	0.554603	0.0383574	0.0126738	0	0	163	1.36857e+06
Multi-Family with 5+ Units	None	WY	0.393584	0.000781981	0.554603	0.0383574	0.0126738	0	0	163	1.36857e+06
Single-Family Attached	None	WY	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Single-Family Detached	None	WY	0.328719	0.00964258	0.560247	0.0604058	0.0409859	0	0	289	1.10169e+06
Mobile Home	Other Fuel	AL	1	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	AL	1	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	AL	1	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	AL	1	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	AL	1	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	AR	1	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	AR	1	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	AR	1	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	AR	1	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	AR	1	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	AZ	1	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	AZ	1	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	AZ	1	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	AZ	1	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	AZ	1	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	CA	1	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	CA	1	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	CA	1	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	CA	1	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	CA	1	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	CO	1	0	0	0	0	0	0	7	44591
