Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 2 - 4 Units	OR, 01000	0.923005	0.0769953	95	2130	95	2130
Multi-Family with 5+ Units	OR, 01000	0.894121	0.105879	124	3249	124	3249
Single-Family Attached	OR, 01000	0.836193	0.163807	49	1282	49	1282
Single-Family Detached	OR, 01000	0.907536	0.0924642	1721	33321	1721	33321
Mobile Home	OR, 01103	0.945887	0.0541126	103	2310	103	2310
Multi-Family with 2 - 4 Units	OR, 01103	0.968698	0.0313023	150	4185	150	4185
Multi-Family with 5+ Units	OR, 01103	0.90804	0.09196	324	9689	324	9689
Single-Family Attached	OR, 01103	0.909722	0.0902778	79	1584	79	1584
Single-Family Detached	OR, 01103	0.953826	0.0461739	1031	22242	1031	22242
Mobile Home	OR, 01104	0.948791	0.0512091	98	2109	98	2109
Multi-Family with 2 - 4 Units	OR, 01104	0.876478	0.123522	158	4145	158	4145
Multi-Family with 5+ Units	OR, 01104	0.914387	0.0856131	343	8188	343	8188
Single-Family Attached	OR, 01104	0.977175	0.0228254	80	1621	80	1621
Single-Family Detached	OR, 01104	0.949051	0.0509495	1252	26909	1252	26909
Mobile Home	OR, 01105	0.890015	0.109985	384	6510	384	6510
Multi-Family with 2 - 4 Units	OR, 01105	0.882831	0.117169	103	2586	103	2586
Multi-Family with 5+ Units	OR, 01105	0.901145	0.0988554	103	2883	103	2883
Single-Family Attached	OR, 01105	0.980924	0.0190763	57	996	57	996
Single-Family Detached	OR, 01105	0.940403	0.0595974	1847	30253	1847	30253
Mobile Home	OR, 01200	0.945113	0.0548874	359	6486	359	6486
Multi-Family with 2 - 4 Units	OR, 01200	0.937949	0.0620515	202	4738	202	4738
Multi-Family with 5+ Units	OR, 01200	0.950379	0.0496209	292	7517	292	7517
Single-Family Attached	OR, 01200	0.922621	0.0773791	165	3205	165	3205
Single-Family Detached	OR, 01200	0.943344	0.0566559	2568	49227	2568	49227
Mobile Home	OR, 01301	0.945789	0.054211	47	1033	47	1033
Multi-Family with 2 - 4 Units	OR, 01301	0.887873	0.112127	229	5360	229	5360
Multi-Family with 5+ Units	OR, 01301	0.920488	0.0795117	408	8766	408	8766
Single-Family Attached	OR, 01301	0.957467	0.0425326	132	2069	132	2069
Single-Family Detached	OR, 01301	0.957173	0.0428271	1900	34721	1900	34721
Mobile Home	OR, 01302	0.866345	0.133655	46	1242	46	1242
Multi-Family with 2 - 4 Units	OR, 01302	0.919531	0.0804692	187	4859	187	4859
Multi-Family with 5+ Units	OR, 01302	0.920279	0.0797207	458	12318	458	12318
Single-Family Attached	OR, 01302	1	0	103	2027	103	2027
Single-Family Detached	OR, 01302	0.94329	0.0567101	1445	28919	1445	28919
Mobile Home	OR, 01303	1	0	27	563	27	563
Multi-Family with 2 - 4 Units	OR, 01303	0.948192	0.0518079	225	5559	225	5559
Multi-Family with 5+ Units	OR, 01303	0.918988	0.0810117	346	8184	346	8184
Single-Family Attached	OR, 01303	0.974733	0.0252672	113	2058	113	2058
Single-Family Detached	OR, 01303	0.95652	0.0434796	1694	33027	1694	33027
Mobile Home	OR, 01305	0.879285	0.120715	20	671	20	671
Multi-Family with 2 - 4 Units	OR, 01305	0.858419	0.141581	271	6491	271	6491
Multi-Family with 5+ Units	OR, 01305	0.942933	0.0570667	833	18382	833	18382
Single-Family Attached	OR, 01305	0.953253	0.0467467	85	1583	85	1583
Single-Family Detached	OR, 01305	0.961495	0.0385051	1714	30879	1714	30879
Mobile Home	OR, 01314	1	0	17	377	17	377
Multi-Family with 2 - 4 Units	OR, 01314	0.943869	0.0561313	152	3474	152	3474
Multi-Family with 5+ Units	OR, 01314	0.894212	0.105788	1511	40978	1511	40978
Single-Family Attached	OR, 01314	0.922919	0.0770809	155	3412	155	3412
Single-Family Detached	OR, 01314	0.939185	0.0608147	1763	29187	1763	29187
Mobile Home	OR, 01316	0.947766	0.0522341	133	3178	133	3178
Multi-Family with 2 - 4 Units	OR, 01316	0.918359	0.0816415	178	4630	178	4630
Multi-Family with 5+ Units	OR, 01316	0.919757	0.0802427	500	14668	500	14668
Single-Family Attached	OR, 01316	0.975173	0.0248269	182	4189	182	4189
Single-Family Detached	OR, 01316	0.956168	0.043832	1631	35271	1631	35271
Mobile Home	OR, 01317	0.944999	0.055001	236	5109	236	5109
Multi-Family with 2 - 4 Units	OR, 01317	0.819415	0.180585	35	958	35	958
Multi-Family with 5+ Units	OR, 01317	0.844563	0.155437	60	1692	60	1692
Single-Family Attached	OR, 01317	0.763902	0.236098	45	1097	45	1097
Single-Family Detached	OR, 01317	0.890243	0.109757	1648	35688	1648	35688
Mobile Home	OR, 01318	0.969276	0.030724	209	3743	209	3743
Multi-Family with 2 - 4 Units	OR, 01318	0.963939	0.0360614	158	3910	158	3910
Multi-Family with 5+ Units	OR, 01318	0.929361	0.0706388	594	15827	594	15827
Single-Family Attached	OR, 01318	0.969048	0.0309516	121	3037	121	3037
Single-Family Detached	OR, 01318	0.969928	0.030072	2162	47087	2162	47087
Mobile Home	OR, 01319	0.932255	0.0677452	44	989	44	989
Multi-Family with 2 - 4 Units	OR, 01319	0.983131	0.0168685	94	2312	94	2312
Multi-Family with 5+ Units	OR, 01319	0.93594	0.0640604	402	10334	402	10334
Single-Family Attached	OR, 01319	0.970104	0.0298963	155	3278	155	3278
Single-Family Detached	OR, 01319	0.967138	0.0328621	1723	32043	1723	32043
Mobile Home	OR, 01320	0.84058	0.15942	54	1242	54	1242
Multi-Family with 2 - 4 Units	OR, 01320	0.900358	0.0996418	133	3071	133	3071
Multi-Family with 5+ Units	OR, 01320	0.934474	0.0655261	540	12392	540	12392
Single-Family Attached	OR, 01320	0.958427	0.0415727	163	3103	163	3103
Single-Family Detached	OR, 01320	0.98489	0.0151098	1677	28326	1677	28326
Mobile Home	OR, 01321	0.949069	0.050931	111	1826	111	1826
Multi-Family with 2 - 4 Units	OR, 01321	0.891578	0.108422	88	2066	88	2066
Multi-Family with 5+ Units	OR, 01321	0.924747	0.0752525	229	5940	229	5940
Single-Family Attached	OR, 01321	1	0	85	1933	85	1933
Single-Family Detached	OR, 01321	0.96187	0.0381296	1729	30239	1729	30239
Mobile Home	OR, 01322	0.887192	0.112808	41	851	41	851
Multi-Family with 2 - 4 Units	OR, 01322	0.914	0.086	84	2000	84	2000
Multi-Family with 5+ Units	OR, 01322	0.923071	0.0769291	504	12726	504	12726
Single-Family Attached	OR, 01322	0.972217	0.0277831	230	5219	230	5219
Single-Family Detached	OR, 01322	0.967388	0.0326121	1221	25420	1221	25420
Mobile Home	OR, 01323	0.929944	0.0700565	31	885	31	885
Multi-Family with 2 - 4 Units	OR, 01323	0.981601	0.0183988	74	2011	74	2011
Multi-Family with 5+ Units	OR, 01323	0.941226	0.0587739	348	9477	348	9477
Single-Family Attached	OR, 01323	0.945934	0.0540657	213	4661	213	4661
Single-Family Detached	OR, 01323	0.964717	0.0352831	1281	26755	1281	26755
Mobile Home	OR, 01324	1	0	19	543	19	543
Multi-Family with 2 - 4 Units	OR, 01324	0.956417	0.0435826	168	5002	168	5002
Multi-Family with 5+ Units	OR, 01324	0.929005	0.070995	551	15649	551	15649
Single-Family Attached	OR, 01324	0.903036	0.0969638	125	3063	125	3063
Single-Family Detached	OR, 01324	0.978279	0.0217206	1140	24631	1140	24631
Mobile Home	PA, 00101	0.870787	0.129213	23	712	23	712
Multi-Family with 2 - 4 Units	PA, 00101	0.805083	0.194917	436	12236	436	12236
Multi-Family with 5+ Units	PA, 00101	0.901475	0.0985248	207	5694	207	5694
Single-Family Attached	PA, 00101	0.937561	0.062439	91	2050	91	2050
Single-Family Detached	PA, 00101	0.921188	0.0788122	1154	27445	1154	27445
Mobile Home	PA, 00102	0.938619	0.0613811	301	5474	301	5474
Multi-Family with 2 - 4 Units	PA, 00102	0.939854	0.0601455	167	4672	167	4672
Multi-Family with 5+ Units	PA, 00102	0.873487	0.126513	276	8181	276	8181
Single-Family Attached	PA, 00102	0.905729	0.0942706	88	2461	88	2461
Single-Family Detached	PA, 00102	0.92696	0.07304	2792	52437	2792	52437
Mobile Home	PA, 00200	0.60798	0.39202	860	8571	860	8571
Multi-Family with 2 - 4 Units	PA, 00200	0.876876	0.123124	260	4865	260	4865
Multi-Family with 5+ Units	PA, 00200	0.866083	0.133917	178	3196	178	3196
Single-Family Attached	PA, 00200	0.79932	0.20068	69	1176	69	1176
Single-Family Detached	PA, 00200	0.770553	0.229447	4822	50735	4822	50735
Mobile Home	PA, 00300	0.615103	0.384897	1153	10660	1153	10660
Multi-Family with 2 - 4 Units	PA, 00300	0.847225	0.152775	281	5675	281	5675
Multi-Family with 5+ Units	PA, 00300	0.929648	0.0703518	210	4179	210	4179
Single-Family Attached	PA, 00300	0.816988	0.183012	83	1142	83	1142
Single-Family Detached	PA, 00300	0.741384	0.258616	7125	74044	7125	74044
Mobile Home	PA, 00400	0.673836	0.326164	1063	9903	1063	9903
Multi-Family with 2 - 4 Units	PA, 00400	0.779254	0.220746	279	4290	279	4290
Multi-Family with 5+ Units	PA, 00400	0.919281	0.0807194	163	2391	163	2391
Single-Family Attached	PA, 00400	0.737785	0.262215	63	614	63	614
Single-Family Detached	PA, 00400	0.75371	0.24629	4863	41642	4863	41642
Mobile Home	PA, 00500	0.579623	0.420377	533	6311	533	6311
Multi-Family with 2 - 4 Units	PA, 00500	0.833624	0.166376	220	3444	220	3444
Multi-Family with 5+ Units	PA, 00500	0.924825	0.0751748	141	1716	141	1716
Single-Family Attached	PA, 00500	0.664041	0.335959	104	1777	104	1777
Single-Family Detached	PA, 00500	0.60139	0.39861	5300	81310	5300	81310
Mobile Home	PA, 00600	0.805564	0.194436	90	3451	90	3451
Multi-Family with 2 - 4 Units	PA, 00600	0.675	0.325	91	3240	91	3240
Multi-Family with 5+ Units	PA, 00600	0.788543	0.211457	95	3788	95	3788
Single-Family Attached	PA, 00600	0.724913	0.275087	126	4046	126	4046
Single-Family Detached	PA, 00600	0.690143	0.309857	1894	66960	1894	66960
Mobile Home	PA, 00701	0.924439	0.0755608	21	847	21	847
Multi-Family with 2 - 4 Units	PA, 00701	0.804844	0.195156	472	12923	472	12923
Multi-Family with 5+ Units	PA, 00701	0.877166	0.122834	220	5772	220	5772
Single-Family Attached	PA, 00701	0.774264	0.225736	198	5914	198	5914
Single-Family Detached	PA, 00701	0.913714	0.0862862	1137	26725	1137	26725
Mobile Home	PA, 00702	0.698626	0.301374	266	2983	266	2983
Multi-Family with 2 - 4 Units	PA, 00702	0.82453	0.17547	301	5585	301	5585
Multi-Family with 5+ Units	PA, 00702	0.894423	0.105577	131	2851	131	2851
Single-Family Attached	PA, 00702	0.908207	0.0917933	99	1645	99	1645
Single-Family Detached	PA, 00702	0.865848	0.134152	3473	48475	3473	48475
Mobile Home	PA, 00801	0.868819	0.131181	108	1982	108	1982
Multi-Family with 2 - 4 Units	PA, 00801	0.784656	0.215344	291	7156	291	7156
Multi-Family with 5+ Units	PA, 00801	0.906376	0.0936239	179	4956	179	4956
Single-Family Attached	PA, 00801	0.858587	0.141413	266	6626	266	6626
Single-Family Detached	PA, 00801	0.900284	0.0997159	2309	40836	2309	40836
Mobile Home	PA, 00802	0.950943	0.0490566	57	1060	57	1060
Multi-Family with 2 - 4 Units	PA, 00802	0.718106	0.281894	283	7478	283	7478
Multi-Family with 5+ Units	PA, 00802	0.837198	0.162802	256	6253	256	6253
Single-Family Attached	PA, 00802	0.815668	0.184332	414	10161	414	10161
Single-Family Detached	PA, 00802	0.888296	0.111704	1643	33356	1643	33356
Mobile Home	PA, 00803	0.789771	0.210229	341	4243	341	4243
Multi-Family with 2 - 4 Units	PA, 00803	0.81936	0.18064	262	5785	262	5785
Multi-Family with 5+ Units	PA, 00803	0.769468	0.230532	143	3236	143	3236
Single-Family Attached	PA, 00803	0.762195	0.237805	222	4428	222	4428
Single-Family Detached	PA, 00803	0.872509	0.127491	3409	42709	3409	42709
Mobile Home	PA, 00900	0.760054	0.239946	491	5222	491	5222
Multi-Family with 2 - 4 Units	PA, 00900	0.793636	0.206364	314	7574	314	7574
Multi-Family with 5+ Units	PA, 00900	0.845647	0.154353	223	5617	223	5617
Single-Family Attached	PA, 00900	0.791591	0.208409	216	4400	216	4400
Single-Family Detached	PA, 00900	0.843959	0.156041	4699	49865	4699	49865
Mobile Home	PA, 01000	0.802908	0.197092	207	3095	207	3095
Multi-Family with 2 - 4 Units	PA, 01000	0.675563	0.324437	169	4571	169	4571
Multi-Family with 5+ Units	PA, 01000	0.904094	0.0959064	144	3420	144	3420
Single-Family Attached	PA, 01000	0.807131	0.192869	422	10349	422	10349
Single-Family Detached	PA, 01000	0.914086	0.0859137	2548	32230	2548	32230
Mobile Home	PA, 01100	0.812784	0.187216	371	5069	371	5069
Multi-Family with 2 - 4 Units	PA, 01100	0.833967	0.166033	217	4210	217	4210
Multi-Family with 5+ Units	PA, 01100	0.845791	0.154209	190	4241	190	4241
Single-Family Attached	PA, 01100	0.890765	0.109235	254	3909	254	3909
Single-Family Detached	PA, 01100	0.870576	0.129424	3652	49442	3652	49442
Mobile Home	PA, 01200	0.813342	0.186658	219	3043	219	3043
Multi-Family with 2 - 4 Units	PA, 01200	0.895534	0.104466	171	5150	171	5150
Multi-Family with 5+ Units	PA, 01200	0.879781	0.120219	390	14823	390	14823
Single-Family Attached	PA, 01200	0.830271	0.169729	181	5061	181	5061
Single-Family Detached	PA, 01200	0.876851	0.123149	2180	38628	2180	38628
Mobile Home	PA, 01300	0.583582	0.416418	1083	9392	1083	9392
Multi-Family with 2 - 4 Units	PA, 01300	0.750838	0.249162	258	4475	258	4475
Multi-Family with 5+ Units	PA, 01300	0.835713	0.164287	245	4413	245	4413
Single-Family Attached	PA, 01300	0.866324	0.133676	59	778	59	778
Single-Family Detached	PA, 01300	0.747276	0.252724	6491	60398	6491	60398
Mobile Home	PA, 01400	0.851418	0.148582	331	3843	331	3843
Multi-Family with 2 - 4 Units	PA, 01400	0.85399	0.14601	138	2945	138	2945
Multi-Family with 5+ Units	PA, 01400	0.8911	0.1089	172	4472	172	4472
Single-Family Attached	PA, 01400	0.906716	0.0932836	80	1608	80	1608
Single-Family Detached	PA, 01400	0.891252	0.108748	2951	39394	2951	39394
Mobile Home	PA, 01501	0.830933	0.169067	240	3472	240	3472
Multi-Family with 2 - 4 Units	PA, 01501	0.75256	0.24744	141	3027	141	3027
Multi-Family with 5+ Units	PA, 01501	0.894337	0.105663	152	2896	152	2896
Single-Family Attached	PA, 01501	0.808673	0.191327	58	1176	58	1176
Single-Family Detached	PA, 01501	0.927974	0.0720259	2347	37667	2347	37667
Mobile Home	PA, 01502	0.845339	0.154661	157	2832	157	2832
Multi-Family with 2 - 4 Units	PA, 01502	0.823103	0.176897	296	6207	296	6207
Multi-Family with 5+ Units	PA, 01502	0.884615	0.115385	274	6058	274	6058
Single-Family Attached	PA, 01502	0.760346	0.239654	158	4398	158	4398
Single-Family Detached	PA, 01502	0.912611	0.0873889	2970	52993	2970	52993
Mobile Home	PA, 01600	0.8531	0.1469	469	6855	469	6855
Multi-Family with 2 - 4 Units	PA, 01600	0.868902	0.131098	217	3936	217	3936
Multi-Family with 5+ Units	PA, 01600	0.840667	0.159333	332	8159	332	8159
Single-Family Attached	PA, 01600	0.922102	0.077898	308	6470	308	6470
Single-Family Detached	PA, 01600	0.940726	0.0592741	3662	57833	3662	57833
Mobile Home	PA, 01701	0.603125	0.396875	14	320	14	320
Multi-Family with 2 - 4 Units	PA, 01701	0.842457	0.157543	676	16605	676	16605
Multi-Family with 5+ Units	PA, 01701	0.907538	0.0924621	1209	32489	1209	32489
Single-Family Attached	PA, 01701	0.872554	0.127446	777	16760	777	16760
Single-Family Detached	PA, 01701	0.888694	0.111306	1644	33134	1644	33134
Mobile Home	PA, 01702	0.836364	0.163636	12	220	12	220
Multi-Family with 2 - 4 Units	PA, 01702	0.778817	0.221183	264	8658	264	8658
Multi-Family with 5+ Units	PA, 01702	0.85014	0.14986	251	7487	251	7487
Single-Family Attached	PA, 01702	0.866204	0.133796	242	6480	242	6480
Single-Family Detached	PA, 01702	0.888034	0.111966	1649	36931	1649	36931
Mobile Home	PA, 01801	0.876263	0.123737	43	1188	43	1188
Multi-Family with 2 - 4 Units	PA, 01801	0.891189	0.108811	139	3961	139	3961
Multi-Family with 5+ Units	PA, 01801	0.8985	0.1015	241	7665	241	7665
Single-Family Attached	PA, 01801	0.887577	0.112423	255	6689	255	6689
Single-Family Detached	PA, 01801	0.926001	0.0739992	1414	32149	1414	32149
Mobile Home	PA, 01802	0.726582	0.273418	20	395	20	395
Multi-Family with 2 - 4 Units	PA, 01802	0.809644	0.190356	102	2779	102	2779
Multi-Family with 5+ Units	PA, 01802	0.907401	0.0925995	243	8067	243	8067
Single-Family Attached	PA, 01802	0.899315	0.100685	262	6277	262	6277
Single-Family Detached	PA, 01802	0.956458	0.0435418	2463	51330	2463	51330
Mobile Home	PA, 01803	0.799139	0.200861	8	159	15111	223941
Multi-Family with 2 - 4 Units	PA, 01803	0.837505	0.162495	206	5114	206	5114
Multi-Family with 5+ Units	PA, 01803	0.921032	0.0789679	367	8991	367	8991
Single-Family Attached	PA, 01803	0.871101	0.128899	217	5066	217	5066
Single-Family Detached	PA, 01803	0.942738	0.0572619	1942	41773	1942	41773
Mobile Home	PA, 01804	0.913658	0.0863422	19	637	19	637
Multi-Family with 2 - 4 Units	PA, 01804	0.75983	0.24017	348	8698	348	8698
Multi-Family with 5+ Units	PA, 01804	0.885574	0.114426	516	15049	516	15049
Single-Family Attached	PA, 01804	0.8796	0.1204	312	8098	312	8098
Single-Family Detached	PA, 01804	0.903669	0.0963307	2542	58621	2542	58621
Mobile Home	PA, 01805	0.554775	0.445225	28	712	28	712
Multi-Family with 2 - 4 Units	PA, 01805	0.713458	0.286542	147	3968	147	3968
Multi-Family with 5+ Units	PA, 01805	0.894074	0.105926	277	8100	277	8100
Single-Family Attached	PA, 01805	0.855453	0.144547	100	2705	100	2705
Single-Family Detached	PA, 01805	0.876215	0.123785	2023	44149	2023	44149
Mobile Home	PA, 01806	0.799139	0.200861	2	55	15111	223941
Multi-Family with 2 - 4 Units	PA, 01806	0.88547	0.11453	161	4095	161	4095
Multi-Family with 5+ Units	PA, 01806	0.880662	0.119338	442	13114	442	13114
Single-Family Attached	PA, 01806	0.919594	0.0804056	176	4241	176	4241
Single-Family Detached	PA, 01806	0.953644	0.0463564	1787	37298	1787	37298
Mobile Home	PA, 01807	0.799139	0.200861	9	176	15111	223941
Multi-Family with 2 - 4 Units	PA, 01807	0.825588	0.174412	60	1743	60	1743
Multi-Family with 5+ Units	PA, 01807	0.874666	0.125334	208	6359	208	6359
Single-Family Attached	PA, 01807	0.920203	0.0797966	158	4524	158	4524
Single-Family Detached	PA, 01807	0.958362	0.0416377	1779	37370	1779	37370
Mobile Home	PA, 01900	0.742677	0.257323	641	7920	641	7920
Multi-Family with 2 - 4 Units	PA, 01900	0.74807	0.25193	230	4275	230	4275
Multi-Family with 5+ Units	PA, 01900	0.754687	0.245312	249	5760	249	5760
Single-Family Attached	PA, 01900	0.840666	0.159334	120	2341	120	2341
Single-Family Detached	PA, 01900	0.892503	0.107497	4257	51527	4257	51527
Mobile Home	PA, 02001	0.893678	0.106322	56	1392	56	1392
Multi-Family with 2 - 4 Units	PA, 02001	0.616766	0.383234	109	2672	109	2672
Multi-Family with 5+ Units	PA, 02001	0.845413	0.154587	141	3946	141	3946
Single-Family Attached	PA, 02001	0.891388	0.108612	110	3379	110	3379
Single-Family Detached	PA, 02001	0.923431	0.0765695	1734	36111	1734	36111
Mobile Home	PA, 02002	0.837419	0.162581	112	2774	112	2774
Multi-Family with 2 - 4 Units	PA, 02002	0.756292	0.243708	210	4649	210	4649
Multi-Family with 5+ Units	PA, 02002	0.873075	0.126925	240	6429	240	6429
Single-Family Attached	PA, 02002	0.905563	0.0944369	152	3685	152	3685
Single-Family Detached	PA, 02002	0.924931	0.0750687	2678	54550	2678	54550
Mobile Home	PA, 02003	0.835964	0.164036	234	5005	234	5005
Multi-Family with 2 - 4 Units	PA, 02003	0.825473	0.174527	149	3117	149	3117
Multi-Family with 5+ Units	PA, 02003	0.806984	0.193016	109	2606	109	2606
Single-Family Attached	PA, 02003	0.8883	0.1117	97	2453	97	2453
Single-Family Detached	PA, 02003	0.886925	0.113075	2064	37674	2064	37674
Mobile Home	PA, 02100	0.783173	0.216827	246	3007	246	3007
Multi-Family with 2 - 4 Units	PA, 02100	0.711366	0.288634	247	4355	247	4355
Multi-Family with 5+ Units	PA, 02100	0.858674	0.141326	257	5038	257	5038
Single-Family Attached	PA, 02100	0.693449	0.306551	256	4381	256	4381
Single-Family Detached	PA, 02100	0.891946	0.108054	3991	49170	3991	49170
Mobile Home	PA, 02200	0.764947	0.235053	533	6824	533	6824
Multi-Family with 2 - 4 Units	PA, 02200	0.899744	0.100256	267	5476	267	5476
Multi-Family with 5+ Units	PA, 02200	0.912355	0.0876454	269	5933	269	5933
Single-Family Attached	PA, 02200	0.910395	0.0896047	172	3415	172	3415
Single-Family Detached	PA, 02200	0.867709	0.132291	4312	57895	4312	57895
Mobile Home	PA, 02301	0.862188	0.137812	391	6088	391	6088
Multi-Family with 2 - 4 Units	PA, 02301	0.831826	0.168174	192	4091	192	4091
Multi-Family with 5+ Units	PA, 02301	0.939803	0.0601966	210	4884	210	4884
Single-Family Attached	PA, 02301	0.91072	0.0892801	306	6362	306	6362
Single-Family Detached	PA, 02301	0.915961	0.0840392	2771	39434	2771	39434
Mobile Home	PA, 02302	0.930542	0.0694577	51	2102	51	2102
Multi-Family with 2 - 4 Units	PA, 02302	0.932881	0.0671194	130	3829	130	3829
Multi-Family with 5+ Units	PA, 02302	0.938587	0.0614131	249	8223	249	8223
Single-Family Attached	PA, 02302	0.972319	0.0276814	409	12102	409	12102
Single-Family Detached	PA, 02302	0.951473	0.0485271	1540	39854	1540	39854
Mobile Home	PA, 02401	1	0	10	313	10	313
Multi-Family with 2 - 4 Units	PA, 02401	0.800942	0.199058	240	7852	240	7852
Multi-Family with 5+ Units	PA, 02401	0.888889	0.111111	436	15048	436	15048
Single-Family Attached	PA, 02401	0.86469	0.13531	740	20878	740	20878
Single-Family Detached	PA, 02401	0.934206	0.0657943	1196	30185	1196	30185
Mobile Home	PA, 02402	0.897743	0.102257	126	2836	126	2836
Multi-Family with 2 - 4 Units	PA, 02402	0.829842	0.170158	161	3485	161	3485
Multi-Family with 5+ Units	PA, 02402	0.866328	0.133672	210	4526	210	4526
Single-Family Attached	PA, 02402	0.930749	0.0692506	322	7379	322	7379
Single-Family Detached	PA, 02402	0.935045	0.0649551	1870	31822	1870	31822
Mobile Home	PA, 02500	0.915068	0.0849315	128	2920	128	2920
Multi-Family with 2 - 4 Units	PA, 02500	0.869811	0.130189	186	5492	186	5492
Multi-Family with 5+ Units	PA, 02500	0.888332	0.111668	145	3994	145	3994
Single-Family Attached	PA, 02500	0.935421	0.0645793	440	10731	440	10731
Single-Family Detached	PA, 02500	0.944071	0.0559294	1673	34472	1673	34472
Mobile Home	PA, 02600	0.822366	0.177634	176	2477	176	2477
Multi-Family with 2 - 4 Units	PA, 02600	0.736307	0.263693	214	4619	214	4619
Multi-Family with 5+ Units	PA, 02600	0.85278	0.14722	160	4191	160	4191
Single-Family Attached	PA, 02600	0.760408	0.239592	1082	19433	1082	19433
Single-Family Detached	PA, 02600	0.892976	0.107024	2997	39150	2997	39150
Mobile Home	PA, 02701	0.935585	0.0644153	98	1599	98	1599
Multi-Family with 2 - 4 Units	PA, 02701	0.880645	0.119355	101	2480	101	2480
Multi-Family with 5+ Units	PA, 02701	0.936422	0.0635781	158	4058	158	4058
Single-Family Attached	PA, 02701	0.925459	0.0745405	366	8814	366	8814
Single-Family Detached	PA, 02701	0.95341	0.0465899	1904	32668	1904	32668
Mobile Home	PA, 02702	1	0	14	264	14	264
Multi-Family with 2 - 4 Units	PA, 02702	0.816014	0.183986	259	7968	259	7968
Multi-Family with 5+ Units	PA, 02702	0.915785	0.0842154	266	8597	266	8597
Single-Family Attached	PA, 02702	0.879563	0.120437	862	22219	862	22219
Single-Family Detached	PA, 02702	0.936512	0.0634885	756	17767	756	17767
Mobile Home	PA, 02703	0.912567	0.0874333	144	3374	144	3374
Multi-Family with 2 - 4 Units	PA, 02703	0.89063	0.10937	131	3063	131	3063
Multi-Family with 5+ Units	PA, 02703	0.902652	0.0973476	147	3544	147	3544
Single-Family Attached	PA, 02703	0.940794	0.0592061	334	7381	334	7381
Single-Family Detached	PA, 02703	0.950334	0.0496664	2081	43309	2081	43309
Mobile Home	PA, 02801	0.87191	0.12809	130	3115	130	3115
Multi-Family with 2 - 4 Units	PA, 02801	0.731898	0.268102	105	2555	105	2555
Multi-Family with 5+ Units	PA, 02801	0.832708	0.167292	120	3730	120	3730
Single-Family Attached	PA, 02801	0.877954	0.122046	380	9562	380	9562
Single-Family Detached	PA, 02801	0.837208	0.162792	1817	42373	1817	42373
Mobile Home	PA, 02802	0.802243	0.197757	38	981	38	981
Multi-Family with 2 - 4 Units	PA, 02802	0.961837	0.0381625	99	2830	99	2830
Multi-Family with 5+ Units	PA, 02802	0.967518	0.032482	278	8066	278	8066
Single-Family Attached	PA, 02802	0.981304	0.0186965	508	13425	508	13425
Single-Family Detached	PA, 02802	0.962014	0.0379859	1587	39462	1587	39462
Mobile Home	PA, 02803	0.799139	0.200861	6	122	15111	223941
Multi-Family with 2 - 4 Units	PA, 02803	0.899465	0.100535	258	8594	258	8594
Multi-Family with 5+ Units	PA, 02803	0.906206	0.0937935	313	10054	313	10054
Single-Family Attached	PA, 02803	0.922408	0.077592	602	17824	602	17824
Single-Family Detached	PA, 02803	0.957855	0.0421452	395	9230	395	9230
Mobile Home	PA, 02901	0.799139	0.200861	8	281	15111	223941
Multi-Family with 2 - 4 Units	PA, 02901	0.82117	0.17883	253	8153	253	8153
Multi-Family with 5+ Units	PA, 02901	0.882936	0.117064	395	10789	395	10789
Single-Family Attached	PA, 02901	0.90792	0.0920803	678	17387	678	17387
Single-Family Detached	PA, 02901	0.959277	0.0407229	1515	34305	1515	34305
Mobile Home	PA, 02902	0.897216	0.102784	121	2802	121	2802
Multi-Family with 2 - 4 Units	PA, 02902	0.84675	0.15325	155	4385	155	4385
Multi-Family with 5+ Units	PA, 02902	0.909788	0.0902121	143	3913	143	3913
Single-Family Attached	PA, 02902	0.924773	0.0752268	345	8707	345	8707
Single-Family Detached	PA, 02902	0.958556	0.0414435	1946	41454	1946	41454
Mobile Home	PA, 03001	0.927949	0.0720511	65	1721	65	1721
Multi-Family with 2 - 4 Units	PA, 03001	0.881837	0.118163	131	2852	131	2852
Multi-Family with 5+ Units	PA, 03001	0.899227	0.100773	170	4138	170	4138
Single-Family Attached	PA, 03001	0.958056	0.0419439	466	10371	466	10371
Single-Family Detached	PA, 03001	0.954677	0.0453228	1659	35545	1659	35545
Mobile Home	PA, 03002	0.649916	0.350084	16	597	16	597
Multi-Family with 2 - 4 Units	PA, 03002	0.928508	0.0714916	81	2266	81	2266
Multi-Family with 5+ Units	PA, 03002	0.933885	0.0661146	259	7245	259	7245
Single-Family Attached	PA, 03002	0.951915	0.048085	353	9504	353	9504
Single-Family Detached	PA, 03002	0.966214	0.0337858	1595	36909	1595	36909
Mobile Home	PA, 03003	0.734792	0.265208	38	1463	38	1463
Multi-Family with 2 - 4 Units	PA, 03003	0.941472	0.0585284	96	2392	96	2392
Multi-Family with 5+ Units	PA, 03003	0.929081	0.0709189	330	11351	330	11351
Single-Family Attached	PA, 03003	0.9142	0.0857998	384	9021	384	9021
Single-Family Detached	PA, 03003	0.976361	0.0236387	1942	44334	1942	44334
