Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vacancy Status	Option=Not Available	Option=Owner	Option=Renter	source_count	source_weight	fallback_count	fallback_weight
Single-Family Detached	TX, 04614	Vacant	1	0	0	18	405	18	405
Mobile Home	TX, 04615	Occupied	0	0.679739	0.320261	10	153	10	153
Mobile Home	TX, 04615	Vacant	1	0	0	1	11	56	1616
Multi-Family with 2 - 4 Units	TX, 04615	Occupied	0	0.0306644	0.969336	66	1761	66	1761
Multi-Family with 2 - 4 Units	TX, 04615	Vacant	1	0	0	13	442	13	442
Multi-Family with 5+ Units	TX, 04615	Occupied	0	0.0313539	0.968646	627	18052	627	18052
Multi-Family with 5+ Units	TX, 04615	Vacant	1	0	0	132	3858	132	3858
Single-Family Attached	TX, 04615	Occupied	0	0.507752	0.492248	72	1290	72	1290
Single-Family Attached	TX, 04615	Vacant	1	0	0	9	223	894	25835
Single-Family Detached	TX, 04615	Occupied	0	0.786225	0.213775	856	14824	856	14824
Single-Family Detached	TX, 04615	Vacant	1	0	0	55	1605	55	1605
Mobile Home	TX, 04616	Occupied	0	0.854197	0.145803	7	170	1335	21289
Mobile Home	TX, 04616	Vacant	1	0	0	1	32	54	1551
Multi-Family with 2 - 4 Units	TX, 04616	Occupied	0	0.0282043	0.971796	116	3191	116	3191
Multi-Family with 2 - 4 Units	TX, 04616	Vacant	1	0	0	8	247	2005	66581
Multi-Family with 5+ Units	TX, 04616	Occupied	0	0.0255715	0.974429	529	15486	529	15486
Multi-Family with 5+ Units	TX, 04616	Vacant	1	0	0	97	2695	97	2695
Single-Family Attached	TX, 04616	Occupied	0	0.528202	0.471798	100	1897	100	1897
Single-Family Attached	TX, 04616	Vacant	1	0	0	10	269	10	269
Single-Family Detached	TX, 04616	Occupied	0	0.856811	0.143189	1328	21119	1328	21119
Single-Family Detached	TX, 04616	Vacant	1	0	0	53	1519	53	1519
Mobile Home	TX, 04617	Occupied	0	0.582857	0.417143	44	1750	44	1750
Mobile Home	TX, 04617	Vacant	1	0	0	3	178	69	2298
Multi-Family with 2 - 4 Units	TX, 04617	Occupied	0	0.0331305	0.96687	49	1479	49	1479
Multi-Family with 2 - 4 Units	TX, 04617	Vacant	1	0	0	11	290	11	290
Multi-Family with 5+ Units	TX, 04617	Occupied	0	0.00335102	0.996649	191	7162	191	7162
Multi-Family with 5+ Units	TX, 04617	Vacant	1	0	0	49	1132	49	1132
Single-Family Attached	TX, 04617	Occupied	0	0.490591	0.509409	33	744	33	744
Single-Family Attached	TX, 04617	Vacant	1	0	0	2	123	894	25835
Single-Family Detached	TX, 04617	Occupied	0	0.723785	0.276215	1117	31251	1117	31251
Single-Family Detached	TX, 04617	Vacant	1	0	0	66	2120	66	2120
Mobile Home	TX, 04618	Occupied	0	0.522321	0.477679	13	224	13	224
Mobile Home	TX, 04618	Vacant	1	0	0	0	0	81	1841
Multi-Family with 2 - 4 Units	TX, 04618	Occupied	0	0.0406056	0.959394	61	1453	61	1453
Multi-Family with 2 - 4 Units	TX, 04618	Vacant	1	0	0	5	112	1380	30260
Multi-Family with 5+ Units	TX, 04618	Occupied	0	0.0316712	0.968329	391	10388	391	10388
Multi-Family with 5+ Units	TX, 04618	Vacant	1	0	0	62	1693	62	1693
Single-Family Attached	TX, 04618	Occupied	0	0.428571	0.571429	30	609	30	609
Single-Family Attached	TX, 04618	Vacant	1	0	0	4	115	391	8495
Single-Family Detached	TX, 04618	Occupied	0	0.731247	0.268753	1153	20450	1153	20450
Single-Family Detached	TX, 04618	Vacant	1	0	0	81	1841	81	1841
Mobile Home	TX, 04619	Occupied	0	0.601117	0.398883	62	1612	62	1612
Mobile Home	TX, 04619	Vacant	1	0	0	5	138	34	1097
Multi-Family with 2 - 4 Units	TX, 04619	Occupied	0	0.0188305	0.981169	41	1009	41	1009
Multi-Family with 2 - 4 Units	TX, 04619	Vacant	1	0	0	3	69	2005	66581
Multi-Family with 5+ Units	TX, 04619	Occupied	0	0.00481886	0.995181	362	11621	362	11621
Multi-Family with 5+ Units	TX, 04619	Vacant	1	0	0	66	1974	66	1974
Single-Family Attached	TX, 04619	Occupied	0	0.424686	0.575314	25	478	25	478
Single-Family Attached	TX, 04619	Vacant	1	0	0	4	126	894	25835
Single-Family Detached	TX, 04619	Occupied	0	0.806973	0.193027	846	19733	846	19733
Single-Family Detached	TX, 04619	Vacant	1	0	0	29	959	29	959
Mobile Home	TX, 04620	Occupied	0	0.868931	0.131069	1	23	1114	25704
Mobile Home	TX, 04620	Vacant	1	0	0	0	0	32	1114
Multi-Family with 2 - 4 Units	TX, 04620	Occupied	0	0.0471771	0.952823	66	1293	66	1293
Multi-Family with 2 - 4 Units	TX, 04620	Vacant	1	0	0	4	127	2005	66581
Multi-Family with 5+ Units	TX, 04620	Occupied	0	0.0118663	0.988134	443	12388	443	12388
Multi-Family with 5+ Units	TX, 04620	Vacant	1	0	0	48	1616	48	1616
Single-Family Attached	TX, 04620	Occupied	0	0.81068	0.18932	38	618	38	618
Single-Family Attached	TX, 04620	Vacant	1	0	0	1	11	894	25835
Single-Family Detached	TX, 04620	Occupied	0	0.868814	0.131186	1113	25681	1113	25681
Single-Family Detached	TX, 04620	Vacant	1	0	0	32	1114	32	1114
Mobile Home	TX, 04621	Occupied	0	0.703146	0.296854	40	731	40	731
Mobile Home	TX, 04621	Vacant	1	0	0	5	99	53	1281
Multi-Family with 2 - 4 Units	TX, 04621	Occupied	0	0.107458	0.892542	57	1247	57	1247
Multi-Family with 2 - 4 Units	TX, 04621	Vacant	1	0	0	5	158	2005	66581
Multi-Family with 5+ Units	TX, 04621	Occupied	0	0.0722164	0.927784	409	10427	409	10427
Multi-Family with 5+ Units	TX, 04621	Vacant	1	0	0	51	2043	51	2043
Single-Family Attached	TX, 04621	Occupied	0	0.726275	0.273725	108	1823	108	1823
Single-Family Attached	TX, 04621	Vacant	1	0	0	4	118	894	25835
Single-Family Detached	TX, 04621	Occupied	0	0.897719	0.102281	1727	26300	1727	26300
Single-Family Detached	TX, 04621	Vacant	1	0	0	48	1182	48	1182
Mobile Home	TX, 04622	Occupied	0	0.508706	0.491294	90	2642	90	2642
Mobile Home	TX, 04622	Vacant	1	0	0	14	494	14	494
Multi-Family with 2 - 4 Units	TX, 04622	Occupied	0	0	1	30	760	30	760
Multi-Family with 2 - 4 Units	TX, 04622	Vacant	1	0	0	4	104	2005	66581
Multi-Family with 5+ Units	TX, 04622	Occupied	0	0.0147147	0.985285	108	3330	108	3330
Multi-Family with 5+ Units	TX, 04622	Vacant	1	0	0	17	886	17	886
Single-Family Attached	TX, 04622	Occupied	0	0.547893	0.452107	24	522	24	522
Single-Family Attached	TX, 04622	Vacant	1	0	0	0	0	894	25835
Single-Family Detached	TX, 04622	Occupied	0	0.872945	0.127055	1260	28413	1260	28413
Single-Family Detached	TX, 04622	Vacant	1	0	0	34	1077	34	1077
Mobile Home	TX, 04623	Occupied	0	0.623886	0.376114	147	3927	147	3927
Mobile Home	TX, 04623	Vacant	1	0	0	20	771	20	771
Multi-Family with 2 - 4 Units	TX, 04623	Occupied	0	0.0409157	0.959084	79	2053	79	2053
Multi-Family with 2 - 4 Units	TX, 04623	Vacant	1	0	0	8	150	2005	66581
Multi-Family with 5+ Units	TX, 04623	Occupied	0	0.016205	0.983795	259	7220	259	7220
Multi-Family with 5+ Units	TX, 04623	Vacant	1	0	0	27	887	27	887
Single-Family Attached	TX, 04623	Occupied	0	0.537415	0.462585	34	588	34	588
Single-Family Attached	TX, 04623	Vacant	1	0	0	9	194	894	25835
Single-Family Detached	TX, 04623	Occupied	0	0.83224	0.16776	1191	24535	1191	24535
Single-Family Detached	TX, 04623	Vacant	1	0	0	72	1799	72	1799
Mobile Home	TX, 04624	Occupied	0	0.741047	0.258953	69	2178	69	2178
Mobile Home	TX, 04624	Vacant	1	0	0	4	235	45	2029
Multi-Family with 2 - 4 Units	TX, 04624	Occupied	0	0.0150376	0.984962	21	665	21	665
Multi-Family with 2 - 4 Units	TX, 04624	Vacant	1	0	0	4	149	2005	66581
Multi-Family with 5+ Units	TX, 04624	Occupied	0	0.0223394	0.977661	91	3223	91	3223
Multi-Family with 5+ Units	TX, 04624	Vacant	1	0	0	25	997	25	997
Single-Family Attached	TX, 04624	Occupied	0	0.519231	0.480769	24	676	24	676
Single-Family Attached	TX, 04624	Vacant	1	0	0	1	57	894	25835
Single-Family Detached	TX, 04624	Occupied	0	0.923569	0.0764314	1639	36608	1639	36608
Single-Family Detached	TX, 04624	Vacant	1	0	0	41	1794	41	1794
Mobile Home	TX, 04625	Occupied	0	0.642895	0.357105	49	1907	49	1907
Mobile Home	TX, 04625	Vacant	1	0	0	3	143	35	1594
Multi-Family with 2 - 4 Units	TX, 04625	Occupied	0	0.0648078	0.935192	31	1327	31	1327
Multi-Family with 2 - 4 Units	TX, 04625	Vacant	1	0	0	2	73	2005	66581
Multi-Family with 5+ Units	TX, 04625	Occupied	0	0	1	193	7600	193	7600
Multi-Family with 5+ Units	TX, 04625	Vacant	1	0	0	14	449	14	449
Single-Family Attached	TX, 04625	Occupied	0	0.761665	0.238335	32	793	32	793
Single-Family Attached	TX, 04625	Vacant	1	0	0	0	0	894	25835
Single-Family Detached	TX, 04625	Occupied	0	0.860718	0.139282	1098	32323	1098	32323
Single-Family Detached	TX, 04625	Vacant	1	0	0	32	1451	32	1451
Mobile Home	TX, 04626	Occupied	0	0.461586	0.538414	42	1614	42	1614
Mobile Home	TX, 04626	Vacant	1	0	0	2	66	31	1025
Multi-Family with 2 - 4 Units	TX, 04626	Occupied	0	0	1	93	2956	93	2956
Multi-Family with 2 - 4 Units	TX, 04626	Vacant	1	0	0	10	355	10	355
Multi-Family with 5+ Units	TX, 04626	Occupied	0	0.00651279	0.993487	634	20882	634	20882
Multi-Family with 5+ Units	TX, 04626	Vacant	1	0	0	150	4150	150	4150
Single-Family Attached	TX, 04626	Occupied	0	0.362998	0.637002	35	1281	35	1281
Single-Family Attached	TX, 04626	Vacant	1	0	0	0	0	894	25835
Single-Family Detached	TX, 04626	Occupied	0	0.763541	0.236459	730	19348	730	19348
Single-Family Detached	TX, 04626	Vacant	1	0	0	29	959	29	959
Mobile Home	TX, 04627	Occupied	0	0.435763	0.564237	39	1331	39	1331
Mobile Home	TX, 04627	Vacant	1	0	0	3	164	47	1957
Multi-Family with 2 - 4 Units	TX, 04627	Occupied	0	0.0672854	0.932715	37	862	37	862
Multi-Family with 2 - 4 Units	TX, 04627	Vacant	1	0	0	3	99	2005	66581
Multi-Family with 5+ Units	TX, 04627	Occupied	0	0.00737145	0.992629	169	5562	169	5562
Multi-Family with 5+ Units	TX, 04627	Vacant	1	0	0	21	874	21	874
Single-Family Attached	TX, 04627	Occupied	0	0.691089	0.308911	27	505	27	505
Single-Family Attached	TX, 04627	Vacant	1	0	0	2	68	894	25835
Single-Family Detached	TX, 04627	Occupied	0	0.78382	0.21618	1419	36960	1419	36960
Single-Family Detached	TX, 04627	Vacant	1	0	0	44	1793	44	1793
Mobile Home	TX, 04628	Occupied	0	0.465986	0.534014	13	294	13	294
Mobile Home	TX, 04628	Vacant	1	0	0	6	335	38	1306
Multi-Family with 2 - 4 Units	TX, 04628	Occupied	0	0.0483298	0.95167	45	1407	45	1407
Multi-Family with 2 - 4 Units	TX, 04628	Vacant	1	0	0	4	149	2005	66581
Multi-Family with 5+ Units	TX, 04628	Occupied	0	0.00951904	0.990481	326	11976	326	11976
Multi-Family with 5+ Units	TX, 04628	Vacant	1	0	0	32	1482	32	1482
Single-Family Attached	TX, 04628	Occupied	0	0.670286	0.329714	51	1013	51	1013
Single-Family Attached	TX, 04628	Vacant	1	0	0	3	46	894	25835
Single-Family Detached	TX, 04628	Occupied	0	0.838942	0.161058	1229	25643	1229	25643
Single-Family Detached	TX, 04628	Vacant	1	0	0	32	971	32	971
Mobile Home	TX, 04629	Occupied	0	0.41087	0.58913	15	460	15	460
Mobile Home	TX, 04629	Vacant	1	0	0	1	60	35	1752
Multi-Family with 2 - 4 Units	TX, 04629	Occupied	0	0.072004	0.927996	54	1986	54	1986
Multi-Family with 2 - 4 Units	TX, 04629	Vacant	1	0	0	3	184	2005	66581
Multi-Family with 5+ Units	TX, 04629	Occupied	0	0.0487164	0.951284	413	14841	413	14841
Multi-Family with 5+ Units	TX, 04629	Vacant	1	0	0	47	2426	47	2426
Single-Family Attached	TX, 04629	Occupied	0	0.567195	0.432805	50	1451	50	1451
Single-Family Attached	TX, 04629	Vacant	1	0	0	3	157	894	25835
Single-Family Detached	TX, 04629	Occupied	0	0.896841	0.103159	1337	28296	1337	28296
Single-Family Detached	TX, 04629	Vacant	1	0	0	34	1692	34	1692
Mobile Home	TX, 04630	Occupied	0	0.640132	0.359868	57	2123	57	2123
Mobile Home	TX, 04630	Vacant	1	0	0	5	267	44	2249
Multi-Family with 2 - 4 Units	TX, 04630	Occupied	0	0	1	16	475	16	475
Multi-Family with 2 - 4 Units	TX, 04630	Vacant	1	0	0	0	0	2005	66581
Multi-Family with 5+ Units	TX, 04630	Occupied	0	0	1	142	4686	142	4686
Multi-Family with 5+ Units	TX, 04630	Vacant	1	0	0	9	366	7828	289770
Single-Family Attached	TX, 04630	Occupied	0	0.391262	0.608738	34	1030	34	1030
Single-Family Attached	TX, 04630	Vacant	1	0	0	2	84	894	25835
Single-Family Detached	TX, 04630	Occupied	0	0.906036	0.093964	1300	40739	1300	40739
Single-Family Detached	TX, 04630	Vacant	1	0	0	39	1982	39	1982
Mobile Home	TX, 04631	Occupied	0	0.434635	0.565365	16	589	16	589
Mobile Home	TX, 04631	Vacant	1	0	0	2	74	32	1464
Multi-Family with 2 - 4 Units	TX, 04631	Occupied	0	0	1	23	602	23	602
Multi-Family with 2 - 4 Units	TX, 04631	Vacant	1	0	0	2	98	2005	66581
Multi-Family with 5+ Units	TX, 04631	Occupied	0	0.0135075	0.986492	264	9032	264	9032
Multi-Family with 5+ Units	TX, 04631	Vacant	1	0	0	23	1235	23	1235
Single-Family Attached	TX, 04631	Occupied	0	0.690889	0.309111	39	922	39	922
Single-Family Attached	TX, 04631	Vacant	1	0	0	2	77	894	25835
Single-Family Detached	TX, 04631	Occupied	0	0.892395	0.107605	1448	33976	1448	33976
Single-Family Detached	TX, 04631	Vacant	1	0	0	30	1390	30	1390
Mobile Home	TX, 04632	Occupied	0	0.585101	0.414899	64	1839	64	1839
Mobile Home	TX, 04632	Vacant	1	0	0	8	283	56	3210
Multi-Family with 2 - 4 Units	TX, 04632	Occupied	0	0.0590824	0.940918	8	304	17560	439759
Multi-Family with 2 - 4 Units	TX, 04632	Vacant	1	0	0	0	0	2005	66581
Multi-Family with 5+ Units	TX, 04632	Occupied	0	0.00287977	0.99712	136	5556	136	5556
Multi-Family with 5+ Units	TX, 04632	Vacant	1	0	0	6	394	7828	289770
Single-Family Attached	TX, 04632	Occupied	0	0.733244	0.266756	18	746	18	746
Single-Family Attached	TX, 04632	Vacant	1	0	0	2	67	894	25835
Single-Family Detached	TX, 04632	Occupied	0	0.878259	0.121741	1616	47527	1616	47527
Single-Family Detached	TX, 04632	Vacant	1	0	0	48	2927	48	2927
Mobile Home	TX, 04633	Occupied	0	0.853195	0.146805	5	258	926	30251
Mobile Home	TX, 04633	Vacant	1	0	0	2	120	22	1390
Multi-Family with 2 - 4 Units	TX, 04633	Occupied	0	0.0590824	0.940918	5	138	17560	439759
Multi-Family with 2 - 4 Units	TX, 04633	Vacant	1	0	0	0	0	2005	66581
Multi-Family with 5+ Units	TX, 04633	Occupied	0	0.00533858	0.994661	72	3559	72	3559
Multi-Family with 5+ Units	TX, 04633	Vacant	1	0	0	9	624	7828	289770
Single-Family Attached	TX, 04633	Occupied	0	0.68231	0.31769	10	554	10	554
Single-Family Attached	TX, 04633	Vacant	1	0	0	0	0	894	25835
Single-Family Detached	TX, 04633	Occupied	0	0.856	0.144	921	29993	921	29993
Single-Family Detached	TX, 04633	Vacant	1	0	0	20	1270	20	1270
Mobile Home	TX, 04634	Occupied	0	0.799632	0.200368	13	544	13	544
Mobile Home	TX, 04634	Vacant	1	0	0	1	44	23	1060
Multi-Family with 2 - 4 Units	TX, 04634	Occupied	0	0.0537482	0.946252	16	707	16	707
Multi-Family with 2 - 4 Units	TX, 04634	Vacant	1	0	0	0	0	2005	66581
Multi-Family with 5+ Units	TX, 04634	Occupied	0	0.016621	0.983379	105	5475	105	5475
Multi-Family with 5+ Units	TX, 04634	Vacant	1	0	0	10	505	10	505
Single-Family Attached	TX, 04634	Occupied	0	0.424386	0.575614	29	1263	29	1263
Single-Family Attached	TX, 04634	Vacant	1	0	0	2	114	894	25835
Single-Family Detached	TX, 04634	Occupied	0	0.818176	0.181824	881	28786	881	28786
Single-Family Detached	TX, 04634	Vacant	1	0	0	22	1016	22	1016
Mobile Home	TX, 04635	Occupied	0	0.850318	0.149682	5	125	1331	28487
Mobile Home	TX, 04635	Vacant	1	0	0	0	0	35	1495
Multi-Family with 2 - 4 Units	TX, 04635	Occupied	0	0.0243337	0.975666	27	863	27	863
Multi-Family with 2 - 4 Units	TX, 04635	Vacant	1	0	0	2	63	2005	66581
Multi-Family with 5+ Units	TX, 04635	Occupied	0	0.00410088	0.995899	313	9754	313	9754
Multi-Family with 5+ Units	TX, 04635	Vacant	1	0	0	43	1498	43	1498
Single-Family Attached	TX, 04635	Occupied	0	0.732203	0.267797	26	590	26	590
Single-Family Attached	TX, 04635	Vacant	1	0	0	1	32	894	25835
Single-Family Detached	TX, 04635	Occupied	0	0.851033	0.148967	1326	28362	1326	28362
Single-Family Detached	TX, 04635	Vacant	1	0	0	35	1495	35	1495
Mobile Home	TX, 04636	Occupied	0	0.414264	0.585736	13	659	13	659
Mobile Home	TX, 04636	Vacant	1	0	0	0	0	52	2080
Multi-Family with 2 - 4 Units	TX, 04636	Occupied	0	0.0303163	0.969684	63	2276	63	2276
Multi-Family with 2 - 4 Units	TX, 04636	Vacant	1	0	0	7	292	2005	66581
Multi-Family with 5+ Units	TX, 04636	Occupied	0	0.044013	0.955987	424	15041	424	15041
Multi-Family with 5+ Units	TX, 04636	Vacant	1	0	0	66	3238	66	3238
Single-Family Attached	TX, 04636	Occupied	0	0.779391	0.220609	171	3513	171	3513
Single-Family Attached	TX, 04636	Vacant	1	0	0	11	480	11	480
Single-Family Detached	TX, 04636	Occupied	0	0.884796	0.115204	1137	21909	1137	21909
Single-Family Detached	TX, 04636	Vacant	1	0	0	52	2080	52	2080
Mobile Home	TX, 04637	Occupied	0	0.804691	0.195309	8	220	833	17352
Mobile Home	TX, 04637	Vacant	1	0	0	1	29	34	1091
Multi-Family with 2 - 4 Units	TX, 04637	Occupied	0	0.0645624	0.935438	125	4182	125	4182
Multi-Family with 2 - 4 Units	TX, 04637	Vacant	1	0	0	8	407	2005	66581
Multi-Family with 5+ Units	TX, 04637	Occupied	0	0.0292091	0.970791	726	27286	726	27286
Multi-Family with 5+ Units	TX, 04637	Vacant	1	0	0	113	4959	113	4959
Single-Family Attached	TX, 04637	Occupied	0	0.695853	0.304147	142	2821	142	2821
Single-Family Attached	TX, 04637	Vacant	1	0	0	6	246	894	25835
Single-Family Detached	TX, 04637	Occupied	0	0.809538	0.190462	825	17132	825	17132
Single-Family Detached	TX, 04637	Vacant	1	0	0	33	1062	33	1062
Mobile Home	TX, 04638	Occupied	0	0.55814	0.44186	10	215	10	215
Mobile Home	TX, 04638	Vacant	1	0	0	0	0	17	450
Multi-Family with 2 - 4 Units	TX, 04638	Occupied	0	0.0681095	0.931891	67	1571	67	1571
Multi-Family with 2 - 4 Units	TX, 04638	Vacant	1	0	0	4	150	2005	66581
Multi-Family with 5+ Units	TX, 04638	Occupied	0	0.0277245	0.972276	425	14067	425	14067
Multi-Family with 5+ Units	TX, 04638	Vacant	1	0	0	45	1337	45	1337
Single-Family Attached	TX, 04638	Occupied	0	0.590495	0.409505	139	2967	139	2967
Single-Family Attached	TX, 04638	Vacant	1	0	0	7	156	894	25835
Single-Family Detached	TX, 04638	Occupied	0	0.762363	0.237637	700	17047	700	17047
Single-Family Detached	TX, 04638	Vacant	1	0	0	17	450	17	450
Mobile Home	TX, 04701	Occupied	0	0.704773	0.295227	141	3289	141	3289
Mobile Home	TX, 04701	Vacant	1	0	0	34	944	34	944
Multi-Family with 2 - 4 Units	TX, 04701	Occupied	0	0.0544328	0.945567	236	3711	236	3711
Multi-Family with 2 - 4 Units	TX, 04701	Vacant	1	0	0	64	1537	64	1537
Multi-Family with 5+ Units	TX, 04701	Occupied	0	0.0444444	0.955556	671	11475	671	11475
Multi-Family with 5+ Units	TX, 04701	Vacant	1	0	0	192	4553	192	4553
Single-Family Attached	TX, 04701	Occupied	0	0.548528	0.451472	77	917	77	917
Single-Family Attached	TX, 04701	Vacant	1	0	0	10	202	10	202
Single-Family Detached	TX, 04701	Occupied	0	0.782965	0.217035	2735	43758	2735	43758
Single-Family Detached	TX, 04701	Vacant	1	0	0	622	14267	622	14267
Mobile Home	TX, 04702	Occupied	0	0.634422	0.365578	82	3184	82	3184
Mobile Home	TX, 04702	Vacant	1	0	0	4	148	71	2439
Multi-Family with 2 - 4 Units	TX, 04702	Occupied	0	0.101253	0.898747	38	958	38	958
Multi-Family with 2 - 4 Units	TX, 04702	Vacant	1	0	0	5	140	2005	66581
Multi-Family with 5+ Units	TX, 04702	Occupied	0	0.0284108	0.971589	197	6758	197	6758
Multi-Family with 5+ Units	TX, 04702	Vacant	1	0	0	10	842	10	842
Single-Family Attached	TX, 04702	Occupied	0	0.569083	0.430917	47	731	47	731
Single-Family Attached	TX, 04702	Vacant	1	0	0	2	82	894	25835
Single-Family Detached	TX, 04702	Occupied	0	0.895473	0.104527	1855	46658	1855	46658
Single-Family Detached	TX, 04702	Vacant	1	0	0	67	2291	67	2291
Mobile Home	TX, 04801	Occupied	0	0.548173	0.451827	37	2107	37	2107
Mobile Home	TX, 04801	Vacant	1	0	0	4	333	41	2135
Multi-Family with 2 - 4 Units	TX, 04801	Occupied	0	0	1	12	358	12	358
Multi-Family with 2 - 4 Units	TX, 04801	Vacant	1	0	0	0	0	2005	66581
Multi-Family with 5+ Units	TX, 04801	Occupied	0	0	1	136	7621	136	7621
Multi-Family with 5+ Units	TX, 04801	Vacant	1	0	0	8	726	7828	289770
Single-Family Attached	TX, 04801	Occupied	0	0.776801	0.223199	19	569	19	569
Single-Family Attached	TX, 04801	Vacant	1	0	0	0	0	894	25835
Single-Family Detached	TX, 04801	Occupied	0	0.897299	0.102701	985	34284	985	34284
Single-Family Detached	TX, 04801	Vacant	1	0	0	37	1802	37	1802
Mobile Home	TX, 04802	Occupied	0	0.722551	0.277449	321	7277	321	7277
Mobile Home	TX, 04802	Vacant	1	0	0	40	1145	40	1145
Multi-Family with 2 - 4 Units	TX, 04802	Occupied	0	0.00786517	0.992135	47	890	47	890
Multi-Family with 2 - 4 Units	TX, 04802	Vacant	1	0	0	8	214	2005	66581
Multi-Family with 5+ Units	TX, 04802	Occupied	0	0.00286533	0.997135	154	4537	154	4537
Multi-Family with 5+ Units	TX, 04802	Vacant	1	0	0	11	506	11	506
Single-Family Attached	TX, 04802	Occupied	0	0.517375	0.482625	22	259	22	259
Single-Family Attached	TX, 04802	Vacant	1	0	0	2	52	894	25835
Single-Family Detached	TX, 04802	Occupied	0	0.898308	0.101692	1372	26413	1372	26413
Single-Family Detached	TX, 04802	Vacant	1	0	0	106	2923	106	2923
Mobile Home	TX, 04803	Occupied	0	0.771326	0.228674	198	3341	198	3341
Mobile Home	TX, 04803	Vacant	1	0	0	46	854	46	854
Multi-Family with 2 - 4 Units	TX, 04803	Occupied	0	0	1	35	884	35	884
Multi-Family with 2 - 4 Units	TX, 04803	Vacant	1	0	0	7	220	2005	66581
Multi-Family with 5+ Units	TX, 04803	Occupied	0	0.00940439	0.990596	190	5742	190	5742
Multi-Family with 5+ Units	TX, 04803	Vacant	1	0	0	55	1994	55	1994
Single-Family Attached	TX, 04803	Occupied	0	0.730556	0.269444	20	360	20	360
Single-Family Attached	TX, 04803	Vacant	1	0	0	2	18	894	25835
Single-Family Detached	TX, 04803	Occupied	0	0.843676	0.156324	1686	26880	1686	26880
Single-Family Detached	TX, 04803	Vacant	1	0	0	223	3976	223	3976
Mobile Home	TX, 04901	Occupied	0	0.520992	0.479008	17	524	17	524
Mobile Home	TX, 04901	Vacant	1	0	0	0	0	40	1643
Multi-Family with 2 - 4 Units	TX, 04901	Occupied	0	0.0590824	0.940918	7	148	17560	439759
Multi-Family with 2 - 4 Units	TX, 04901	Vacant	1	0	0	0	0	2005	66581
Multi-Family with 5+ Units	TX, 04901	Occupied	0	0.0414508	0.958549	53	1544	53	1544
Multi-Family with 5+ Units	TX, 04901	Vacant	1	0	0	3	157	7828	289770
Single-Family Attached	TX, 04901	Occupied	0	0.701248	0.298752	70	1523	70	1523
Single-Family Attached	TX, 04901	Vacant	1	0	0	3	82	894	25835
Single-Family Detached	TX, 04901	Occupied	0	0.839736	0.160264	1514	32983	1514	32983
Single-Family Detached	TX, 04901	Vacant	1	0	0	40	1643	40	1643
Mobile Home	TX, 04902	Occupied	0	0.618349	0.381651	17	545	17	545
Mobile Home	TX, 04902	Vacant	1	0	0	2	82	33	1201
Multi-Family with 2 - 4 Units	TX, 04902	Occupied	0	0.27845	0.72155	19	413	19	413
Multi-Family with 2 - 4 Units	TX, 04902	Vacant	1	0	0	0	0	2005	66581
Multi-Family with 5+ Units	TX, 04902	Occupied	0	0.0180654	0.981935	342	9687	342	9687
Multi-Family with 5+ Units	TX, 04902	Vacant	1	0	0	22	962	22	962
Single-Family Attached	TX, 04902	Occupied	0	0.601533	0.398467	58	1305	58	1305
Single-Family Attached	TX, 04902	Vacant	1	0	0	7	279	894	25835
Single-Family Detached	TX, 04902	Occupied	0	0.873773	0.126227	1630	35262	1630	35262
Single-Family Detached	TX, 04902	Vacant	1	0	0	31	1119	31	1119
Mobile Home	TX, 04903	Occupied	0	0.613774	0.386226	62	1815	62	1815
Mobile Home	TX, 04903	Vacant	1	0	0	4	148	41	1622
Multi-Family with 2 - 4 Units	TX, 04903	Occupied	0	0.0262431	0.973757	29	724	29	724
Multi-Family with 2 - 4 Units	TX, 04903	Vacant	1	0	0	7	164	2005	66581
Multi-Family with 5+ Units	TX, 04903	Occupied	0	0	1	141	4767	141	4767
Multi-Family with 5+ Units	TX, 04903	Vacant	1	0	0	12	615	12	615
Single-Family Attached	TX, 04903	Occupied	0	0.704492	0.295508	21	423	21	423
Single-Family Attached	TX, 04903	Vacant	1	0	0	2	47	894	25835
Single-Family Detached	TX, 04903	Occupied	0	0.863831	0.136169	1231	28751	1231	28751
Single-Family Detached	TX, 04903	Vacant	1	0	0	37	1474	37	1474
Mobile Home	TX, 04904	Occupied	0	0.861079	0.138921	7	211	1225	42722
Mobile Home	TX, 04904	Vacant	1	0	0	0	0	32	1772
Multi-Family with 2 - 4 Units	TX, 04904	Occupied	0	0.0590824	0.940918	6	268	17560	439759
Multi-Family with 2 - 4 Units	TX, 04904	Vacant	1	0	0	0	0	2005	66581
Multi-Family with 5+ Units	TX, 04904	Occupied	0	0	1	93	3988	93	3988
Multi-Family with 5+ Units	TX, 04904	Vacant	1	0	0	7	401	7828	289770
Single-Family Attached	TX, 04904	Occupied	0	0.624071	0.375929	23	673	23	673
Single-Family Attached	TX, 04904	Vacant	1	0	0	1	21	894	25835
Single-Family Detached	TX, 04904	Occupied	0	0.861424	0.138576	1218	42511	1218	42511
Single-Family Detached	TX, 04904	Vacant	1	0	0	32	1772	32	1772
Mobile Home	TX, 04905	Occupied	0	0.592422	0.407578	147	3906	147	3906
Mobile Home	TX, 04905	Vacant	1	0	0	23	718	23	718
