	field	enumeration	enumeration_description
13192	in.weather_file_city	Wichita Falls Sheps	Location of weather station from specific weather file used for the building energy simulation
13193	in.weather_file_city	Wichita Mid Contine	Location of weather station from specific weather file used for the building energy simulation
13194	in.weather_file_city	Wilkes Barre Scrant	Location of weather station from specific weather file used for the building energy simulation
13195	in.weather_file_city	William R Fairchild	Location of weather station from specific weather file used for the building energy simulation
13196	in.weather_file_city	Williamson Co Rgnl	Location of weather station from specific weather file used for the building energy simulation
13197	in.weather_file_city	Williamsport Lycomi	Location of weather station from specific weather file used for the building energy simulation
13198	in.weather_file_city	Williston Sloulin F	Location of weather station from specific weather file used for the building energy simulation
13199	in.weather_file_city	Willmar Rco	Location of weather station from specific weather file used for the building energy simulation
13200	in.weather_file_city	Willow Grove Nas Jr	Location of weather station from specific weather file used for the building energy simulation
13201	in.weather_file_city	Wilmington	Location of weather station from specific weather file used for the building energy simulation
13202	in.weather_file_city	Wilmington New Cast	Location of weather station from specific weather file used for the building energy simulation
13203	in.weather_file_city	Winchester Rgnl	Location of weather station from specific weather file used for the building energy simulation
13204	in.weather_file_city	Winder Barrow	Location of weather station from specific weather file used for the building energy simulation
13205	in.weather_file_city	Windham Airport	Location of weather station from specific weather file used for the building energy simulation
13206	in.weather_file_city	Windom Muni	Location of weather station from specific weather file used for the building energy simulation
13207	in.weather_file_city	Window Rock	Location of weather station from specific weather file used for the building energy simulation
13208	in.weather_file_city	Winkler Co	Location of weather station from specific weather file used for the building energy simulation
13209	in.weather_file_city	Winnemucca Muni	Location of weather station from specific weather file used for the building energy simulation
13210	in.weather_file_city	Winner	Location of weather station from specific weather file used for the building energy simulation
13211	in.weather_file_city	Winona Muni Conrad F	Location of weather station from specific weather file used for the building energy simulation
13212	in.weather_file_city	Winslow Aut	Location of weather station from specific weather file used for the building energy simulation
13213	in.weather_file_city	Wiscasset	Location of weather station from specific weather file used for the building energy simulation
13214	in.weather_file_city	Wittman Rgnl	Location of weather station from specific weather file used for the building energy simulation
13215	in.weather_file_city	Worcester Regional Arpt	Location of weather station from specific weather file used for the building energy simulation
13216	in.weather_file_city	Worland Muni	Location of weather station from specific weather file used for the building energy simulation
13217	in.weather_file_city	Worthington Muni	Location of weather station from specific weather file used for the building energy simulation
13218	in.weather_file_city	Yakima Air Terminal	Location of weather station from specific weather file used for the building energy simulation
13219	in.weather_file_city	Yeager	Location of weather station from specific weather file used for the building energy simulation
13220	in.weather_file_city	York	Location of weather station from specific weather file used for the building energy simulation
13221	in.weather_file_city	Youngstown Muni	Location of weather station from specific weather file used for the building energy simulation
13222	in.weather_file_city	Yuba Co	Location of weather station from specific weather file used for the building energy simulation
13223	in.weather_file_city	Yuma Intl Airport	Location of weather station from specific weather file used for the building energy simulation
13224	in.weather_file_city	Zanesville Muni	Location of weather station from specific weather file used for the building energy simulation
13225	in.weather_file_latitude	24.73	Weather station latitude from weather file used for the building energy simulation
13226	in.weather_file_latitude	25.82	Weather station latitude from weather file used for the building energy simulation
13227	in.weather_file_latitude	25.91	Weather station latitude from weather file used for the building energy simulation
13228	in.weather_file_latitude	26.15	Weather station latitude from weather file used for the building energy simulation
13229	in.weather_file_latitude	26.18	Weather station latitude from weather file used for the building energy simulation
13230	in.weather_file_latitude	26.2	Weather station latitude from weather file used for the building energy simulation
13231	in.weather_file_latitude	26.23	Weather station latitude from weather file used for the building energy simulation
13232	in.weather_file_latitude	26.54	Weather station latitude from weather file used for the building energy simulation
13233	in.weather_file_latitude	26.59	Weather station latitude from weather file used for the building energy simulation
13234	in.weather_file_latitude	26.69	Weather station latitude from weather file used for the building energy simulation
13235	in.weather_file_latitude	26.92	Weather station latitude from weather file used for the building energy simulation
13236	in.weather_file_latitude	27.07	Weather station latitude from weather file used for the building energy simulation
13237	in.weather_file_latitude	27.4	Weather station latitude from weather file used for the building energy simulation
13238	in.weather_file_latitude	27.5	Weather station latitude from weather file used for the building energy simulation
13239	in.weather_file_latitude	27.55	Weather station latitude from weather file used for the building energy simulation
13240	in.weather_file_latitude	27.66	Weather station latitude from weather file used for the building energy simulation
13241	in.weather_file_latitude	27.74	Weather station latitude from weather file used for the building energy simulation
13242	in.weather_file_latitude	27.77	Weather station latitude from weather file used for the building energy simulation
13243	in.weather_file_latitude	27.91	Weather station latitude from weather file used for the building energy simulation
13244	in.weather_file_latitude	27.96	Weather station latitude from weather file used for the building energy simulation
13245	in.weather_file_latitude	28.08	Weather station latitude from weather file used for the building energy simulation
13246	in.weather_file_latitude	28.1	Weather station latitude from weather file used for the building energy simulation
13247	in.weather_file_latitude	28.37	Weather station latitude from weather file used for the building energy simulation
13248	in.weather_file_latitude	28.43	Weather station latitude from weather file used for the building energy simulation
13249	in.weather_file_latitude	28.46	Weather station latitude from weather file used for the building energy simulation
13250	in.weather_file_latitude	28.47	Weather station latitude from weather file used for the building energy simulation
13251	in.weather_file_latitude	28.55	Weather station latitude from weather file used for the building energy simulation
13252	in.weather_file_latitude	28.73	Weather station latitude from weather file used for the building energy simulation
13253	in.weather_file_latitude	28.78	Weather station latitude from weather file used for the building energy simulation
13254	in.weather_file_latitude	28.82	Weather station latitude from weather file used for the building energy simulation
13255	in.weather_file_latitude	28.86	Weather station latitude from weather file used for the building energy simulation
13256	in.weather_file_latitude	29.11	Weather station latitude from weather file used for the building energy simulation
13257	in.weather_file_latitude	29.17	Weather station latitude from weather file used for the building energy simulation
13258	in.weather_file_latitude	29.18	Weather station latitude from weather file used for the building energy simulation
13259	in.weather_file_latitude	29.27	Weather station latitude from weather file used for the building energy simulation
13260	in.weather_file_latitude	29.34	Weather station latitude from weather file used for the building energy simulation
13261	in.weather_file_latitude	29.36	Weather station latitude from weather file used for the building energy simulation
13262	in.weather_file_latitude	29.37	Weather station latitude from weather file used for the building energy simulation
13263	in.weather_file_latitude	29.53	Weather station latitude from weather file used for the building energy simulation
13264	in.weather_file_latitude	29.55	Weather station latitude from weather file used for the building energy simulation
13265	in.weather_file_latitude	29.61	Weather station latitude from weather file used for the building energy simulation
13266	in.weather_file_latitude	29.62	Weather station latitude from weather file used for the building energy simulation
13267	in.weather_file_latitude	29.69	Weather station latitude from weather file used for the building energy simulation
13268	in.weather_file_latitude	29.71	Weather station latitude from weather file used for the building energy simulation
13269	in.weather_file_latitude	29.73	Weather station latitude from weather file used for the building energy simulation
13270	in.weather_file_latitude	29.83	Weather station latitude from weather file used for the building energy simulation
13271	in.weather_file_latitude	29.87	Weather station latitude from weather file used for the building energy simulation
13272	in.weather_file_latitude	29.89	Weather station latitude from weather file used for the building energy simulation
13273	in.weather_file_latitude	29.91	Weather station latitude from weather file used for the building energy simulation
13274	in.weather_file_latitude	29.95	Weather station latitude from weather file used for the building energy simulation
13275	in.weather_file_latitude	29.99	Weather station latitude from weather file used for the building energy simulation
13276	in.weather_file_latitude	30.04	Weather station latitude from weather file used for the building energy simulation
13277	in.weather_file_latitude	30.06	Weather station latitude from weather file used for the building energy simulation
13278	in.weather_file_latitude	30.07	Weather station latitude from weather file used for the building energy simulation
13279	in.weather_file_latitude	30.13	Weather station latitude from weather file used for the building energy simulation
13280	in.weather_file_latitude	30.18	Weather station latitude from weather file used for the building energy simulation
13281	in.weather_file_latitude	30.21	Weather station latitude from weather file used for the building energy simulation
13282	in.weather_file_latitude	30.22	Weather station latitude from weather file used for the building energy simulation
13283	in.weather_file_latitude	30.23	Weather station latitude from weather file used for the building energy simulation
13284	in.weather_file_latitude	30.32	Weather station latitude from weather file used for the building energy simulation
13285	in.weather_file_latitude	30.35	Weather station latitude from weather file used for the building energy simulation
13286	in.weather_file_latitude	30.37	Weather station latitude from weather file used for the building energy simulation
13287	in.weather_file_latitude	30.39	Weather station latitude from weather file used for the building energy simulation
13288	in.weather_file_latitude	30.4	Weather station latitude from weather file used for the building energy simulation
13289	in.weather_file_latitude	30.41	Weather station latitude from weather file used for the building energy simulation
13290	in.weather_file_latitude	30.46	Weather station latitude from weather file used for the building energy simulation
13291	in.weather_file_latitude	30.47	Weather station latitude from weather file used for the building energy simulation
13292	in.weather_file_latitude	30.48	Weather station latitude from weather file used for the building energy simulation
13293	in.weather_file_latitude	30.49	Weather station latitude from weather file used for the building energy simulation
13294	in.weather_file_latitude	30.51	Weather station latitude from weather file used for the building energy simulation
13295	in.weather_file_latitude	30.54	Weather station latitude from weather file used for the building energy simulation
13296	in.weather_file_latitude	30.59	Weather station latitude from weather file used for the building energy simulation
13297	in.weather_file_latitude	30.63	Weather station latitude from weather file used for the building energy simulation
13298	in.weather_file_latitude	30.68	Weather station latitude from weather file used for the building energy simulation
13299	in.weather_file_latitude	30.69	Weather station latitude from weather file used for the building energy simulation
13300	in.weather_file_latitude	30.72	Weather station latitude from weather file used for the building energy simulation
13301	in.weather_file_latitude	30.74	Weather station latitude from weather file used for the building energy simulation
13302	in.weather_file_latitude	30.75	Weather station latitude from weather file used for the building energy simulation
13303	in.weather_file_latitude	30.78	Weather station latitude from weather file used for the building energy simulation
13304	in.weather_file_latitude	30.84	Weather station latitude from weather file used for the building energy simulation
13305	in.weather_file_latitude	30.92	Weather station latitude from weather file used for the building energy simulation
13306	in.weather_file_latitude	30.97	Weather station latitude from weather file used for the building energy simulation
13307	in.weather_file_latitude	31.05	Weather station latitude from weather file used for the building energy simulation
13308	in.weather_file_latitude	31.07	Weather station latitude from weather file used for the building energy simulation
13309	in.weather_file_latitude	31.09	Weather station latitude from weather file used for the building energy simulation
13310	in.weather_file_latitude	31.15	Weather station latitude from weather file used for the building energy simulation
13311	in.weather_file_latitude	31.18	Weather station latitude from weather file used for the building energy simulation
13312	in.weather_file_latitude	31.23	Weather station latitude from weather file used for the building energy simulation
13313	in.weather_file_latitude	31.25	Weather station latitude from weather file used for the building energy simulation
13314	in.weather_file_latitude	31.26	Weather station latitude from weather file used for the building energy simulation
13315	in.weather_file_latitude	31.28	Weather station latitude from weather file used for the building energy simulation
13316	in.weather_file_latitude	31.32	Weather station latitude from weather file used for the building energy simulation
13317	in.weather_file_latitude	31.34	Weather station latitude from weather file used for the building energy simulation
13318	in.weather_file_latitude	31.35	Weather station latitude from weather file used for the building energy simulation
13319	in.weather_file_latitude	31.4	Weather station latitude from weather file used for the building energy simulation
13320	in.weather_file_latitude	31.42	Weather station latitude from weather file used for the building energy simulation
13321	in.weather_file_latitude	31.47	Weather station latitude from weather file used for the building energy simulation
13322	in.weather_file_latitude	31.49	Weather station latitude from weather file used for the building energy simulation
13323	in.weather_file_latitude	31.54	Weather station latitude from weather file used for the building energy simulation
13324	in.weather_file_latitude	31.58	Weather station latitude from weather file used for the building energy simulation
13325	in.weather_file_latitude	31.61	Weather station latitude from weather file used for the building energy simulation
13326	in.weather_file_latitude	31.78	Weather station latitude from weather file used for the building energy simulation
13327	in.weather_file_latitude	31.81	Weather station latitude from weather file used for the building energy simulation
13328	in.weather_file_latitude	31.83	Weather station latitude from weather file used for the building energy simulation
13329	in.weather_file_latitude	31.92	Weather station latitude from weather file used for the building energy simulation
13330	in.weather_file_latitude	31.93	Weather station latitude from weather file used for the building energy simulation
13331	in.weather_file_latitude	32.01	Weather station latitude from weather file used for the building energy simulation
13332	in.weather_file_latitude	32.03	Weather station latitude from weather file used for the building energy simulation
13333	in.weather_file_latitude	32.12	Weather station latitude from weather file used for the building energy simulation
13334	in.weather_file_latitude	32.17	Weather station latitude from weather file used for the building energy simulation
13335	in.weather_file_latitude	32.22	Weather station latitude from weather file used for the building energy simulation
13336	in.weather_file_latitude	32.26	Weather station latitude from weather file used for the building energy simulation
13337	in.weather_file_latitude	32.3	Weather station latitude from weather file used for the building energy simulation
13338	in.weather_file_latitude	32.32	Weather station latitude from weather file used for the building energy simulation
13339	in.weather_file_latitude	32.33	Weather station latitude from weather file used for the building energy simulation
13340	in.weather_file_latitude	32.34	Weather station latitude from weather file used for the building energy simulation
13341	in.weather_file_latitude	32.35	Weather station latitude from weather file used for the building energy simulation
13342	in.weather_file_latitude	32.38	Weather station latitude from weather file used for the building energy simulation
13343	in.weather_file_latitude	32.39	Weather station latitude from weather file used for the building energy simulation
13344	in.weather_file_latitude	32.41	Weather station latitude from weather file used for the building energy simulation
13345	in.weather_file_latitude	32.43	Weather station latitude from weather file used for the building energy simulation
13346	in.weather_file_latitude	32.45	Weather station latitude from weather file used for the building energy simulation
13347	in.weather_file_latitude	32.48	Weather station latitude from weather file used for the building energy simulation
13348	in.weather_file_latitude	32.5	Weather station latitude from weather file used for the building energy simulation
13349	in.weather_file_latitude	32.51	Weather station latitude from weather file used for the building energy simulation
13350	in.weather_file_latitude	32.52	Weather station latitude from weather file used for the building energy simulation
13351	in.weather_file_latitude	32.55	Weather station latitude from weather file used for the building energy simulation
13352	in.weather_file_latitude	32.63	Weather station latitude from weather file used for the building energy simulation
13353	in.weather_file_latitude	32.65	Weather station latitude from weather file used for the building energy simulation
13354	in.weather_file_latitude	32.66	Weather station latitude from weather file used for the building energy simulation
13355	in.weather_file_latitude	32.69	Weather station latitude from weather file used for the building energy simulation
13356	in.weather_file_latitude	32.71	Weather station latitude from weather file used for the building energy simulation
13357	in.weather_file_latitude	32.73	Weather station latitude from weather file used for the building energy simulation
13358	in.weather_file_latitude	32.78	Weather station latitude from weather file used for the building energy simulation
13359	in.weather_file_latitude	32.82	Weather station latitude from weather file used for the building energy simulation
13360	in.weather_file_latitude	32.83	Weather station latitude from weather file used for the building energy simulation
13361	in.weather_file_latitude	32.84	Weather station latitude from weather file used for the building energy simulation
13362	in.weather_file_latitude	32.85	Weather station latitude from weather file used for the building energy simulation
13363	in.weather_file_latitude	32.86	Weather station latitude from weather file used for the building energy simulation
13364	in.weather_file_latitude	32.87	Weather station latitude from weather file used for the building energy simulation
13365	in.weather_file_latitude	32.9	Weather station latitude from weather file used for the building energy simulation
13366	in.weather_file_latitude	32.97	Weather station latitude from weather file used for the building energy simulation
13367	in.weather_file_latitude	33.18	Weather station latitude from weather file used for the building energy simulation
13368	in.weather_file_latitude	33.21	Weather station latitude from weather file used for the building energy simulation
13369	in.weather_file_latitude	33.22	Weather station latitude from weather file used for the building energy simulation
13370	in.weather_file_latitude	33.31	Weather station latitude from weather file used for the building energy simulation
13371	in.weather_file_latitude	33.36	Weather station latitude from weather file used for the building energy simulation
13372	in.weather_file_latitude	33.37	Weather station latitude from weather file used for the building energy simulation
13373	in.weather_file_latitude	33.44	Weather station latitude from weather file used for the building energy simulation
13374	in.weather_file_latitude	33.45	Weather station latitude from weather file used for the building energy simulation
13375	in.weather_file_latitude	33.46	Weather station latitude from weather file used for the building energy simulation
13376	in.weather_file_latitude	33.47	Weather station latitude from weather file used for the building energy simulation
13377	in.weather_file_latitude	33.48	Weather station latitude from weather file used for the building energy simulation
13378	in.weather_file_latitude	33.5	Weather station latitude from weather file used for the building energy simulation
13379	in.weather_file_latitude	33.56	Weather station latitude from weather file used for the building energy simulation
13380	in.weather_file_latitude	33.59	Weather station latitude from weather file used for the building energy simulation
13381	in.weather_file_latitude	33.62	Weather station latitude from weather file used for the building energy simulation
13382	in.weather_file_latitude	33.64	Weather station latitude from weather file used for the building energy simulation
13383	in.weather_file_latitude	33.67	Weather station latitude from weather file used for the building energy simulation
13384	in.weather_file_latitude	33.68	Weather station latitude from weather file used for the building energy simulation
13385	in.weather_file_latitude	33.78	Weather station latitude from weather file used for the building energy simulation
13386	in.weather_file_latitude	33.88	Weather station latitude from weather file used for the building energy simulation
13387	in.weather_file_latitude	33.9	Weather station latitude from weather file used for the building energy simulation
13388	in.weather_file_latitude	33.92	Weather station latitude from weather file used for the building energy simulation
13389	in.weather_file_latitude	33.94	Weather station latitude from weather file used for the building energy simulation
13390	in.weather_file_latitude	33.95	Weather station latitude from weather file used for the building energy simulation
13391	in.weather_file_latitude	33.97	Weather station latitude from weather file used for the building energy simulation
13392	in.weather_file_latitude	33.98	Weather station latitude from weather file used for the building energy simulation
13393	in.weather_file_latitude	34.03	Weather station latitude from weather file used for the building energy simulation
13394	in.weather_file_latitude	34.05	Weather station latitude from weather file used for the building energy simulation
13395	in.weather_file_latitude	34.12	Weather station latitude from weather file used for the building energy simulation
13396	in.weather_file_latitude	34.15	Weather station latitude from weather file used for the building energy simulation
13397	in.weather_file_latitude	34.18	Weather station latitude from weather file used for the building energy simulation
13398	in.weather_file_latitude	34.19	Weather station latitude from weather file used for the building energy simulation
13399	in.weather_file_latitude	34.22	Weather station latitude from weather file used for the building energy simulation
13400	in.weather_file_latitude	34.25	Weather station latitude from weather file used for the building energy simulation
13401	in.weather_file_latitude	34.26	Weather station latitude from weather file used for the building energy simulation
13402	in.weather_file_latitude	34.27	Weather station latitude from weather file used for the building energy simulation
13403	in.weather_file_latitude	34.35	Weather station latitude from weather file used for the building energy simulation
13404	in.weather_file_latitude	34.38	Weather station latitude from weather file used for the building energy simulation
13405	in.weather_file_latitude	34.43	Weather station latitude from weather file used for the building energy simulation
13406	in.weather_file_latitude	34.48	Weather station latitude from weather file used for the building energy simulation
13407	in.weather_file_latitude	34.5	Weather station latitude from weather file used for the building energy simulation
13408	in.weather_file_latitude	34.52	Weather station latitude from weather file used for the building energy simulation
13409	in.weather_file_latitude	34.55	Weather station latitude from weather file used for the building energy simulation
13410	in.weather_file_latitude	34.57	Weather station latitude from weather file used for the building energy simulation
13411	in.weather_file_latitude	34.6	Weather station latitude from weather file used for the building energy simulation
13412	in.weather_file_latitude	34.64	Weather station latitude from weather file used for the building energy simulation
13413	in.weather_file_latitude	34.65	Weather station latitude from weather file used for the building energy simulation
13414	in.weather_file_latitude	34.66	Weather station latitude from weather file used for the building energy simulation
13415	in.weather_file_latitude	34.67	Weather station latitude from weather file used for the building energy simulation
13416	in.weather_file_latitude	34.7	Weather station latitude from weather file used for the building energy simulation
13417	in.weather_file_latitude	34.72	Weather station latitude from weather file used for the building energy simulation
13418	in.weather_file_latitude	34.73	Weather station latitude from weather file used for the building energy simulation
13419	in.weather_file_latitude	34.75	Weather station latitude from weather file used for the building energy simulation
13420	in.weather_file_latitude	34.79	Weather station latitude from weather file used for the building energy simulation
13421	in.weather_file_latitude	34.83	Weather station latitude from weather file used for the building energy simulation
13422	in.weather_file_latitude	34.9	Weather station latitude from weather file used for the building energy simulation
13423	in.weather_file_latitude	34.92	Weather station latitude from weather file used for the building energy simulation
13424	in.weather_file_latitude	34.99	Weather station latitude from weather file used for the building energy simulation
13425	in.weather_file_latitude	35	Weather station latitude from weather file used for the building energy simulation
13426	in.weather_file_latitude	35.01	Weather station latitude from weather file used for the building energy simulation
13427	in.weather_file_latitude	35.02	Weather station latitude from weather file used for the building energy simulation
13428	in.weather_file_latitude	35.03	Weather station latitude from weather file used for the building energy simulation
13429	in.weather_file_latitude	35.04	Weather station latitude from weather file used for the building energy simulation
13430	in.weather_file_latitude	35.06	Weather station latitude from weather file used for the building energy simulation
13431	in.weather_file_latitude	35.07	Weather station latitude from weather file used for the building energy simulation
13432	in.weather_file_latitude	35.13	Weather station latitude from weather file used for the building energy simulation
13433	in.weather_file_latitude	35.14	Weather station latitude from weather file used for the building energy simulation
13434	in.weather_file_latitude	35.17	Weather station latitude from weather file used for the building energy simulation
13435	in.weather_file_latitude	35.2	Weather station latitude from weather file used for the building energy simulation
13436	in.weather_file_latitude	35.21	Weather station latitude from weather file used for the building energy simulation
13437	in.weather_file_latitude	35.22	Weather station latitude from weather file used for the building energy simulation
13438	in.weather_file_latitude	35.24	Weather station latitude from weather file used for the building energy simulation
13439	in.weather_file_latitude	35.26	Weather station latitude from weather file used for the building energy simulation
13440	in.weather_file_latitude	35.27	Weather station latitude from weather file used for the building energy simulation
13441	in.weather_file_latitude	35.33	Weather station latitude from weather file used for the building energy simulation
13442	in.weather_file_latitude	35.34	Weather station latitude from weather file used for the building energy simulation
13443	in.weather_file_latitude	35.35	Weather station latitude from weather file used for the building energy simulation
13444	in.weather_file_latitude	35.38	Weather station latitude from weather file used for the building energy simulation
13445	in.weather_file_latitude	35.39	Weather station latitude from weather file used for the building energy simulation
13446	in.weather_file_latitude	35.42	Weather station latitude from weather file used for the building energy simulation
13447	in.weather_file_latitude	35.43	Weather station latitude from weather file used for the building energy simulation
13448	in.weather_file_latitude	35.51	Weather station latitude from weather file used for the building energy simulation
13449	in.weather_file_latitude	35.53	Weather station latitude from weather file used for the building energy simulation
13450	in.weather_file_latitude	35.59	Weather station latitude from weather file used for the building energy simulation
13451	in.weather_file_latitude	35.62	Weather station latitude from weather file used for the building energy simulation
13452	in.weather_file_latitude	35.64	Weather station latitude from weather file used for the building energy simulation
13453	in.weather_file_latitude	35.65	Weather station latitude from weather file used for the building energy simulation
13454	in.weather_file_latitude	35.66	Weather station latitude from weather file used for the building energy simulation
13455	in.weather_file_latitude	35.7	Weather station latitude from weather file used for the building energy simulation
13456	in.weather_file_latitude	35.73	Weather station latitude from weather file used for the building energy simulation
13457	in.weather_file_latitude	35.74	Weather station latitude from weather file used for the building energy simulation
13458	in.weather_file_latitude	35.82	Weather station latitude from weather file used for the building energy simulation
13459	in.weather_file_latitude	35.83	Weather station latitude from weather file used for the building energy simulation
13460	in.weather_file_latitude	35.85	Weather station latitude from weather file used for the building energy simulation
13461	in.weather_file_latitude	35.86	Weather station latitude from weather file used for the building energy simulation
13462	in.weather_file_latitude	35.87	Weather station latitude from weather file used for the building energy simulation
13463	in.weather_file_latitude	35.92	Weather station latitude from weather file used for the building energy simulation
13464	in.weather_file_latitude	35.95	Weather station latitude from weather file used for the building energy simulation
13465	in.weather_file_latitude	36	Weather station latitude from weather file used for the building energy simulation
13466	in.weather_file_latitude	36.01	Weather station latitude from weather file used for the building energy simulation
13467	in.weather_file_latitude	36.02	Weather station latitude from weather file used for the building energy simulation
13468	in.weather_file_latitude	36.03	Weather station latitude from weather file used for the building energy simulation
13469	in.weather_file_latitude	36.04	Weather station latitude from weather file used for the building energy simulation
13470	in.weather_file_latitude	36.05	Weather station latitude from weather file used for the building energy simulation
13471	in.weather_file_latitude	36.08	Weather station latitude from weather file used for the building energy simulation
13472	in.weather_file_latitude	36.1	Weather station latitude from weather file used for the building energy simulation
13473	in.weather_file_latitude	36.12	Weather station latitude from weather file used for the building energy simulation
13474	in.weather_file_latitude	36.13	Weather station latitude from weather file used for the building energy simulation
13475	in.weather_file_latitude	36.16	Weather station latitude from weather file used for the building energy simulation
13476	in.weather_file_latitude	36.2	Weather station latitude from weather file used for the building energy simulation
13477	in.weather_file_latitude	36.26	Weather station latitude from weather file used for the building energy simulation
13478	in.weather_file_latitude	36.3	Weather station latitude from weather file used for the building energy simulation
13479	in.weather_file_latitude	36.32	Weather station latitude from weather file used for the building energy simulation
13480	in.weather_file_latitude	36.34	Weather station latitude from weather file used for the building energy simulation
13481	in.weather_file_latitude	36.35	Weather station latitude from weather file used for the building energy simulation
13482	in.weather_file_latitude	36.37	Weather station latitude from weather file used for the building energy simulation
13483	in.weather_file_latitude	36.43	Weather station latitude from weather file used for the building energy simulation
13484	in.weather_file_latitude	36.44	Weather station latitude from weather file used for the building energy simulation
13485	in.weather_file_latitude	36.45	Weather station latitude from weather file used for the building energy simulation
13486	in.weather_file_latitude	36.46	Weather station latitude from weather file used for the building energy simulation
13487	in.weather_file_latitude	36.48	Weather station latitude from weather file used for the building energy simulation
13488	in.weather_file_latitude	36.57	Weather station latitude from weather file used for the building energy simulation
13489	in.weather_file_latitude	36.62	Weather station latitude from weather file used for the building energy simulation
13490	in.weather_file_latitude	36.63	Weather station latitude from weather file used for the building energy simulation
13491	in.weather_file_latitude	36.66	Weather station latitude from weather file used for the building energy simulation
13492	in.weather_file_latitude	36.67	Weather station latitude from weather file used for the building energy simulation
13493	in.weather_file_latitude	36.68	Weather station latitude from weather file used for the building energy simulation
13494	in.weather_file_latitude	36.69	Weather station latitude from weather file used for the building energy simulation
13495	in.weather_file_latitude	36.7	Weather station latitude from weather file used for the building energy simulation
13496	in.weather_file_latitude	36.73	Weather station latitude from weather file used for the building energy simulation
13497	in.weather_file_latitude	36.74	Weather station latitude from weather file used for the building energy simulation
13498	in.weather_file_latitude	36.77	Weather station latitude from weather file used for the building energy simulation
13499	in.weather_file_latitude	36.78	Weather station latitude from weather file used for the building energy simulation
13500	in.weather_file_latitude	36.88	Weather station latitude from weather file used for the building energy simulation
13501	in.weather_file_latitude	36.9	Weather station latitude from weather file used for the building energy simulation
13502	in.weather_file_latitude	36.93	Weather station latitude from weather file used for the building energy simulation
13503	in.weather_file_latitude	36.94	Weather station latitude from weather file used for the building energy simulation
13504	in.weather_file_latitude	36.98	Weather station latitude from weather file used for the building energy simulation
13505	in.weather_file_latitude	36.99	Weather station latitude from weather file used for the building energy simulation
13506	in.weather_file_latitude	37	Weather station latitude from weather file used for the building energy simulation
13507	in.weather_file_latitude	37.04	Weather station latitude from weather file used for the building energy simulation
13508	in.weather_file_latitude	37.05	Weather station latitude from weather file used for the building energy simulation
13509	in.weather_file_latitude	37.06	Weather station latitude from weather file used for the building energy simulation
13510	in.weather_file_latitude	37.08	Weather station latitude from weather file used for the building energy simulation
13511	in.weather_file_latitude	37.09	Weather station latitude from weather file used for the building energy simulation
13512	in.weather_file_latitude	37.13	Weather station latitude from weather file used for the building energy simulation
13513	in.weather_file_latitude	37.14	Weather station latitude from weather file used for the building energy simulation
13514	in.weather_file_latitude	37.15	Weather station latitude from weather file used for the building energy simulation
13515	in.weather_file_latitude	37.17	Weather station latitude from weather file used for the building energy simulation
13516	in.weather_file_latitude	37.18	Weather station latitude from weather file used for the building energy simulation
13517	in.weather_file_latitude	37.21	Weather station latitude from weather file used for the building energy simulation
13518	in.weather_file_latitude	37.23	Weather station latitude from weather file used for the building energy simulation
13519	in.weather_file_latitude	37.24	Weather station latitude from weather file used for the building energy simulation
13520	in.weather_file_latitude	37.26	Weather station latitude from weather file used for the building energy simulation
13521	in.weather_file_latitude	37.28	Weather station latitude from weather file used for the building energy simulation
13522	in.weather_file_latitude	37.29	Weather station latitude from weather file used for the building energy simulation
13523	in.weather_file_latitude	37.3	Weather station latitude from weather file used for the building energy simulation
13524	in.weather_file_latitude	37.32	Weather station latitude from weather file used for the building energy simulation
13525	in.weather_file_latitude	37.33	Weather station latitude from weather file used for the building energy simulation
13526	in.weather_file_latitude	37.34	Weather station latitude from weather file used for the building energy simulation
13527	in.weather_file_latitude	37.36	Weather station latitude from weather file used for the building energy simulation
13528	in.weather_file_latitude	37.37	Weather station latitude from weather file used for the building energy simulation
13529	in.weather_file_latitude	37.44	Weather station latitude from weather file used for the building energy simulation
13530	in.weather_file_latitude	37.51	Weather station latitude from weather file used for the building energy simulation
13531	in.weather_file_latitude	37.59	Weather station latitude from weather file used for the building energy simulation
13532	in.weather_file_latitude	37.62	Weather station latitude from weather file used for the building energy simulation
13533	in.weather_file_latitude	37.63	Weather station latitude from weather file used for the building energy simulation
13534	in.weather_file_latitude	37.65	Weather station latitude from weather file used for the building energy simulation
13535	in.weather_file_latitude	37.66	Weather station latitude from weather file used for the building energy simulation
13536	in.weather_file_latitude	37.67	Weather station latitude from weather file used for the building energy simulation
13537	in.weather_file_latitude	37.7	Weather station latitude from weather file used for the building energy simulation
13538	in.weather_file_latitude	37.71	Weather station latitude from weather file used for the building energy simulation
13539	in.weather_file_latitude	37.75	Weather station latitude from weather file used for the building energy simulation
13540	in.weather_file_latitude	37.76	Weather station latitude from weather file used for the building energy simulation
13541	in.weather_file_latitude	37.77	Weather station latitude from weather file used for the building energy simulation
13542	in.weather_file_latitude	37.78	Weather station latitude from weather file used for the building energy simulation
13543	in.weather_file_latitude	37.8	Weather station latitude from weather file used for the building energy simulation
13544	in.weather_file_latitude	37.81	Weather station latitude from weather file used for the building energy simulation
13545	in.weather_file_latitude	37.86	Weather station latitude from weather file used for the building energy simulation
13546	in.weather_file_latitude	37.89	Weather station latitude from weather file used for the building energy simulation
