Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Tenure	Dependency=Vintage ACS	Option=<10000	Option=10000-14999	Option=15000-19999	Option=20000-24999	Option=25000-29999	Option=30000-34999	Option=35000-39999	Option=40000-44999	Option=45000-49999	Option=50000-59999	Option=60000-69999	Option=70000-79999	Option=80000-99999	Option=100000-119999	Option=120000-139999	Option=140000-159999	Option=160000-179999	Option=180000-199999	Option=200000+	source_count	source_weight	sampling_probability
Single-Family Attached	CA, 03750	Owner	2010s	0.00290992	0.00328947	0.00366903	0.00885628	0.00240385	0.00265688	0.0122723	0.013917	0.00253036	0.0236589	0.0231528	0.0208755	0.0563006	0.0823634	0.0864119	0.0803391	0.0587045	0.0536437	0.462045	373	7904	4.39958e-05
Single-Family Attached	CA, 03750	Renter	2010s	0.0547445	0.0346715	0.00583942	0.0529197	0.0452555	0.0116788	0.0591241	0.0153285	0.0259124	0.0375912	0.0346715	0.070073	0.0766423	0.0744526	0.0624088	0.0291971	0.019708	0.0562044	0.233577	129	2740	9.50756e-05
Single-Family Detached	CA, 03750	Owner	2010s	0.0119374	0.00454496	0.00991129	0.00799474	0.0087066	0.00443544	0.00635199	0.0144015	0.0121016	0.0264484	0.040138	0.041945	0.0555799	0.0748549	0.0571679	0.0684481	0.0687219	0.0606724	0.425638	948	18262	6.09535e-05
Single-Family Detached	CA, 03750	Renter	2010s	0.0541631	0.036877	0.0337079	0.0328436	0.0250648	0.0334198	0.0282339	0.0115241	0.0253529	0.0602132	0.0535869	0.0985307	0.115817	0.0841256	0.0838375	0.0452319	0.0302506	0.056756	0.0904638	162	3471	2.86408e-05
Mobile Home	CA, 03750	Owner	<1940	0	0.0477387	0.138191	0	0.0301508	0.0628141	0.0276382	0	0.0904523	0.120603	0.0201005	0	0.0477387	0.213568	0.0326633	0.110553	0.0226131	0.0351759	0	26	398	1.06744e-06
Mobile Home	CA, 03750	Renter	<1940	0.110924	0.0344538	0.087395	0.0714286	0.0705882	0.123529	0.0731092	0	0.0394958	0.0487395	0.0445378	0.0134454	0.0756303	0.0504202	0.010084	0	0	0.0756303	0.0705882	48	1190	5.01569e-07
Multi-Family with 2 - 4 Units	CA, 03750	Owner	<1940	0	0.08	0.188571	0	0.0457143	0	0	0.137143	0	0.0457143	0.0971429	0.0457143	0.0685714	0.217143	0.0742857	0	0	0	0	13	175	8.37905e-05
Multi-Family with 2 - 4 Units	CA, 03750	Renter	<1940	0.111043	0.0937693	0.0283775	0.101789	0.0888341	0.0906848	0.0851326	0.0407156	0.0487353	0.0777298	0.0370142	0.0586058	0.0289944	0.0468846	0	0.019124	0	0	0.0425663	71	1621	0.00124608
Multi-Family with 5+ Units	CA, 03750	Owner	<1940	0.0450005	0.0186661	0.00948441	0.0270407	0.0204823	0.0193724	0.020785	0.0132176	0.0167491	0.0343053	0.0426799	0.0450005	0.0909091	0.115024	0.0556957	0.0487337	0.0559984	0.0386439	0.282212	465	9911	7.57134e-06
Multi-Family with 5+ Units	CA, 03750	Renter	<1940	0.276705	0.147727	0.0676136	0.0852273	0.0448864	0.0840909	0.0596591	0.00397727	0.05	0.0551136	0.0357955	0.0255682	0.0221591	0.0176136	0.0153409	0	0.00852273	0	0	71	1760	0.00125879
Single-Family Attached	CA, 03750	Owner	<1940	0.133205	0.0559846	0	0.00868726	0	0.0801158	0	0.126448	0.0945946	0.0617761	0.0212355	0	0.0733591	0.120656	0.0810811	0.0135135	0.0318533	0.0405405	0.0569498	52	1036	0.000658879
Single-Family Attached	CA, 03750	Renter	<1940	0.1494	0.0752454	0.0436205	0.0452563	0.0463468	0.109051	0.0877863	0.0599782	0.0376227	0.0299891	0.061614	0.0261723	0.0708833	0.0627045	0.0436205	0	0.0196292	0.0163577	0.0147219	75	1834	0.00142385
Single-Family Detached	CA, 03750	Owner	<1940	0.0335951	0.0327005	0.0347878	0.0256436	0.0401551	0.0443296	0.034092	0.0382666	0.0569526	0.0759368	0.0655998	0.0860749	0.107743	0.111917	0.0755392	0.028526	0.0221648	0.0321042	0.0538714	556	10061	0.00677312
Single-Family Detached	CA, 03750	Renter	<1940	0.100165	0.118313	0.065284	0.0662267	0.0780108	0.0370021	0.0553853	0.0530285	0.0351167	0.0888522	0.0584492	0.0337026	0.0744756	0.0664624	0.0271035	0.00777752	0.0219185	0	0.0127268	184	4243	0.00318255
Mobile Home	CA, 03751	Owner	1940-59	0.134486	0.0989433	0.0115274	0.0720461	0.054755	0.116234	0.0326609	0.0480307	0.0384246	0.0893372	0.0480307	0.0201729	0.0730067	0.0826129	0.0230548	0.012488	0	0	0.0441883	58	1041	2.69982e-05
Mobile Home	CA, 03751	Renter	1940-59	0.0637652	0.1083	0.114372	0.0759109	0.0394737	0.0293522	0.0404858	0.232794	0	0.00809717	0.0192308	0.0991903	0.0303644	0.00708502	0.090081	0.0334008	0.00809717	0	0	40	988	1.5659e-05
Multi-Family with 2 - 4 Units	CA, 03751	Owner	1940-59	0.0133349	0.0464299	0.0121227	0.0425506	0.0212147	0.0317614	0.0327312	0.044369	0.036368	0.0682507	0.0915262	0.0303067	0.123288	0.07213	0.0581889	0.0478846	0.0209722	0.0269124	0.179658	417	8249	6.97328e-05
Multi-Family with 2 - 4 Units	CA, 03751	Renter	1940-59	0.13649	0.128691	0.105292	0.122006	0.0629526	0.0635097	0.0328691	0.0668524	0.0289694	0.0824513	0.032312	0.0412256	0.0495822	0	0	0.0256267	0.00668524	0	0.0144847	90	1795	0.0012653
Multi-Family with 5+ Units	CA, 03751	Owner	1940-59	0.0691653	0.047438	0.0275213	0.026616	0.0365743	0.0200978	0.086185	0.0204599	0.00959623	0.0452653	0.0485244	0.0512403	0.0941517	0.0838313	0.0597501	0.0554047	0.0409198	0.020641	0.156618	263	5523	1.10205e-05
Multi-Family with 5+ Units	CA, 03751	Renter	1940-59	0.268675	0.143976	0.0433735	0.0656627	0.0638554	0.0704819	0.0578313	0.0337349	0.0746988	0.0759036	0.0566265	0.0114458	0.023494	0.010241	0	0	0	0	0	80	1660	0.00117605
Single-Family Attached	CA, 03751	Owner	1940-59	0	0.117359	0.0391198	0.129584	0.0317848	0.0806846	0	0.0855746	0.0317848	0.0904645	0.0953545	0.0342298	0.119804	0.0806846	0.0293399	0	0	0	0.0342298	27	409	0.00033361
Single-Family Attached	CA, 03751	Renter	1940-59	0.153446	0.0897269	0.102081	0.0812744	0.0695709	0.0650195	0.029909	0.0448635	0.0572172	0.0344603	0.13199	0.0351105	0.0526658	0.0292588	0.0136541	0	0.00975293	0	0	84	1538	0.00100876
Single-Family Detached	CA, 03751	Owner	1940-59	0.0213429	0.0347722	0.0302158	0.0393285	0.0167866	0.0390887	0.070024	0.0429257	0.0426859	0.0959233	0.108633	0.0944844	0.12446	0.0827338	0.0539568	0.0374101	0.0359712	0.0134293	0.0158273	258	4170	0.00297814
Single-Family Detached	CA, 03751	Renter	1940-59	0.0913706	0.0766497	0.0860406	0.133249	0.0761421	0.0601523	0.064467	0.0284264	0.0619289	0.0647208	0.0560914	0.00634518	0.0685279	0.0601523	0.0246193	0.00761421	0.0129442	0	0.0205584	205	3940	0.00266262
Mobile Home	CA, 03751	Owner	1960-79	0.0461615	0.0688933	0.0671984	0.0610169	0.0908275	0.0430708	0.0499501	0.0666002	0.0354935	0.0742772	0.0701894	0.0769691	0.0860419	0.0514457	0.027318	0.0425723	0.0168495	0.00498504	0.0201396	556	10030	2.10924e-05
Mobile Home	CA, 03751	Renter	1960-79	0.0589731	0.0391459	0.0472801	0.0790544	0.104982	0.0986274	0.0465175	0.0803254	0.0246568	0.0854093	0.0490595	0.0386375	0.118963	0.0327911	0.0338078	0.0238943	0.00686324	0.00584647	0.0251652	154	3934	1.22336e-05
Multi-Family with 2 - 4 Units	CA, 03751	Owner	1960-79	0.0212461	0.0241108	0.0261399	0.0259012	0.0352113	0.0360468	0.042731	0.0225591	0.0365242	0.048699	0.0479828	0.0710193	0.0965624	0.0857006	0.0577704	0.0787778	0.048699	0.0331821	0.161136	415	8378	7.2135e-05
Multi-Family with 2 - 4 Units	CA, 03751	Renter	1960-79	0.0779989	0.09844	0.145239	0.0823023	0.0715438	0.020979	0.0758472	0.0338892	0.0231307	0.114578	0.0231307	0.0979021	0.084454	0.0371167	0.0134481	0	0	0	0	85	1859	0.00130889
Multi-Family with 5+ Units	CA, 03751	Owner	1960-79	0.0397927	0.0285918	0.0281005	0.0357889	0.0267004	0.0329886	0.0315148	0.0334062	0.0310727	0.0580187	0.0785291	0.0640122	0.11616	0.0752868	0.0796591	0.0462037	0.0368942	0.0266513	0.130628	2033	40711	1.55624e-05
Multi-Family with 5+ Units	CA, 03751	Renter	1960-79	0.175021	0.214703	0.0835422	0.0714286	0.0672515	0.108187	0.0509607	0.0396825	0.0296575	0.0559733	0.0342523	0.0200501	0.0179616	0.0108605	0.00668338	0	0	0	0.0137845	113	2394	0.00166073
Single-Family Attached	CA, 03751	Owner	1960-79	0	0	0.0571429	0.0392857	0	0.05	0	0	0	0.25	0.0785714	0	0.0535714	0.146429	0.25	0.075	0	0	0	17	280	0.000138976
Single-Family Attached	CA, 03751	Renter	1960-79	0.112288	0.120763	0.0444915	0.17161	0.0423729	0.059322	0.150424	0	0.0148305	0.118644	0	0.0550847	0.110169	0	0	0	0	0	0	24	472	0.000420232
Single-Family Detached	CA, 03751	Owner	1960-79	0.028492	0.0437804	0.0396108	0.0159833	0.0437804	0.0562891	0.0493398	0.0562891	0.100764	0.0660181	0.0785268	0.0715775	0.112578	0.0972898	0.0799166	0.0250174	0.0277971	0	0.00694927	84	1439	0.00111764
Single-Family Detached	CA, 03751	Renter	1960-79	0.146988	0.0807229	0.127108	0.0584337	0.0518072	0.0391566	0.0819277	0.0710843	0.0108434	0.0759036	0.0403614	0.0180723	0.126506	0.0590361	0	0.00662651	0	0.00542169	0	78	1660	0.000999228
Mobile Home	CA, 03751	Owner	1980-99	0.0452663	0.042696	0.0385549	0.0416964	0.0514065	0.0471227	0.0528345	0.0382693	0.0491218	0.0454091	0.0981008	0.0815365	0.112095	0.070684	0.0585463	0.0429816	0.0197058	0.0112809	0.0526917	380	7003	2.27797e-05
Mobile Home	CA, 03751	Renter	1980-99	0.129688	0.0683491	0.107256	0.0494217	0.042061	0.0529267	0.0361023	0.0501227	0.0536278	0.0308447	0.0357518	0.0729057	0.0886786	0.113915	0.0290922	0.0164739	0.0185769	0.0042061	0	116	2853	1.32123e-05
Multi-Family with 2 - 4 Units	CA, 03751	Owner	1980-99	0.0570927	0.0142	0.0256185	0.0133216	0.0259113	0.0455277	0.0174206	0.0477236	0.0339628	0.0515298	0.0578246	0.0392329	0.082272	0.0983751	0.0682184	0.0357195	0.0749524	0.0295711	0.181525	359	6831	3.43964e-05
Multi-Family with 2 - 4 Units	CA, 03751	Renter	1980-99	0.204126	0.0705755	0.0608035	0.144408	0.072747	0.092291	0.0228013	0.0206298	0.0836048	0.0314875	0.122693	0	0.019544	0.0282302	0.0260586	0	0	0	0	48	921	0.000624125
Multi-Family with 5+ Units	CA, 03751	Owner	1980-99	0.0381214	0.021339	0.0209104	0.0232789	0.0235721	0.0223315	0.0221285	0.0272489	0.0266173	0.062641	0.05337	0.0536182	0.110282	0.084183	0.0740774	0.0652576	0.0443923	0.0364973	0.190134	2192	44332	6.55911e-06
Multi-Family with 5+ Units	CA, 03751	Renter	1980-99	0.159335	0.170088	0.0772239	0.0928641	0.086999	0.0596285	0.186706	0.0175953	0.0175953	0.0449658	0.0410557	0.0136852	0.0322581	0	0	0	0	0	0	49	1023	0.000699951
Single-Family Attached	CA, 03751	Owner	1980-99	0	0	0	0.0416667	0	0.0416667	0.0885417	0.0364583	0.046875	0	0.125	0.166667	0.34375	0.0416667	0	0.0677083	0	0	0	12	192	0.00011181
Single-Family Attached	CA, 03751	Renter	1980-99	0.0936819	0.0980392	0	0.165577	0.0718954	0.172113	0.102397	0	0	0.176471	0.0893246	0	0	0	0.0305011	0	0	0	0	24	459	0.000338089
Single-Family Detached	CA, 03751	Owner	1980-99	0.0122807	0.0157895	0.0578947	0.0385965	0.0850877	0.0385965	0	0.0464912	0.0447368	0.0517544	0.144737	0.0964912	0.104386	0.129825	0.0552632	0.0263158	0.0263158	0.0254386	0	64	1140	0.000695708
Single-Family Detached	CA, 03751	Renter	1980-99	0.153012	0.0987952	0.118072	0.0783133	0.00963855	0.0746988	0.053012	0.0554217	0.107229	0.0614458	0.026506	0.00963855	0.0939759	0.0277108	0	0.0325301	0	0	0	42	830	0.000622001
Mobile Home	CA, 03751	Owner	2000-09	0.022864	0.0204573	0.02858	0.0418171	0.0240674	0.0213598	0.0186522	0.0628761	0.0646811	0.101384	0.0631769	0.0685921	0.0697954	0.148616	0.0174489	0.0923586	0.0246691	0.0252708	0.0833333	172	3324	0
Mobile Home	CA, 03751	Renter	2000-09	0.0821429	0.0535714	0.0714286	0.132143	0.00714286	0.0940476	0.0547619	0.0511905	0.052381	0.0428571	0.0678571	0.075	0.107143	0.0714286	0	0.0107143	0.0261905	0	0	41	840	0
Multi-Family with 2 - 4 Units	CA, 03751	Owner	2000-09	0.0490884	0.00935016	0	0.0130902	0.00981767	0	0.0458158	0.00841515	0	0.0495559	0.0584385	0.0406732	0.0677887	0.0444133	0.102852	0.0472183	0.0691912	0.0224404	0.361851	106	2139	2.39869e-05
Multi-Family with 2 - 4 Units	CA, 03751	Renter	2000-09	0.455326	0.108247	0.0962199	0.0618557	0	0.0446735	0.0515464	0	0	0	0.0223368	0.0532646	0.0927835	0.0137457	0	0	0	0	0	25	582	0.000435244
Multi-Family with 5+ Units	CA, 03751	Owner	2000-09	0.0243902	0.0131924	0.00839836	0.0149421	0.010183	0.015327	0.0170067	0.0208559	0.0167617	0.0385975	0.0389124	0.0417469	0.10323	0.0792945	0.0856283	0.0637576	0.0551492	0.0444413	0.308185	1207	28577	4.55425e-06
Multi-Family with 5+ Units	CA, 03751	Renter	2000-09	0.276504	0.0401146	0.0988539	0.153295	0.0787966	0.0329513	0.0372493	0.0744986	0.0515759	0.0286533	0.0687679	0.0114613	0.0472779	0	0	0	0	0	0	33	698	0.000486004
Single-Family Attached	CA, 03751	Owner	2000-09	0.0134084	0.00706285	0.0131877	0.0118634	0.00584892	0.00811124	0.00882856	0.016995	0.0177123	0.0398389	0.0397837	0.0505435	0.101694	0.0966727	0.0849749	0.0936931	0.0575512	0.061193	0.271037	868	18123	3.14726e-05
Single-Family Attached	CA, 03751	Renter	2000-09	0.0327344	0.0406857	0.0414085	0.0426477	0.035729	0.0418216	0.029843	0.0153862	0.0243701	0.0523544	0.0626807	0.0521479	0.0853986	0.0990293	0.0629905	0.0419248	0.0405824	0.0345931	0.163672	446	9684	9.51659e-05
Single-Family Detached	CA, 03751	Owner	2000-09	0.0590551	0.015748	0.0472441	0	0.0511811	0	0	0	0.100394	0.208661	0.0216535	0.0492126	0.137795	0.161417	0.0393701	0.0275591	0	0.0807087	0	25	508	0.000391314
Single-Family Detached	CA, 03751	Renter	2000-09	0.0792793	0.127928	0.189189	0.0288288	0.0504505	0.045045	0.0486486	0.0684685	0	0.156757	0.0504505	0	0.108108	0.0468468	0	0	0	0	0	28	555	0.000349856
Mobile Home	CA, 03751	Owner	2010s	0.0464316	0.0773861	0.0799656	0.00601892	0.0593293	0.0541702	0.0902837	0.00859845	0.0094583	0.049871	0.0687876	0.0963027	0.104901	0.044712	0.0799656	0.0206363	0.00601892	0.0300946	0.0670679	67	1163	0
Mobile Home	CA, 03751	Renter	2010s	0.0750507	0.0507099	0.127789	0.0466531	0.131846	0	0	0.030426	0	0.0567951	0.168357	0	0.0993915	0.0121704	0.150101	0	0	0	0.0507099	21	493	0
Multi-Family with 2 - 4 Units	CA, 03751	Owner	2010s	0.0452261	0.0577889	0	0.0565327	0	0.0163317	0	0.0100503	0	0.0163317	0.0364322	0	0.0904523	0.0376884	0.0565327	0.0841709	0.0515075	0.0565327	0.384422	36	796	1.1419e-05
Multi-Family with 2 - 4 Units	CA, 03751	Renter	2010s	0.247191	0	0	0.0599251	0.093633	0.071161	0.101124	0	0.0561798	0	0.134831	0.0973783	0	0	0.138577	0	0	0	0	11	267	0.000207199
Multi-Family with 5+ Units	CA, 03751	Owner	2010s	0.0187114	0.0139453	0.0180053	0.0128861	0.00529568	0.00794351	0.0121801	0.00935569	0.00617829	0.0342454	0.0566637	0.0331862	0.0686673	0.039541	0.104501	0.078376	0.0368932	0.0375993	0.405825	249	5665	1.34276e-06
Multi-Family with 5+ Units	CA, 03751	Renter	2010s	0.0737689	0.0607358	0.0323903	0.0356325	0.0342521	0.0298436	0.0280245	0.028934	0.0283776	0.0593126	0.0542406	0.0524108	0.0841591	0.0718428	0.072731	0.0513729	0.0403514	0.0225245	0.139095	3615	93454	0.000143292
Single-Family Attached	CA, 03751	Owner	2010s	0.00290992	0.00328947	0.00366903	0.00885628	0.00240385	0.00265688	0.0122723	0.013917	0.00253036	0.0236589	0.0231528	0.0208755	0.0563006	0.0823634	0.0864119	0.0803391	0.0587045	0.0536437	0.462045	373	7904	3.87609e-05
Single-Family Attached	CA, 03751	Renter	2010s	0	0	0.076555	0.119617	0.0717703	0	0.105263	0	0.239234	0.076555	0	0.148325	0.119617	0	0.0430622	0	0	0	0	11	209	0.000117204
Single-Family Detached	CA, 03751	Owner	2010s	0.0119374	0.00454496	0.00991129	0.00799474	0.0087066	0.00443544	0.00635199	0.0144015	0.0121016	0.0264484	0.040138	0.041945	0.0555799	0.0748549	0.0571679	0.0684481	0.0687219	0.0606724	0.425638	948	18262	7.95296e-05
Single-Family Detached	CA, 03751	Renter	2010s	0	0.301587	0.042328	0	0	0	0.111111	0	0	0.132275	0	0	0.0740741	0	0.0899471	0.0899471	0	0.15873	0	10	189	7.11038e-05
Mobile Home	CA, 03751	Owner	<1940	0	0.0477387	0.138191	0	0.0301508	0.0628141	0.0276382	0	0.0904523	0.120603	0.0201005	0	0.0477387	0.213568	0.0326633	0.110553	0.0226131	0.0351759	0	26	398	2.10924e-05
Mobile Home	CA, 03751	Renter	<1940	0.110924	0.0344538	0.087395	0.0714286	0.0705882	0.123529	0.0731092	0	0.0394958	0.0487395	0.0445378	0.0134454	0.0756303	0.0504202	0.010084	0	0	0.0756303	0.0705882	48	1190	1.22336e-05
Multi-Family with 2 - 4 Units	CA, 03751	Owner	<1940	0.0426459	0.0160197	0.0165918	0.021477	0.0175601	0.013115	0.0168999	0.0221811	0.0192765	0.0411055	0.0461227	0.0412376	0.0752134	0.0728369	0.0462987	0.0404454	0.0550568	0.0334478	0.362468	1246	22722	2.061e-05
Multi-Family with 2 - 4 Units	CA, 03751	Renter	<1940	0.206593	0.232967	0.0373626	0.032967	0.0681319	0.0637363	0.0835165	0.0835165	0	0	0.10989	0.0681319	0	0.0131868	0	0	0	0	0	26	455	0.000373969
Multi-Family with 5+ Units	CA, 03751	Owner	<1940	0.0450005	0.0186661	0.00948441	0.0270407	0.0204823	0.0193724	0.020785	0.0132176	0.0167491	0.0343053	0.0426799	0.0450005	0.0909091	0.115024	0.0556957	0.0487337	0.0559984	0.0386439	0.282212	465	9911	4.5728e-06
Multi-Family with 5+ Units	CA, 03751	Renter	<1940	0.303694	0.227086	0.136799	0.0478796	0	0.0588235	0.0123119	0.0465116	0	0.0478796	0.0218878	0.0396717	0.0574555	0	0	0	0	0	0	35	731	0.000487983
Single-Family Attached	CA, 03751	Owner	<1940	0.0219512	0.0341463	0	0.0609756	0.0512195	0.119512	0.0195122	0.0170732	0.219512	0.0829268	0.212195	0	0	0.0853659	0.0365854	0	0	0	0.0390244	25	410	0.000311744
Single-Family Attached	CA, 03751	Renter	<1940	0.108051	0.101695	0.0564972	0.0805085	0.0699153	0.0748588	0.0317797	0.0635593	0	0.141949	0.059322	0.069209	0.0543785	0.0374294	0	0.0225989	0.0162429	0	0.0120056	68	1416	0.000942644
Single-Family Detached	CA, 03751	Owner	<1940	0.0275028	0.0357536	0.0748075	0.0539054	0.0764576	0.0412541	0.0475798	0.059956	0.0734323	0.0959846	0.0712321	0.0794829	0.0654565	0.0929593	0.0354785	0.0206271	0.0176018	0.0079758	0.0225523	241	3636	0.00233275
Single-Family Detached	CA, 03751	Renter	<1940	0.123172	0.056582	0.0623557	0.101232	0.101232	0.0331024	0.0715935	0.0765974	0.0331024	0.0973826	0.0384911	0.0615858	0.0939184	0.0338722	0.00577367	0.0100077	0	0	0	128	2598	0.00208561
Mobile Home	CA, 03758	Owner	1940-59	0.0906963	0.0953785	0.0910431	0.0806382	0.0808983	0.0583543	0.0702332	0.0532385	0.046562	0.0743952	0.0538455	0.043614	0.0457817	0.0491633	0.0228041	0.00832394	0.00832394	0.0090176	0.0176884	620	11533	1.18399e-05
Mobile Home	CA, 03758	Renter	1940-59	0.147429	0.109689	0.0857427	0.0721695	0.0493269	0.0804458	0.0821011	0.0389539	0.0708453	0.0570514	0.0568307	0.0513132	0.0395056	0.0119179	0.0253807	0.00750386	0	0	0.0137939	376	9062	8.59672e-06
Multi-Family with 2 - 4 Units	CA, 03758	Owner	1940-59	0.0419373	0.0275124	0.0226404	0.0534008	0.0435613	0.0304738	0.0420329	0.0519679	0.0410776	0.0789071	0.0714559	0.0534008	0.0749904	0.0968666	0.0746083	0.0514903	0.024551	0.0213985	0.0977264	604	10468	7.26821e-06
Multi-Family with 2 - 4 Units	CA, 03758	Renter	1940-59	0.108658	0.0976177	0.0650784	0.0273097	0.0185938	0.11563	0.0464846	0.0923881	0.0941313	0.0371877	0.0848344	0.0633353	0.0482278	0.0337013	0.0598489	0	0	0.00697269	0	70	1721	8.63173e-05
Multi-Family with 5+ Units	CA, 03758	Owner	1940-59	0.0606437	0.0674126	0.042271	0.0266611	0.0542893	0.0454483	0.0552563	0.0553944	0.0129852	0.0915872	0.0656168	0.0563614	0.0924161	0.0797071	0.0479348	0.0252797	0.0223788	0.0104987	0.0878574	388	7239	1.63127e-05
Multi-Family with 5+ Units	CA, 03758	Renter	1940-59	0.115572	0.101277	0.0833333	0.0553528	0.0675182	0.0663017	0.0504866	0.0532238	0.05809	0.0845499	0.0599148	0.0659976	0.0644769	0.0352798	0.0249392	0.00912409	0	0.00456204	0	145	3288	0.000148167
Single-Family Attached	CA, 03758	Owner	1940-59	0	0.057101	0.0190337	0.0556369	0	0.0175695	0	0.122987	0.0922401	0.0805271	0.0161054	0.0541728	0.0775988	0.0863836	0.0351391	0.0717423	0.171303	0.0263543	0.0161054	31	683	3.67364e-05
Single-Family Attached	CA, 03758	Renter	1940-59	0.0902256	0.116541	0	0.0300752	0.0839599	0.12782	0.0513784	0.0162907	0.0639098	0.0488722	0.0651629	0.139098	0.0927318	0.047619	0.0125313	0.0137845	0	0	0	42	798	3.74931e-05
Single-Family Detached	CA, 03758	Owner	1940-59	0.0229267	0.0253448	0.0273151	0.0266882	0.0339423	0.0219416	0.0377037	0.0476446	0.0368977	0.0609887	0.0657353	0.0612574	0.115798	0.0990507	0.0814078	0.0732581	0.0703923	0.023285	0.068422	678	11166	0.000500264
Single-Family Detached	CA, 03758	Renter	1940-59	0.0672897	0.0649533	0.0189252	0.0661215	0.0434579	0.0796729	0.0273364	0.0495327	0.0876168	0.071028	0.103738	0.0397196	0.0728972	0.0665888	0.036215	0.0432243	0.0147196	0.0193925	0.0275701	200	4280	0.000251381
Mobile Home	CA, 03758	Owner	1960-79	0.163594	0.0875576	0.276498	0.0276498	0	0.0760369	0.0668203	0.0414747	0.0345622	0.0506912	0	0	0.140553	0	0.0345622	0	0	0	0	25	434	1.6222e-05
Mobile Home	CA, 03758	Renter	1960-79	0.109628	0.1056	0.0997633	0.0933241	0.0731392	0.0749915	0.0580409	0.0572764	0.0433984	0.0752709	0.05144	0.0374002	0.0455595	0.0268447	0.0147013	0.00939416	0.00799753	0.00455742	0.0116729	2938	68021	1.17785e-05
Multi-Family with 2 - 4 Units	CA, 03758	Owner	1960-79	0.134831	0	0	0	0.0337079	0	0.168539	0.337079	0.0730337	0	0	0	0.0505618	0	0	0	0	0.0617978	0.140449	10	178	1.04535e-05
Multi-Family with 2 - 4 Units	CA, 03758	Renter	1960-79	0.0994129	0.0947162	0.0610568	0.058317	0.0305284	0.0947162	0.0888454	0.0367906	0.046184	0.0978474	0.0289628	0.0324853	0.133855	0.0270059	0.0227006	0.0422701	0.00430528	0	0	114	2555	0.000124146
Multi-Family with 5+ Units	CA, 03758	Owner	1960-79	0.0545775	0	0.0616197	0	0.0123239	0.0774648	0	0	0.0651408	0.153169	0.117958	0.0193662	0.237676	0.096831	0.0176056	0.0211268	0	0	0.0651408	29	568	2.74021e-05
Multi-Family with 5+ Units	CA, 03758	Renter	1960-79	0.0904266	0.07529	0.0697857	0.0935718	0.0520936	0.0723413	0.086495	0.0489483	0.0782386	0.0945547	0.0701789	0.0595636	0.045803	0.0279143	0.00805976	0.00530765	0.0174956	0.00393159	0	233	5087	0.000248891
Single-Family Attached	CA, 03758	Owner	1960-79	0	0.0631229	0	0	0.0265781	0.0265781	0.0963455	0.0365449	0	0.0830565	0.0166113	0.0697674	0.265781	0.0398671	0.0797342	0.112957	0	0	0.0830565	21	301	2.08328e-05
Single-Family Attached	CA, 03758	Renter	1960-79	0.057041	0.139037	0	0.0338681	0.0552585	0.087344	0.14082	0	0.0231729	0.137255	0.226381	0.0445633	0	0.0409982	0	0.0142602	0	0	0	27	561	2.12619e-05
Single-Family Detached	CA, 03758	Owner	1960-79	0	0.0333185	0.0111062	0.0208796	0.030653	0.0288761	0.0404265	0.0390937	0.0191026	0.0870724	0.103954	0.0444247	0.0977343	0.149711	0.0852954	0.0408707	0.0573079	0.037761	0.0724123	135	2251	0.000129452
Single-Family Detached	CA, 03758	Renter	1960-79	0.0573248	0.0486393	0.0567458	0.0318471	0.0561668	0.0306891	0.0324262	0.00810654	0.059641	0.0810654	0.11465	0.059062	0.118703	0.0631152	0.107701	0.0497973	0.0104227	0	0.0138969	77	1727	6.5049e-05
Mobile Home	CA, 03758	Owner	1980-99	0.058351	0.0553527	0.0631408	0.0649322	0.0658122	0.0629773	0.0627196	0.0552521	0.0473006	0.0896982	0.0747066	0.0587093	0.0867439	0.0560127	0.0364764	0.020894	0.0120624	0.00724123	0.0216168	8927	159089	8.32875e-06
Mobile Home	CA, 03758	Renter	1980-99	0.107541	0.0930073	0.0738756	0.0612324	0.0635312	0.0771569	0.062697	0.0543918	0.0549108	0.0941567	0.0664603	0.0519261	0.0577472	0.0420081	0.0208743	0.00691483	0.00205777	0.00322569	0.00628453	2424	53942	6.04735e-06
Multi-Family with 2 - 4 Units	CA, 03758	Owner	1980-99	0.0603015	0	0	0.0502513	0.0552764	0	0	0	0	0.271357	0.0552764	0.0552764	0	0.0753769	0.165829	0.150754	0	0	0.0603015	11	199	4.84547e-06
Multi-Family with 2 - 4 Units	CA, 03758	Renter	1980-99	0.21499	0.081854	0.0453649	0.0207101	0.0522682	0.0463511	0.0315582	0.114398	0.0276134	0.105523	0.13215	0.0108481	0.0443787	0.0147929	0.0118343	0.0177515	0	0	0.0276134	53	1014	5.75449e-05
Multi-Family with 5+ Units	CA, 03758	Owner	1980-99	0.0991736	0	0	0	0.0198347	0.0495868	0.0396694	0.0132231	0	0.122314	0	0.0842975	0.115702	0.117355	0.13719	0.183471	0	0	0.0181818	34	605	1.79062e-05
Multi-Family with 5+ Units	CA, 03758	Renter	1980-99	0.0398074	0.0796148	0.0430177	0.0635634	0.0401284	0.110433	0.0895666	0.047512	0.0430177	0.0991974	0.0764045	0.0722311	0.0497592	0.0571429	0.0487961	0.0192616	0.00642055	0	0.0141252	140	3115	0.000162641
